molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|SRW07|AATSC1s|MATS7i|SaaaC|MATS8i|AATSC8d|AATSC1pe|MATS1c|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|FNSA3|FNSA5|PBF|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA2|WNSA3|DPSA3|GRAVp|TASA|WNSA4|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
6_a47|0|0|0|0.0|0|0.0|0|1.304328257|0.0|0.0|-0.1738997619999999|-0.14404966|1.291219116|0.051455447|0.0402365489999999|-0.0094242819999999|-0.459934519|0.701994505|0.786041178|0.062425042|0.84654143|0.672308592|-0.080118846|-0.096689626|0.446564415|-52.41283988|101.7290544|0.158081588|85.6917678|-0.036834143|-28.411587800000003|0.0|-1.547034008|-23.54237714|48.75381069|2431.668154|456.3812788|-10.82346202|5766.962611999999|25.13472712|0.0154005|-319.1626428|469.7495559|1.0|0.0|1.0|1.0|2.0|2.82|2.91|22.0|-9.06|5.24|6.27|58.04|0.0|106.47|0.0|1.0|3.0|27.0|4.0|-5.02|379.81|1.0|1.0|4.59|9.53e-07|0.000362|1.63e-06|0.0|8.71e-10|-0.05354|5.5188|-1608.652005|576.56|333.32|0.2536|224.66|422.9|0.69305|-1608.50108|-0.1544|0.03288085|4.2153|13.0|7.9
17a_a25|0|0|0|0.0|1|6.842683282|0|1.373200859|1.826085128|4.727387819|-0.036457743|-0.017081614|2.008884939|-0.0688716509999999|0.006360768|0.006423059|-0.362222339|0.6741827509999999|0.748718056|0.0114970419999999|0.8005589320000001|0.659740852|-0.06234901|-0.079378741|0.348821736|-56.61512986|93.75234138|0.125413071|89.44809639|-0.0297670279999999|-40.379488|80.30332825|-1.666953566|-31.71656603|53.50212109|2907.309477|623.7797651000001|-15.142307999999998|6250.571217000001|28.08362601|0.015373381|-365.1448527|781.7487682|1.0|1.0|1.0|1.0|1.0|3.48|3.47|27.0|-9.98|4.83|5.31|72.7|0.0|131.06|0.0|1.0|7.0|33.0|4.0|-6.18|433.5|0.0|1.0|4.04|7.5e-06|0.00325|7.44e-06|0.0|1.05e-10|-0.05255|5.2683|-1391.588873|747.06|315.11|0.4076|235.34|598.67|0.6722|-1391.321455|-0.16304|0.0362293|5.1401|25.0|7.6021
13n_a6|1|0|0|0.0|0|6.842683282|0|1.4290206230000002|0.0|4.727387819|-0.135152403|0.058267173|1.628408574|-0.06507689|-0.033224059|-0.00687003|-0.57091314|0.870730542|0.7767360059999999|-0.056293641|0.832753533|0.82642394|-0.100363599|-0.109392959|0.307384948|-75.07706271|90.97854097|0.29109784|199.7822434|-0.038490115|-51.52585133|103.012404|-2.078466222|-47.27287681|81.06784641|2952.259627|486.5239262|-18.12946621|6386.381394|35.2699138|0.019904118|-341.7352549|724.3873672999999|1.0|1.0|1.0|1.0|3.0|3.55|1.9|27.0|-9.67|4.19|3.76|122.47|0.0|127.2|0.0|1.0|6.0|33.0|5.0|-7.23|435.48|0.0|1.0|2.62|2.27e-05|0.00987|5.24e-05|0.0|2.1499999999999998e-10|-0.07131|4.8185|-1423.714738|727.69|369.99|0.9117|257.31|548.09|0.64027|-1423.451366|-0.13863|0.05026727|10.1967|75.0|7.1249
8b_a50|1|1|1|0.0|1|7.860570786|1|1.398299046|2.021915391|5.777652323|-0.009597908|-0.096039086|1.98971238|-0.009441452|-0.0180233089999999|0.007057361|-0.332085641|0.753629415|0.809463375|-0.031953774|0.8836675340000001|0.71043578|-0.072629787|-0.078068703|0.267094693|-37.39727879|131.417573|0.154650918|74.08248511|-0.030360051|-17.91443197|0.0|-1.092961836|-16.66636363|45.09730487|2143.807599|404.9478761|-6.966723542|4446.001554|21.65129387|0.024280552|-164.5084115|339.5806858|1.0|0.0|1.0|1.0|1.0|3.21|1.69|20.0|-5.94|3.14|3.41|59.39|0.0|89.78|0.0|2.0|2.0|23.0|3.0|-6.32|299.33|0.0|1.0|2.51|0.000359|108.0|0.000154|0.0|1.16e-06|-0.02903|4.5256|-967.3160428|515.81|296.58|0.1717|273.96|353.17|0.59283|-967.212701|-0.1724099999999999|0.036701907|5.8205|68.0|7.1675
17b_a6|1|0|0|0.0|0|7.412764017000001|1|1.425925343|0.0|5.351858133|-0.0265090529999999|0.139594234|0.0|-0.0385646|-0.0791229359999999|-0.00194781|-0.563310199|0.850080948|0.7788169070000001|-0.138423611|0.8370824240000001|0.8013954109999999|-0.095450984|-0.109195656|0.318652397|-71.65078895|155.8689396|0.246050902|161.4509401|-0.041494349|-47.0150166|557.7093661|-2.074717455|-41.0971443|83.12058064|2816.0632920000003|494.7179214|-17.86570631|5985.963521|35.32951798|0.019915748|-355.2067434|627.4287311|1.0|1.0|1.0|1.0|2.0|3.53|2.89|23.0|-9.01|4.98|4.32|95.85|0.0|116.79|0.0|1.0|5.0|31.0|5.0|-5.89|409.44|0.0|1.0|3.6|1.56e-06|0.000637|6.69e-06|0.0|9.77e-10|-0.05736|3.5444|-1350.078181|690.98|413.78|0.3949|349.8|575.2|0.7016100000000001|-1349.830814|-0.12545|0.02458322|7.3188|153.0|6.8153
6_a15|0|0|0|0.0|0|0.0|0|1.419941278|0.0|0.0|-0.048804012|0.106485923|0.0|0.011857945|-0.009025163|0.003942615|-0.35221474|0.8511056929999999|0.691316481|-0.015484797|0.7248900659999999|0.810779115|-0.07051817|-0.123000073|0.398681391|-71.76572566|105.4415725|0.140691569|82.0880213|-0.0307500179999999|-41.87249058|55.65697829|-1.599000943|-24.00625743|58.34873264|2454.904173|501.3728188|-10.46812265|5589.043165|30.82854077|0.029449813|-95.65807914|592.4420375|1.0|1.0|0.0|1.0|1.0|3.29|4.03|18.0|-7.95|4.43|5.26|61.84|0.0|109.7|0.0|1.0|7.0|28.0|5.0|-5.33|380.44|0.0|1.0|4.11|2.16e-06|0.000823|7.32e-06|0.0|1.13e-08|-0.02419|4.3423|-1263.0072300000002|612.22|328.9|0.2616|285.52|545.21|0.70554|-1262.75978|-0.15714|0.01711539|1.9421|35.0|7.4559
12l_a30|0|0|0|-4.712037416|0|7.412764017000001|2|0.60498366|0.0|5.351858133|-0.274237737|-0.102468864|0.0|0.154540315|-0.02588969|-0.004395528|-0.640870513|0.613786308|0.830875659|-0.0395239879999999|0.883029843|0.593245722|-0.0905026719999999|-0.109810463|0.37422435|-76.82494797|103.5499036|0.165720595|115.9404641|-0.045581702|-53.74781658|1.697908189|-2.415830189|-44.29742723|74.10578426|3306.001879|583.6736326|-22.31041443|7576.362669|38.8038646|0.016896687|-450.2927313999999|696.6414817000001|0.0|1.0|1.0|0.0|1.0|4.72|0.0|17.0|-7.18|4.43|4.78|90.88|0.0|133.96|0.0|1.0|7.0|34.0|8.0|-5.66|482.48|0.0|0.0|3.42|1.99e-07|9.63e-05|1.2e-06|0.0|6.61e-08|-0.0545299999999999|5.0454|-1987.998976|729.17|351.78|0.2294|245.74|574.72|0.68488|-1987.782294|-0.14944|0.03406276|2.9851|61.0|7.2154
12o_a30|0|0|0|0.0|0|7.412764017000001|2|0.604984133|0.0|5.351858133|-0.028326022|-0.089996613|0.0|0.019094532|-0.087019298|0.003603419|-0.465857798|0.8264832879999999|0.815003426|-0.149451598|0.870930234|0.7463962120000001|-0.076908942|-0.0975052409999999|0.402022325|-62.74209511|75.15128057|0.1556551169999999|100.1600333|-0.037808155|-40.37291185|0.0|-1.852599578|-31.84483128|59.43716284|2860.371518|543.3140456|-15.65480256|6542.77337|29.91948755|0.0141914589999999|-402.9878652|652.8825454|0.0|1.0|1.0|0.0|1.0|4.63|0.0|17.0|-7.22|4.47|3.27|81.65|0.0|132.29|0.0|1.0|5.0|30.0|4.0|-5.75|432.93|0.0|1.0|3.11|1.19e-06|0.0005139999999999|3.61e-06|0.0|6.03e-08|-0.05085|5.1935|-2035.338699|687.92|356.1|0.1967|238.73|528.25|0.6854399999999999|-2035.139147|-0.1478799999999999|0.03392126|6.8632|16.0|7.8097
2_a20 (SB-505124)|1|0|0|-0.09011519|0|7.434257382|1|1.183764955|0.0|5.351858133|-0.076310057|0.013612077|0.0|-0.177905025|-0.137383329|0.003789399|-0.520284161|0.827730504|0.725030162|-0.19681999|0.765632979|0.790275077|-0.083565835|-0.117328885|0.214264156|-64.55966745|122.8758934|0.230563934|126.8667205|-0.0382594189999999|-35.52365346|441.9400248|-1.759933279|-25.30121848|61.69969596|2195.369524|423.3785776|-11.58380004|4762.83693|25.30541763|0.011470204|-365.2740749|477.95809620000006|1.0|1.0|1.0|1.0|1.0|3.4|3.1|17.0|-7.22|5.16|4.47|60.03|0.0|97.55|0.0|1.0|3.0|25.0|4.0|-5.31|335.4|0.0|1.0|3.81|5.72e-06|0.0019199999999999|1.22e-05|0.0|6.070000000000002e-08|-0.03717|3.6404|-1089.358727|593.8|340.58|0.3267|340.58|505.82|0.69947|-1089.147716|-0.14928|0.01305739|3.9392|169.0|6.7721
14a_a3|0|0|0|0.0|0|6.823286122000001|0|0.6050202020000001|0.0|4.727387819|-0.1160619169999999|-0.143740653|1.772745969|-0.039177314|-0.172643335|-0.004161699|-0.582572884|0.882394075|0.7574238740000001|-0.287221775|0.822587422|0.8255789570000001|-0.091731577|-0.094609848|0.21389849|-46.53709886|256.5548327|0.209105063|102.8554977|-0.036792719|-22.89086827|83.70773843|-1.324537874|-22.1944701|52.02624107|2160.698862|389.0288018|-8.902004327|4716.423352000001|23.78539971|0.0189212089999999|-256.6424807|358.3503513|1.0|1.0|1.0|1.0|1.0|3.27|2.2|21.0|-6.89|4.28|3.71|105.82|0.0|93.25|0.0|1.0|2.0|23.0|4.0|-6.42|319.38|0.0|1.0|2.76|3.54e-05|0.0113|0.000103|0.0|1.28e-07|-0.06736|3.2363|-1327.485188|528.91|383.1|0.4524|383.1|373.85|0.69708|-1327.354384|-0.1321|0.02860456|4.6689|0.03|7.5229
11_a4|0|0|0|0.0|1|7.535296702|1|0.626711769|2.159635561|5.4161004020000005|0.032861655|-0.017835936|2.216390726|-0.073554945|-0.0043410079999999|0.010782511|-0.145254541|0.6575743310000001|0.820318166|-0.007574475|0.875868891|0.647727179|-0.054262142|-0.06530408|0.4523305489999999|-37.74083422|12.88007087|0.069886591|40.38918044|-0.023620625|-21.81135655|59.55648883|-1.110169356|-18.12338426|36.75497433|2452.527871|537.5354202000001|-7.889214068999999|5425.1341090000005|18.0546182|0.011937709|-296.0029432|575.2252237|1.0|1.0|1.0|1.0|0.0|3.31|3.49|21.0|-8.05|4.97|5.22|68.9|0.0|111.64|0.0|1.0|4.0|27.0|3.0|-5.74|372.49|0.0|1.0|4.16|7.27e-06|0.00271|1.06e-05|0.0|8.89e-09|-0.05582|4907.0|-1467.440475|630.04|328.0|151.0|252.67|479.99|0.65942|-1467.20045|-0.15885|0.02336674|5.3012|0.11|6.9586
7_a15|0|0|0|0.0|0|0.0|0|1.419941457|0.0|0.0|-0.038088878|0.145944639|0.0|0.038636783|0.0019353679999999|0.002150323|-0.335491052|0.857287135|0.70084115|0.00364345|0.740089344|0.8115121240000001|-0.074406877|-0.110819329|0.403524276|-61.50761094|103.8062879|0.158599673|88.02694557|-0.026500274|-34.13832456|56.30310755|-1.2190126140000002|-22.92132733|61.6121151|2330.667514|466.9990754|-8.163512395|5097.868552|32.78250222|0.042799094|56.98518567|474.9756287|1.0|1.0|0.0|1.0|1.0|3.16|3.14|18.0|-7.19|3.38|4.64|61.84|0.0|99.77|0.0|1.0|7.0|26.0|5.0|-5.72|352.38|0.0|1.0|3.35|1.46e-05|0.00516|3.2e-05|0.0|6.41e-08|-0.0284899999999999|4.4386|-1184.367098|580.73|330.67|0.3463|279.33|499.86|0.70497|-1184.168094|-0.15605|0.01827873|1631.0|227.0|6644.0
9d_a31|1|0|0|0.0|0|7.765993078999999|1|0.61013528|0.0|5.733341277|-0.043220149|-0.057650507|0.0|-0.0938310919999999|-0.021171445|0.000127275|-0.550392027|0.8066174070000001|0.8343242820000001|-0.0375445629999999|0.873955169|0.771222772|-0.098210975|-0.11958484|0.3655337879999999|-81.53295088|154.8767865|0.305664196|208.401866|-0.033844766|-55.58917047|560.5224416|-1.793772606|-45.65350116|86.75457645|2654.377004|473.3981899|-15.732784099999998|5748.743284|34.77197803|0.023927395|-223.1115993|647.1500428999999|1.0|1.0|1.0|1.0|2.0|3.8|3.35|16.0|-7.63|6.04|4.09|117.37|0.0|112.97|0.0|1.0|9.0|29.0|5.0|-6.36|412.51|0.0|1.0|3.65|2.48e-06|0.0010199999999999|4.06e-05|0.0|2.3500000000000002e-08|-0.03457|3.8478|-1657.428165|727.27|322.22|0.2611|322.22|630.49|0.7006899999999999|-1657.1791449999998|-0.15969|0.04331056|3.5077|0.6|6.2218
14b_a25|0|0|0|0.0|1|6.842683282|0|1.420015222|1.616664856|4.727387819|-0.0166120069999999|0.001683506|1.929508048|-0.012989126|0.0009956189999999|0.004892038|-0.3691494039999999|0.6524261960000001|0.7723870909999999|0.001715854|0.8333962429999999|0.632638761|-0.076156512|-0.084160084|0.329662946|-58.29440389|112.49583529999998|0.140371985|97.23019209|-0.032728922|-40.37825712|57.85340824|-1.767361771|-36.53830946|63.83568179|3038.600508|595.4307570000001|-15.70265555|6760.594953|29.33534086|0.015746299|-377.9013888|760.3735147000001|1.0|1.0|1.0|1.0|1.0|3.51|3.21|27.0|-9.65|4.48|4.79|96.49|0.0|130.97|0.0|1.0|6.0|34.0|5.0|-6.26|444.49|0.0|1.0|3.63|2.49e-06|0.0011099999999999|5.86e-06|0.0|2.23e-10|-0.0584|5.4239|-1444.505985|716.14|304.7|0.3614|228.59|603.27|0.64983|-1444.266358|-0.16309|0.03876374|3.2784|22.0|7.6576
6c_a31|1|0|0|0.0|0|7.78113851|1|0.6101347220000001|0.0|5.733341277|-0.151732713|0.137523742|0.0|-0.00219333|-0.107687565|-0.00668344|-0.582545668|0.831901219|0.790900932|-0.172780048|0.846458013|0.7905201209999999|-0.120905075|-0.126324613|0.138124296|-79.97295595|163.6316745|0.358802727|227.1490414|-0.044739967|-50.62888027|105.7632176|-2.147518413|-48.45681657|96.63311186|2837.949799|405.9259734|-17.93106176|6283.091868|37.00884624|0.0212421629999999|-335.9398876|597.3075924999999|1.0|1.0|1.0|1.0|2.0|3.67|3.13|22.0|-7.72|5.58|4.26|131.36|0.0|114.5|0.0|1.0|5.0|30.0|5.0|-6.27|418.47|0.0|1.0|3.64|8.179999999999999e-07|0.000343|1.15e-05|0.0|1.89e-08|-0.0581799999999999|3.2974|-1691.948653|667.01|376.01|0.5028|376.01|524.56|0.7014699999999999|-1691.734564|-0.13351|0.03620884|8.8847|0.34|6.4685
