molecula|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PPSA3|FNSA4|WNSA5|RPCS|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|pIC50
25_a47|1|1|6.86171134|0|0|1.30432753|2|0.043695652|-0.055724653|-0.486951604|-0.003963349|-0.035030495|10.94972207|0.002716049|1|1|-0.00269275|-0.235822787|-0.545763902|2|0.8462332770000001|-0.077710529|0.004104478|1|0.786958319|-0.073339312|-0.08797211|-44.52300552|12.27779881|-0.031278972|-32.42203672|51.5831002|-27.0291331|71.17072517|-18.98891362|56.80080434|0.4760601829999999|477.748546|-854.5011131000001|1514.111398|-11.52783528|13.26689626|0.908616158|6236.813862|-518.7525876|30.43708613|-150.4037281|513.2159236|1.0|1.0|0.0|1.0|2.0|3.27|21.0|-8.01|3.08|2.0|109.7|1.0|-4.99|29.0|410.83|0.0|1.0|3.62|-4.82|1.52e-05|0.00626|3.53|0.0|0.0|9.79e-09|4.02e-06|4.8002|4.78|-1735.414386|-1735.385814|626.55|1062.81|310.91|258.29|491.7|0.53663|0.68761|0.0702|3.8832|-1735.279715|5.1625|7.8
3i_a32|1|0|7.78113851|0|0|0.6094207970000001|0|0.05052381|-0.21362765|-0.4449120629999999|-0.0131506889999999|-0.26785886|10.3110028|0.022524712|3|3|-0.0106761939999999|-0.212967423|-0.537667101|0|0.833699527|-0.337053202|0.030060554|1|0.893827987|-0.093279684|-0.1132851459999999|-49.17963359|8.064907632|-0.044627482|-31.48976464|0.201037767|-25.92886531|71.27609889|-23.52884474|57.24454122|0.422644726|471.2508776000001|-776.4518766|2141.3084710000003|-12.4050588|10.09193014|0.732035793|5656.349227000001|-409.3669403|30.52825775|-285.465827|318.0257595|0.0|1.0|1.0|1.0|1.0|2.49|19.0|-6.96|2.09|2.0|88.28|1.0|-6.27|24.0|366.38|1.0|1.0|4.37|-5.16|6.85e-06|0.00251|4.23|0.0|0.0|1.0900000000000001e-07|4.01e-05|3642.0|3.38|-1891.833327|-1891.811327|530.5|876.0|340.43|340.43|418.24|0.70322|0.70322|0.4765|2494.0|-1891.790935|3.8572|8.2366
12e_a40|0|1|7.515889085|0|0|0.604990524|0|0.04020202|0.174870826|-0.556620974|-0.013162335|0.130516751|10.31197242|-0.192362496|2|2|-0.014780739|0.172778196|-0.520457262|0|0.788800541|0.047011204|-0.279310345|1|0.7798787840000001|-0.132226452|-0.122830115|-71.78145688|8.195398107|-0.048387621|-36.19867792|0.0|-38.96782748|78.14505956|-26.26807189|79.97685498|0.491465612|423.3709264|-866.8463724999999|694.2415706|-14.26008524|15.75963228|0.966435355|5478.52313|-470.5828129|33.21629575|-315.75223450000004|348.3847394|0.0|1.0|0.0|0.0|2.0|3.05|20.0|-6.04|2.93|2.0|95.8|1.0|-6.53|24.0|378.23|0.0|1.0|3.98|-5.64|2.27e-06|0.00086|4.72|0.0|0.0|9.14e-07|0.000346|4.3236|4.66|-2248.276958|-2248.244231|552.91|918.38|409.82|286.76|445.12|0.6826|0.70157|284.0|2.5946|-2248.206714|3.7268|5.9318
11c_a5|0|0|6.605297921|0|0|1.427567332|2|0.027388889|-0.0859098|-0.224938556|0.005090155|-0.059682527|10.94877953|-0.023856811|1|1|0.005383056|-0.018887528|-0.269653478|2|0.8020105409999999|0.030085871|-0.044126759|0|0.80472351|-0.078909483|-0.0873419269999999|-47.99592739|10.85837291|-0.0322785379999999|-32.31269264|4.089828494|-29.19305715|66.02857181|-19.63310772|58.854300300000006|0.448016491|489.4652669|-903.1229552|926.234805|-11.94164728|16.09582374|0.811648325|5202.741647999999|-549.3157749|27.76804404|-251.8596984|523.8031619|1.0|1.0|1.0|1.0|1.0|2.14|23.0|-8.47|1.13|1.0|106.79|1.0|-4.13|28.0|370.4|0.0|1.0|3.0|-4.1|7.950000000000001e-05|0.0294|2.78|0.0|0.0|3.4000000000000003e-09|1.26e-06|4.5035|4.53|-1218.492067|-1218.454079|636.14|1071.71|294.59|275.3|512.32|0.60118|0.6267699999999999|0.2186|2.5278|-1218.336116|3.3827|7.6021
9a_a36|0|0|7.412764017000001|2|2|1.297044807|2|0.040166667|0.095192109|-0.41624054|0.0034852859999999|-0.078488872|10.96066876|-0.06502499|1|1|0.00484375|-0.202876718|-0.398235589|1|0.7885597609999999|-0.019008343|-0.1177413269999999|0|0.826559623|-0.073689118|-0.10869601|-45.04449811|14.47407729|-0.039929147|-40.61536816|0.0|-27.53468726|78.37175688|-24.40778806|59.5185754|0.453098452|505.25728260000005|-1195.981615|2167.77208|-14.91993116|13.79893984|0.828482664|5693.562367|-731.0766269999999|31.95428497|-322.5522826|578.2841135|0.0|0.0|1.0|0.0|1.0|0.0|17.0|-6.28|2.02|1.0|120.94|1.0|-3.71|29.0|382.42|0.0|0.0|1.95|-3.99|0.000102|0.0391|2.66|0.0|0.0|5.26e-07|0.0002009999999999|3.8677|3.38|-1252.802159|-1252.77514|648.41|1092.66|320.56|320.56|495.18|0.68682|0.68682|0.4811|5.7274|-1252.636005|7.4992|7.8861
34_a20|0|1|6.842683282|0|0|1.416932073|2|0.0396875|0.199191385|-0.328567476|0.003085806|-0.046356705|10.93244905|-0.054458882|1|1|0.003149352|0.057022334|-0.4478820739999999|2|0.74801464|-0.101401966|-0.090732503|1|0.7966571459999999|-0.0851907119999999|-0.085459595|-57.31821177|8.766605631000001|-0.032248904|-38.68669181|80.66541842|-38.56497154|67.53437417|-21.69778179|66.0848174|0.462785432|536.0086996|-1149.982435|2319.742032|-14.59875162|14.7802149|0.8614536140000001|6211.26199|-773.7338361000001|27.94614651|-371.9551262|712.1606951|1.0|1.0|1.0|1.0|1.0|2.92|27.0|-9.18|2.47|2.0|125.0|1.0|-5.14|32.0|419.48|0.0|1.0|3.63|-5.02|9.51e-06|0.00399|3.63|0.0|0.0|6.64e-10|2.780000000000001e-07|5.4132|4.97|-1352.31921|-1352.2836220000002|711.19|1205.64|320.38|229.04|544.93|0.38519|0.68845|0.0766|3.8519|-1352.102407|5.4994|7.2147
14ae_a23|1|2|7.423568444|0|0|1.1979624290000002|2|0.042903564|0.026913008|-0.4448081789999999|0.008996289|-0.0174992419999999|10.31321689|0.0289586779999999|2|2|0.009675528|-0.253318853|-0.363230717|2|0.7830067820000001|0.107765697|0.0469453379999999|1|0.872362051|-0.065169397|-0.087074783|-46.69131269|24.84237243|-0.0269140239999999|-44.69687612|110.5716332|-33.45249142|87.09501229|-19.28284095|71.53368511|0.479058976|625.0131414|-1060.556252|2575.36078|-13.81539807|15.59484379|0.919603093|7308.981869|-759.846894|36.35475577|-43.57178809|770.8206617000001|0.0|1.0|1.0|1.0|1.0|3.76|26.0|-7.6|2.42|2.0|133.27|1.0|-5.8|34.0|471.53|0.0|0.0|3.44|-5.08|8.22e-06|0.0038799999999999|3.52|0.0|0.0|2.49e-08|1.17e-05|3.6036|2.99|-1858.967022|-1858.952529|751.57|1285.52|344.06|344.06|627.57|0.58144|0.58144|0.3205|7.0211|-1858.7404850000005|9.5944|8.6038
14b_a23|1|2|7.423568444|0|0|1.197963628|2|0.043538647|0.0519489729999999|-0.318684138|0.007671236|-0.0644978|10.31321824|-0.047410593|2|2|0.0075222369999999|-0.17267308|-0.4557487779999999|2|0.793551289|-0.00399443|-0.077808321|1|0.8462596590000001|-0.063267638|-0.082441268|-41.01458464|13.26014776|-0.03508139|-34.64639496|84.36242964|-26.58857202|64.97993029|-22.74225338|54.274732400000005|0.450973737|548.6057241000001|-1068.885909|2280.830615|-14.74314679|14.26820636|0.821406493|6622.129837|-692.9278992000001|29.36910744|-355.71896410000005|599.5697147999999|0.0|1.0|1.0|1.0|1.0|3.44|26.0|-7.67|3.4|2.0|120.24|1.0|-5.58|31.0|429.47|0.0|0.0|3.78|-5.11|7.73e-06|0.00332|3.68|0.0|0.0|2.14e-08|9.18e-06|3706.0|3.72|-1729.161608|-1729.139722|673.05|1142.37|334.55|334.55|525.66|0.58097|0.58097|0.3603|6.8752|-1728.9893510000002|9.7544|8.3536
14z_a23|1|2|7.423568444|0|0|1.197960872|2|0.04314059|0.038811869|-0.30053593|0.009174505|-0.0438568409999999|10.31321795|-0.0229244|2|2|0.007229683|-0.125978901|-0.46459002|2|0.802520527|0.10796308|-0.035965909|1|0.925301102|-0.0582387179999999|-0.079754981|-40.56245532|12.77192721|-0.03393829|-38.68856944|79.960755|-28.25118461|66.77741935|-23.63754572|53.33438253|0.474697407|644.4593172|-1110.964649|2692.627452|-16.46322104|14.91419434|0.903664694|7285.13008|-773.7713888999999|30.08835522|-397.8390333|665.6233736|0.0|1.0|0.0|1.0|1.0|3.67|26.0|-8.57|3.99|2.0|130.3|1.0|-6.77|32.0|480.37|0.0|0.0|4.49|-6.13|7.37e-07|0.000354|4.83|0.0|0.0|2.6899999999999996e-09|1.29e-06|4032.0|4.73|-2549.107748|-2549.0953670000004|715.41|1221.92|338.46|307.5|586.28|0.66217|0.69913|0.2917|5.9301|-2548.957384|7.9877|8.2941
1m_a5|0|0|6.605297921|0|0|1.3047206409999998|2|0.026339869|-0.07112464|-0.096417794|0.006422789|-0.10797859|10.94856032|-0.011848312|1|1|0.00520748|0.07132816|-0.2274929269999999|2|0.7824502320000001|0.077347244|-0.022280685|0|0.8823955520000001|-0.070959368|-0.071478865|-37.380714700000006|4.7571353730000006|-0.028977918|-19.83596661|0.235629561|-19.69180207|46.74648368|-15.26528941|42.13785007|0.482646195|464.8375158|-564.8157081|841.0375686000001|-8.041608085|13.35855701|0.932913201|4584.808374|-297.5394992|20.67140479|-251.2513491|383.4128238|1.0|0.0|1.0|1.0|1.0|2.11|23.0|-8.63|2.4|1.0|95.5|1.0|-4.52|24.0|332.79|0.0|1.0|3.63|-4.74|1.82e-05|0.00607|3.69|0.0|0.0|2.35e-09|7.82e-07|4.6678|3.48|-1410.912452|-1410.88022|553.42|926.13|281.89|265.61|423.2|0.4527899999999999|0.45426|0.2373|1939.0|-1410.833395|2.4582|7.3665
12f_a36|0|0|7.412764017000001|2|2|1.297042537|2|0.039061728|0.10938259|-0.40641518|0.003676818|0.012286423|10.95389399|-0.06756661|1|1|0.0045625|-0.169994208|-0.438198895|1|0.821599443|-0.109793154|-0.1188384119999999|0|0.8435569079999999|-0.071035495|-0.100276611|-46.86832019|11.77610852|-0.035813075|-43.65234724|0.835268043|-30.92312428|76.51015325|-23.629013600000004|58.64442871|0.464240353|556.5681681|-1323.224761|2380.393255|-15.59012402|13.84366076|0.8665086190000001|6000.985822|-873.0469447999999|30.28188764|-369.879252|729.1873176|0.0|0.0|1.0|0.0|2.0|0.0|17.0|-7.36|2.45|1.0|133.52|1.0|-4.61|31.0|409.49|0.0|0.0|2.4|-4.57|2.6600000000000003e-05|0.0109|3.47|0.0|0.0|4.38e-08|1.7899999999999998e-05|5.2106|3.87|-1311.57896|-1311.550167|699.88|1195.77|339.27|237.95|545.55|0.37095|0.70126|0.0231|5.9228|-1311.345557|7.8454|7.9586
13a_a6|0|0|7.412764017000001|1|1|1.430639975|1|0.041767677|0.031837397|-0.602500119|-0.00460563|0.0015242189999999|10.95129557|-0.0525259259999999|1|1|-0.00194781|-0.180339002|-0.488098052|1|0.7722228729999999|0.090839165|-0.091892803|0|0.77450544|-0.094081761|-0.113446379|-61.52313164|20.83876732|-0.040840697|-48.51283287|554.4922449|-40.23198232|87.37044493|-26.70706346|82.36189896|0.467070451|506.474367|-1335.353173|2626.396685|-17.46461983|15.08351934|0.8764206290000001|6019.922535|-873.2309916000002|35.14492428|-339.9303794|627.4287311|1.0|1.0|1.0|1.0|2.0|3.2|23.0|-9.01|1.29|2.0|116.79|1.0|-5.51|31.0|409.44|0.0|1.0|3.52|-4.99|1.02e-05|0.00417|3.8|0.0|0.0|9.77e-10|4e-07|5.9934|4.04|-1350.085889|-1350.057702|695.29|1166.79|339.59|206.87|571.9|0.4816|0.70072|0.2697|7.7145|-1349.895534|9.2157|7.3372
4q_a46|0|1|7.832410927000001|1|1|1.131262631|2|0.0462962959999999|-0.012611536|-0.066250447|0.012173202|-0.155661124|10.96363644|-0.081623022|1|1|0.012222698|-0.187559576|-0.125840557|2|0.807871283|-0.15266708|-0.121752717|0|0.913550004|-0.052170875|-0.070035423|-29.12008262|8.099124333999999|-0.021010627|-21.81959712|72.14599138|-16.25388148|49.37907349|-11.72744747|37.21920695|0.487775649|509.9138517|-586.3723734|1491.412605|-6.545879136|11.78798551|0.952269544|4992.497361|-327.2939568|18.92875482|-133.46593529999998|554.3688216|1.0|1.0|1.0|1.0|0.0|3.16|17.0|-6.94|1.75|0.0|102.63|1.0|-3.41|26.0|348.44|0.0|0.0|3.15|-3.89|0.000129|0.0449|2.65|0.0|0.0|1.14e-07|3.97e-05|4.5296|2.57|-1108.751283|-1108.729426|606.7333|1043.05|273.72|273.72|510.13|0.69002|0.69002|0.1432|2.7026|-1108.566571|3.2968|6129.0
4a_a46|0|1|7.825245291|1|1|1.13463711|2|0.0473245609999999|-0.137420119|-0.051075084|0.012632881|-0.11172225|10.96352058|-0.0466186959999999|1|1|0.0120924389999999|-0.129430244|-0.143806973|2|0.764741337|-0.215877982|-0.06611606|0|0.923958017|-0.05488948|-0.067863141|-28.50561609|4.858713991|-0.022129285|-18.30276019|55.05332552|-14.80375017|41.15334508|-11.49234623|33.36433008|0.4289963579999999|479.8368017|-528.6479264|1427.844961|-5.968291366|9.831485239|0.751302315|4481.754309|-274.5414028|15.47527339|-252.0050978|480.9500663|1.0|0.0|1.0|1.0|0.0|2.8|17.0|-6.82|2.35|0.0|96.74|1.0|-3.93|24.0|318.42|0.0|1.0|3.43|-4.31|4.89e-05|0.0156|3.34|0.0|0.0|1.53e-07|4.86e-05|4.5454|3.4|-994.237445|-994.2146342|560.87|967.0|272.77|272.77|467.4|0.6893600000000001|0.6893600000000001|0.1694|3.1825|-994.079365|3.7138|6.7423
16_a47|1|0|6.605297921|0|0|1.417579067|2|0.042285714|-0.08282926|-0.23280014|-0.005688938|0.001426202|10.95023129|0.0506476009999999|1|1|-0.004153659|-0.0574194159999999|-0.3379683979999999|2|0.812131575|-0.113476605|0.081171071|1|0.691860453|-0.093207587|-0.092995116|-48.30620628|9.676588112|-0.034261359|-24.97833451|0.0|-25.03540372|60.36423869|-17.75645434|57.9827944|0.473257697|358.566882|-674.7452647999999|833.8646097|-9.202544293|13.01476838|0.898461533|4952.972679|-349.69668310000003|25.44160067|-205.1602001|357.35851410000004|1.0|0.0|1.0|1.0|2.0|1.95|21.0|-8.17|2.72|0.0|91.55|1.0|-4.34|25.0|337.33|0.0|1.0|3.52|-4.42|3.84e-05|13.0|3.27|0.0|0.0|6.8099999999999994e-09|2.3e-06|4.4393|2.95|-1167.046301|-1167.0124560000002|534.69|894.43|303.84|279.29|395.28|0.59209|0.6743899999999999|0.0909|2.3795|-1166.951551|3.8601|9.0
