molecula|SddssS|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|MATS1i|MATS1c|n6aHRing|BIC2|MATS8s|GATS1pe|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|Mor01p|PPSA5|CYP2D6 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
13b_a30|0.0|0|0.0|0|7.412764017000001|2|0.604984129|0.112353041|-0.011016128|-0.118776867|2|-0.035340334|0.0|-0.627919307|-0.003436924|0.042845487|10.31162842|-0.0463169629999999|1|-0.002215642|0.003429114|-0.564815317|1|0.836520136|-0.045844862|0.802578397|-0.109962789|-0.113554975|0.3529073379999999|-74.24619275|12.52854078|385.2420923|-0.042850934|8.459192992|105.341977|0.800290866|-2.271099499|88.26741491|86.77473353|3002.926824|468.6532296|-1533.432289|2319.48655|-19.53516918|0.1997091339999999|16.1428924|0.8334321|-1035.363967|36.15271139|713.7769663|11.59580043|0.0|0.0|0.13|17.0|-6.19|1.72|124.74|2.06|0.0|135.37|0.0|6.0|32.0|441.51|0.0|0.0|1.91|-4.3|0.00427|0.0221|2.74|0.0|0.0|6.520000000000001e-07|0.000288|-0.05434|4.54|3.5056|-1744.492044|-1744.446479|721.48|1210.94|353.68|245.51|544.04|0.32563|0.6862699999999999|-1744.2179010000002|-0.14879|-0.20313|0.0455651|5.3762|7.5901
14j_a23|0.0|1|0.0|2|7.423568444|0|1.197963927|0.074424082|-0.006327927|-0.071396109|2|0.037350515|0.722606603|-0.322724299|0.007671236|-0.026319216|10.31321824|-0.055708465|2|0.0075222369999999|-0.073945564|-0.463194548|2|0.800643488|0.143567854|0.5935522360000001|-0.062203032|-0.082226482|0.226990358|-40.35191855|13.28905737|40.38957571|-0.034989992|8.620784882999999|83.17168000000001|0.7739671709999999|-1.644529644|64.88069411|53.64097592|2943.385528|548.455847|-1066.827834|2175.598042|-14.72479008|0.226032829|15.57933561|0.988615047|-692.0651337|29.32742551|599.5697147999999|11.53930239|0.0|3.41|0.05|26.0|-7.67|4.58|105.02|3.4|1.0|120.24|0.0|5.0|31.0|429.47|0.0|0.0|3.77|-5.11|0.00114|0.00332|3.68|0.0|0.0|2.14e-08|9.18e-06|-0.07581|3.72|3.6671|-1729.15999|-1729.1379190000002|670.6|1142.37|338.1|338.1|528.18|0.65128|0.65128|-1728.9293280000002|-0.14816|-0.2239699999999999|0.02207124|8.3233|8.3883
14i_a23|0.0|1|0.0|2|7.423568444|0|1.197963212|0.142566578|-0.010148243|-0.130330047|2|0.040408197|0.7151570629999999|-0.558153376|0.002243702|-0.018541856|10.31321758|-0.026731172|2|0.002496501|-0.017918675|-0.569707595|2|0.8025091329999999|0.158023239|0.7333675390000001|-0.0889593869999999|-0.096562208|0.266320368|-60.8283953|14.65077903|324.811841|-0.039760909|10.01786784|93.48624142|0.7780956840000001|-2.027806362|79.20815775|75.47917433|3097.406945|531.9462982|-1386.567643|2447.1741030000003|-18.59026006|0.221904316|15.53342127|0.915894552|-948.103263|34.94120504|693.3423458|13.18112713|0.0|2.64|0.04|26.0|-6.96|3.12|148.11|2.28|1.0|128.38|1.0|6.0|33.0|454.51|1.0|0.0|2.61|-4.39|0.00278|0.0183|2.46|0.0|0.0|1.11e-07|5.03e-05|-0.08025|4.64|3.6931|-1798.64228|-1798.608335|715.68|1224.02|335.72|335.72|580.74|0.55606|0.55606|-1798.371346|-0.1509599999999999|-0.23121|0.03394466|8.3755|8.4622
4q_a46|0.0|0|0.09591943|1|7.832410927000001|1|1.131262631|-0.2520920439999999|-0.001250008|0.004704245|2|-0.012611536|0.0|-0.066250447|0.012173202|-0.155661124|10.96363644|-0.081623022|1|0.012222698|-0.1214838219999999|-0.125840557|2|0.807871283|-0.15266708|0.703627625|-0.052170875|-0.070035423|0.258420996|-29.12008262|8.099124333999999|38.31894407|-0.021010627|4.520667361|72.14599138|0.61955726|-1.050531344|49.37907349|37.21920695|2234.596293|509.9138517|-586.3723734|1491.412605|-6.545879136|0.38044274|11.78798551|0.952269544|-327.2939568|18.92875482|554.3688216|10.28758193|1.0|3.16|0.38|17.0|-6.94|4.09|52.83|1.75|0.0|102.63|0.0|4.0|26.0|348.44|0.0|0.0|3.15|-3.89|135.0|0.0449|2.65|0.0|0.0|1.14e-07|3.97e-05|-0.03042|2.57|4.5296|-1108.751283|-1108.729426|606.7333|1043.05|273.72|273.72|510.13|0.69002|0.69002|-1108.511662|-0.1903|-0.2207199999999999|0.02185677|3.2968|6129.0
12j_a36|0.0|0|0.0|0|7.412764017000001|2|0.6293514410000001|-0.084183025|-0.007086381|-0.0446165029999999|2|0.091496219|0.0|-0.41101009|0.00285431|0.039869055|10.33556498|-0.051080247|1|0.003710345|-0.07550872|-0.436310965|1|0.820041835|-0.1241793309999999|0.855081905|-0.069970795|-0.105480639|0.362692602|-46.2113679|11.99396966|26.39145693|-0.037113558|7.921272637|2.098786266|0.7758129420000001|-2.004132137|80.59149538|58.20533756|2881.20453|563.0803357000001|-1323.6049039999998|2536.987511|-16.18812775|0.224187058|13.78874575|0.8425708820000001|-874.1588982999999|31.59421634|725.9470896|10.92807939|0.0|0.0|0.17|17.0|-7.05|2.61|94.5|2.51|0.0|135.47|0.0|6.0|31.0|427.52|0.0|0.0|2.33|-4.51|0.0061|0.0132|3.19|0.0|0.0|8.95e-08|3.83e-05|-0.05098|3.37|3.7807|-1670.448063|-1670.420129|694.28|1198.96|327.94|238.1|536.01|0.37116|0.69967|-1670.184251|-0.15495|-0.20593|0.02793415|8.5953|8.0
19a_a22|0.0|0|0.0|1|6.842683282|0|1.422917238|-0.000989685|-0.009145283|-0.144269652|2|-0.020553065|1.545757986|-0.548716971|-0.002607064|-0.011513343|10.9464374|0.016501913|1|-0.001355145|-0.035723406|-0.496053375|2|0.777600172|-0.155892259|0.699744887|-0.090145161|-0.09370213|0.51561501|-67.26339083|18.53458775|373.8201781|-0.035138299|13.82990734|106.645364|0.684706189|-1.967744721|89.23486638|85.79797858|3167.140147|555.4133255|-1468.267194|2607.322873|-19.56380872|0.315293811|15.30120355|0.76919701|-1095.573288|38.29242013|781.8210659|19.31738094|1.0|2.27|0.08|27.0|-8.76|3.41|128.68|0.98|0.0|132.15|0.0|7.0|35.0|463.49|0.0|0.0|2.36|-4.11|0.0193|0.0356|2.05|0.0|0.0|1.73e-09|8e-07|-0.06398|5.69|3.5809|-1537.071348|-1537.0241640000002|740.07|1277.14|346.24|246.01|567.03|0.34556|0.66605|-1536.756515|-0.1508|-0.21478|0.04718381|6.5658|7.3188
12f_a40|0.0|0|0.0|1|7.515889085|0|0.604990261|-0.03356339|-0.006206277|-0.015621373|0|0.070099257|0.807254372|-0.235838511|0.008525796|0.108909202|10.31197207|-0.172869148|2|0.006841832|-0.033224348|-0.397377446|0|0.777316288|-0.160218113|0.605644757|-0.067004323|-0.082198664|3.43e-05|-37.02024147|11.90644165|62.72992556|-0.032879466|6.57837176|61.55859085|0.7314440520000001|-1.150781297|56.53158029|48.92668311|2383.68369|502.7764322|-635.8127312999999|628.5604981|-10.03685385|0.268555948|16.49362536|0.962404834|-351.2898849|24.83590915|384.1423925|11.1163852|0.0|3.61|0.06|20.0|-7.32|5.44|67.66|3.99|0.0|98.25|0.0|3.0|24.0|376.26|0.0|1.0|4.76|-5.99|0.0001|0.0003819999999999|5.4|0.0|0.0|4.81e-08|1.8100000000000003e-05|-0.07761|4.77|2.8374|-2212.359379|-2212.348599|572.63|951.55|436.97|286.25|487.85|0.6679999999999999|0.7029|-2212.222254|-0.11765|-0.19526|0.01077929|4.8562|6.4202
4e_a46|-3.742323661|0|0.092094405|1|7.825245291|1|0.300205548|0.1369980459999999|-0.005995748|-0.370202917|2|-0.08224348|0.0|-0.4017151029999999|-0.001404912|-0.058626723|10.31928077|-0.05803828|1|0.002688298|-0.030065705|-0.514537262|2|0.77019676|0.075271624|0.69063113|-0.0835371459999999|-0.084780904|0.68427144|-63.39469142|8.098142567|105.0139519|-0.030951758|6.145520557|20.27041189|0.7951078540000001|-1.949960781|73.87174786|71.49283399|3411.457836|571.9794684|-1479.78675|3129.575458|-17.82509456|0.204892146|15.06943449|0.905854609|-1122.980957|29.54149986|942.2127953|9.533193534|0.0|2.68|0.27|23.0|-8.81|5.93|124.17|2.06|0.0|137.28|0.0|5.0|35.0|488.6|1.0|0.0|3.5|-5.41|0.000405|0.00191|3.78|0.0|0.0|1.56e-09|7.64e-07|-0.03893|8.03|4.1773|-1884.613031|-1884.564974|757.1|1343.97|296.81|292.1|655.69|0.5745600000000001|0.56481|-1884.255802|-0.17112|-0.21005|0.04805633|3.2466|6.8125
47s_a18|0.0|0|0.0|0|7.03438793|1|1.251176205|0.026229332|-0.0054038509999999|-0.045792331|0|-0.026883417|0.0|-0.394481152|0.002573931|0.0134295589999999|10.94702059|-0.031515152|0|0.003686393|-0.168728915|-0.46304239|0|0.712629555|0.0109557919999999|0.716761234|-0.070258863|-0.08106112|0.306379663|-53.18668656|6.394119331000001|10.92659868|-0.030108416|4.840414512|51.05656345|0.820470855|-2.107589125|69.29837549|59.58080589|2992.734821|640.0051571|-1595.466781|1529.863965|-17.25406952|0.179529145|18.65422248|0.901192009|-1207.784866|27.77963709|1093.725912|7.934268528|1.0|0.0|0.3|18.0|-9.42|3.93|76.5|3.33|1.0|149.34|0.0|10.0|36.0|482.62|0.0|0.0|3.19|-5.45|0.000539|0.0017|4.62|0.0|0.0|3.8199999999999997e-10|1.84e-07|-0.0491399999999999|8.41|3218.0|-1534.196027|-1534.174077|809.4|1435.42|385.29|385.29|736.36|0.6926800000000001|0.6926800000000001|-1533.737579|-0.13195|-0.18109|0.02195039|2.9991|6.2104
7g_a8|0.0|0|0.0|1|7.535296702|1|1.39137419|-0.092384028|-0.01002363|-0.067360394|0|-0.030968098|0.0|-0.481134236|-0.00087806|-0.027838247|10.9431888|-0.027717137|1|0.0002620309999999|0.021974492|-0.418049442|0|0.7363841520000001|0.098510683|0.606087461|-0.107714754|-0.1122315669999999|0.306360885|-64.55562181|19.08352484|144.290464|-0.045912914|11.43714084|56.75323443|0.806738465|-2.020168201|78.41805331|83.63914665|2802.2242920000003|419.1502102|-1210.7274960000002|2079.55195|-16.4912131|0.193261535|14.3346384|0.8889952590000001|-725.6133762000001|34.10836993|509.2753308|11.15541466|0.0|3.32|0.04|23.0|-7.91|4.66|80.04|3.4|0.0|108.0|0.0|3.0|30.0|399.37|0.0|1.0|4.14|-5.44|0.000667|0.00143|4.38|0.0|0.0|1.23e-08|4.92e-06|-0.06621|6.26|3.7874|-1374.493069|-1374.4533210000002|620.67|1053.9|327.36|327.36|507.78|0.62073|0.62073|-1374.291597|-0.15508|-0.22129|0.03974865|12.9547|4.6772
15_a3|0.0|0|0.0|0|6.823286122000001|1|0.619596467|0.079167398|-0.006742751|-0.092127078|3|-0.182934001|1.809035179|-0.289938297|-0.006419472|0.126641951|10.33806279|0.021805556|0|-0.004459728|-0.022386155|-0.505519936|3|0.813015336|-0.103599654|0.911346861|-0.092342351|-0.107619999|0.451058529|-47.26593592|4.04445331|315.5421792|-0.037667|2.070175472|0.0|0.850327497|-1.50667999|60.30684851|51.31038923|2116.88728|398.6887321|-771.2023653|1433.713715|-9.868603355|0.149672503|9.975434973|0.85723565|-394.7441342|22.67368656|402.781061|5.220965278|1.0|0.0|0.24|16.0|-5.78|1.56|89.99|0.96|0.0|94.29|0.0|2.0|23.0|321.4|0.0|0.0|1.2|-3.02|547.0|306.0|1.28|0.0|0.0|1.66e-06|0.000535|-0.06319|2.33|3.7072|-1328.688126|-1328.665275|553.81|916.07|334.44|206.37|398.12|0.2843199999999999|0.67902|-1328.531138|-0.1576|-0.22079|0.0228507|2.3271|7.6021
12z_a36|0.0|0|0.0|0|7.412764017000001|2|1.297044126|-0.065211069|-0.007671785|-0.010732275|2|0.037307819|0.0|-0.421948174|-0.000143196|-0.010881947|10.95429182|-0.030529442|1|0.001194592|-0.098598933|-0.433580807|1|0.826316772|0.103551178|0.8212311840000001|-0.081592361|-0.102674964|0.492335362|-54.11489962|15.50078625|114.3931487|-0.036238222|10.28066212|15.59091678|0.712682362|-1.848149347|83.07227002|69.61568586|2841.692299|553.6621150000001|-1225.757112|2451.657399|-15.940487699999998|0.287317638|14.78435842|0.844286292|-812.9648725|33.72393432|642.3830552000001|14.97465267|0.0|0.0|0.13|17.0|-6.66|1.76|92.99|1.38|0.0|128.47|0.0|5.0|31.0|406.44|0.0|0.0|1.66|-3.95|0.0412|0.0458|2.4|0.0|0.0|2.21e-07|8.97e-05|-0.05642|2.98|3.8969|-1325.195958|-1325.157504|686.33|1153.7|318.16|318.16|539.36|0.69397|0.69397|-1324.951498|-0.1575|-0.2139199999999999|0.03845474|6.5892|8301.0
10_a3|0.0|0|0.0|0|6.823286122000001|0|0.605017375|0.190318474|-0.010609861|-0.1152010919999999|3|0.017396832|1.684975382|-0.381954986|-0.008037672|0.018484177|10.31162304|0.043342516|1|-0.005959152|-0.0495219879999999|-0.616256033|3|0.743072638|-0.140523767|0.834020779|-0.1007256719999999|-0.0989320009999999|0.518341632|-46.64544572|6.768239856|248.0820067|-0.0359752729999999|3.134330682|80.37219813|0.7066293240000001|-1.187184014|56.68388955|53.41368558|2098.79955|346.1193167|-549.7776912|1361.86525|-7.715112198|0.293370676|8.559361451000001|0.701266803|-254.5987025|23.57661855|311.6695405|10.86908195|1.0|1.78|0.0|21.0|-6.51|3.41|105.82|1.2|0.0|88.28|0.0|2.0|22.0|305.36|0.0|1.0|2.52|-3.84|0.0155|0.0443|2.43|0.0|0.0|3.06e-07|9.35e-05|-0.06238|1.64|3.4217|-1288.190838|-1288.150029|498.67|830.63|362.35|230.67|323.26|0.41894|0.68995|-1288.050987|-0.15011|-0.21249|0.04080931|9.3381|5.1
