molecula|n9FaHRing|n9FaRing|SRW09|nAHRing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|nFaHRing|RASA|PBF|FPSA3|PNSA5|RNCS|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
12o_a30|0|0|7.412764017000001|2|0.604984133|0.0|-0.0068750669999999|5.351858133|-0.028326022|0.040899471|-0.089996613|-0.364378536|0.00372838|0.019094532|10.31162888|-0.087019298|1|1|0.003603419|-0.157974241|-0.051371057|-0.090173435|-0.465857798|1|0.815003426|0|0.844344883|0.402022325|0.015460222|-62.74209511|75.15128057|-0.037808155|6.401442327000001|0.0|-1.852599578|-31.84483128|71.87393121|59.43716284|0.46964626|543.3140456|-1192.099807|2476.50603|-15.65480256|0.186865502|0.885533983|6542.77337|120.2431068|29.91948755|0.0141914589999999|-402.9878652|652.8825454|1.0|1.0|0.0|0.0|0.14|-7.22|4.47|3.27|81.65|3.31|0.0|132.29|1.0|-5.93|30.0|4.0|432.93|0.0|0.0|1.0|-5.44|1.19e-06|0.0005139999999999|3.61e-06|0.00156|0.0|2.61e-05|4.45|3.4817|-2035.37262|356.1|0.1967|0.3493699999999999|0.6854399999999999|-2035.139147|149.0|-0.1478799999999999|-0.19873|0.03392126|6.8632|7.8097
17a_a6|0|0|7.412764017000001|1|1.424257628|0.0|-0.012704951|5.351858133|-0.0265090529999999|0.041767677|0.04129257|-0.686067347|-0.00460563|0.078798543|10.94948984|-0.060774312|1|1|-0.00194781|0.068338372|-0.10896749|-0.180339002|-0.5624663560000001|1|0.7722228729999999|0|0.753082653|0.350977745|0.031147305|-71.75703418|157.13173490000003|-0.041567592|13.40315088|554.1936506|-2.078379577|-41.34573382|84.75077935|83.46070738|0.483320982|494.010135|-1363.383649|2217.333474|-17.887155899999996|0.22806502|0.935437602|5996.580489|149.60699319999998|35.323795000000004|0.019808023|-356.769966|627.4287311|1.0|1.0|1.0|2.88|0.12|-9.01|4.98|4.32|95.85|1.7|0.0|116.79|1.0|-5.81|31.0|5.0|409.44|0.0|0.0|1.0|-5.17|1.56e-06|0.000637|6.69e-06|0.00274|0.0|4e-07|4.04|2.9753|-1350.102634|416.71|0.3933|0.69627|0.7024|-1349.830672|0.0101|-0.12425|-0.18178|0.02379552|5604.0|7.6198
18b_a25|0|0|6.842683282|0|1.194228955|1.824998189|-0.003259453|4.727387819|0.0131826839999999|0.038137255|-0.018632104|-0.189048258|0.006181503|0.014055398|10.31286058|0.0009956189999999|1|1|0.00598031|-0.032776381|-0.034703635|-0.061048368|-0.303383008|2|0.7723870909999999|1|0.936253893|0.348987182|0.01278627|-55.18621997|80.36582704|-0.0305838929999999|6.296086869|0.0|-1.6515302369999998|-31.08693686|64.81723515|53.27347337|0.493622561|656.9874135|-1158.910619|2327.4502850000003|-15.05981357|0.215220531|0.974811521|6973.180791|151.02439719999998|27.34692815|0.013724883|-399.6704921|809.2903831|1.0|1.0|1.0|3.56|0.07|-9.84|5.93|5.59|111.51|2.2|1.0|138.56|1.0|-6.54|34.0|4.0|460.55|0.0|0.0|1.0|-5.71|2.87e-07|0.000132|1.95e-06|0.000899|0.0|6.690000000000001e-08|4.32|3.6826|-1767.52411|336.67|0.2658|0.36733|0.54166|-1767.2232149999998|0.0468|-0.15079|-0.22145|0.03002332|2752.0|7.2924
4_a38 (LY-2157299)|0|0|7.535296702|1|1.343847059|2.0959524330000003|-0.00638266|5.4161004020000005|-0.080432741|0.041252955|-0.0501467259999999|-0.325515636|0.002865697|-0.159241692|10.9277672|-0.020954339|1|1|0.003107816|-0.083399128|0.028964355|0.0481706809999999|-0.463575124|2|0.8099394329999999|1|0.754313773|0.459041332|0.01243241|-51.11565158|260.7739337|-0.03235283|4.060137052|71.22674185|-1.520583011|-30.23133173|58.99645489|60.00582329|0.487041509|431.0669496|-868.9660769|1686.693134|-10.56568487|0.213882939|0.949475478|5566.495502000001|122.2274724|23.51893991|0.01379043|-327.0140711|542.7276591|0.0|1.0|1.0|2.6|0.18|-7.13|3.69|3.51|86.69|1.84|0.0|108.18|1.0|-3.85|28.0|4.0|369.42|0.0|0.0|1.0|-3.99|0.0001409999999999|52.0|0.000102|0.0375|0.0|2.75e-05|3.95|3.78|-1198.683473|327.69|0.2|0.4|0.68|-1198.442536|0.06|-0.16|-0.22|0.03652312|7.6529|7.1586
24_a20|0|0|6.842683282|0|1.40648755|1.959359883|-0.001547029|4.727387819|0.029711934|0.03625|0.087887688|-0.083539572|0.009265667|-0.060940703|10.93106245|-0.04104|1|1|0.008780074|0.1468474119999999|-0.036258691|-0.060582944|-0.188335708|2|0.74131936|1|0.952027295|0.531656762|0.012814211|-42.82548904|12.83518119|-0.02714795|5.102023479|406.1522673|-1.357397496|-24.46164548|51.30386873|46.85253003|0.457794721|600.7235847000001|-856.5097809|1961.887639|-10.80905198|0.228967757|0.844319927|6109.1040920000005|144.47729840000002|22.21722343|0.013436544|-342.0394805|664.4562602999999|1.0|1.0|1.0|3.21|0.08|-9.32|4.76|4.78|80.28|1.86|0.0|119.42|1.0|-4.89|31.0|5.0|402.45|0.0|0.0|1.0|-4.93|1.29e-05|0.00519|1.17e-05|0.00469|0.0|1.94e-07|3.74|3.5876|-1291.896802|345.59|0.2495|0.46668|0.44916|-1291.647083|0.0108|-0.15687|-0.22435|0.02922392|4.3906|6.4976
12as_a36|0|0|7.412764017000001|2|1.297043209|0.0|-0.007672841|5.351858133|-0.073735973|0.041728395|0.096454203|-0.452697599|0.000584134|-0.114290948|10.95347588|-0.025398105|1|1|0.0018565629999999|0.162571317|-0.098698552|-0.166354116|-0.4358775279999999|1|0.817372883|0|0.77043791|0.291030086|0.019229943|-73.78005999|88.17694537|-0.037824788|8.731418812000001|0.0|-2.080363362|-37.57216725|85.53474971|68.71652969|0.454761514|519.1478419|-1401.82114|2365.632846|-17.17446921|0.231874606|0.834059821|6224.698969|156.2451686|33.18163581|0.017444469|-361.3444194|716.9974499|1.0|1.0|0.0|0.0|0.17|-6.89|3.16|2.09|86.27|1.59|0.0|133.95|1.0|-3.81|32.0|5.0|423.47|0.0|0.0|0.0|-3.95|0.000154|0.0653|0.000112|0.0476|0.0|5.4600000000000006e-05|4.84|3851.0|-1385.601917|321.96|0.5902|0.53815|0.68211|-1385.322633|0.2402|-0.1563|-0.21419|0.03674596|6.8556|7.2291
19e_a38|0|0|7.412764017000001|2|1.297043576|0.0|-0.007550899|5.351858133|-0.10490608|0.04508642|0.021678225|-0.4379521229999999|-0.001197042|-0.104569193|10.94917392|-0.038386106|1|1|0.000347207|0.045449529|-0.091460175|-0.191751024|-0.436305701|1|0.839953955|0|0.776562593|0.552393659|0.02118651|-68.82539051|118.734325|-0.03783113|9.619015829|16.39385667|-2.042881001|-37.96637911|82.37885703|70.62168376|0.4655978389999999|523.2534216|-1376.50781|3426.997928|-17.17594064|0.250809026|0.871249918|6531.762734|168.99691289999998|34.02454948|0.020114756|-335.8133169|696.3887025|1.0|1.0|1.0|3.08|0.12|-7.28|4.03|3.09|81.23|2.75|0.0|135.78|1.0|-4.94|32.0|4.0|427.48|0.0|0.0|1.0|-4.72|1.15e-05|0.0049|1.89e-05|0.00807|0.0|2.25e-05|4.08|3.8587|-1409.582478|321.31|0.3948|0.41961|0.58509|-1409.315831|0.3738|-0.15584|-0.20723|0.03483011|8.0952|8.0083
8d_a12|1|1|6.580639137|1|1.283835213|0.0|-0.0076893469999999|4.59511985|-0.048642535|0.038347953|0.0276482139999999|-0.376778003|0.000925796|-0.065870394|10.94458983|-0.046326855|1|1|0.001575111|0.0479437859999999|0.00930483|0.016135176|-0.484923957|1|0.751098108|1|0.858710112|0.266886187|0.011348654|-57.57034769|90.34024296|-0.039118358|3.507952014|0.0|-1.760326118|-24.05928792|64.53435462|49.58366734|0.465113852|477.4206699|-978.6959108|1288.818257|-12.09177064|0.166136296|0.8695567329999999|5255.11762|92.36749461|26.08195789|0.012525773|-371.2392138|503.2240425|1.0|1.0|1.0|2.23|0.1|-8.37|3.87|2.67|65.96|2.83|0.0|112.14|1.0|-4.58|27.0|4.0|352.39|0.0|1.0|1.0|-4.61|2.64e-05|0.0093|2.43e-05|0.0085799999999999|0.0|1.49e-06|3.53|3.7397|-1138.296407|331.53|0.2871|0.6661|0.4997399999999999|-1138.086709|0.0853|-0.15306|-0.20794|0.04004678|3.0277|7.6021
36_a18|0|0|7.03438793|2|1.25117638|0.0|-0.006407141|4.844187086|-0.020339784|0.036625514|-0.05224259|-0.442092758|-0.000451777|-0.0077246719999999|10.94702093|0.003321395|0|0|0.000825855|-0.079553246|-0.079721028|-0.12139648|-0.493920601|0|0.741135729|0|0.804293867|0.3847791889999999|0.009440278|-56.82615305|110.8288932|-0.031922305|4.786442152|83.34177364|-2.074949798|-39.43509046|65.59412783|62.10402945|0.4751830729999999|572.70209|-1477.479979|1547.485543|-16.1853561|0.187943933|0.905426346|6799.65027|133.8265619|27.99124609|0.0123136069999999|-444.4026478999999|975.4099618|1.0|1.0|1.0|0.0|0.28|-9.16|3.73|2.96|85.29|3.13|1.0|146.24|1.0|-5.68|35.0|3.0|466.57|0.0|0.0|1.0|-5.28|2.09e-06|0.000975|5.19e-06|0.00242|0.0|3.210000000000001e-07|7.75|3.1908|-1493.686737|388.57|0.4674|0.69372|0.69372|-1493.266344|0.4674|-0.13133|-0.18124|0.02564498|2.7547|7.4949
18_a34|0|0|7.423568444|1|1.4547811819999998|1.801574074|-0.014733513|5.351858133|-0.101546926|0.040527066|-0.100548575|-0.677741618|-0.001615187|-0.141332289|10.9595763|-0.136990511|1|1|0.002183342|-0.155197864|-0.3102088839999999|-0.478810922|-0.493450778|1|0.805756513|0|0.68981472|0.295523326|0.040845819|-71.65163761|66.6880793|-0.0422555509999999|12.44948722|54.26737825|-1.816988713|-27.53138148|86.77082535|72.41862911|0.441058733|380.8328339|-1003.122927|1774.550004|-12.87916264|0.304150055|0.789096743|5296.289007|167.9151283|33.52510165|0.027385869|-216.2496321|428.6241319|1.0|0.0|1.0|3.61|0.21|-5.65|3.13|3.15|75.47|1.49|0.0|93.91|2.0|-4.32|26.0|6.0|351.36|0.0|1.0|1.0|-4.11|4.77e-05|0.0167|7.829999999999999e-05|0.0275|0.0|0.000781|5.07|4.1234|-1199.288654|300.68|0.3525|0.56101|0.60488|-1199.101028|0.0303|-0.17549|-0.21474|0.02902032|6.7806|5.6144
6_a4|0|0|7.535296702|1|1.271761557|2.170234316|-0.001221193|5.4161004020000005|0.010164572|0.035283951|0.042096749|-0.064723237|0.011457667|0.0032928379999999|10.92992785|-0.208689928|1|1|0.01098094|0.0671397079999999|-0.046166422|-0.073630392|-0.1738111839999999|2|0.76089528|1|0.945545838|0.417868437|0.0077624059999999|-37.33240845|14.1731579|-0.024618083|2.408866521|45.93422613|-1.206286076|-16.25991695|42.27020924|33.5125766|0.423084148|526.7333132|-671.9833521|1968.0178670000005|-7.639600225|0.1855291969999999|0.733355042|5256.215815|103.3523757|16.83786074|0.008863911|-350.36323230000005|578.2065561000001|0.0|1.0|1.0|3.45|0.26|-7.99|5.1|5.23|43.6|3.09|0.0|109.7|1.0|-4.91|27.0|3.0|354.45|0.0|1.0|1.0|-5.11|1.24e-05|0.0043799999999999|7.74e-06|0.00274|0.0|3.67e-06|4.11|4.0354|-1108.585859|307.24|0.1235|0.60542|0.5877|-1108.338577|0.0772|-0.16959|-0.2182599999999999|0.02244097|3.2192|5.8861
12ao_a36|0|0|7.412764017000001|2|1.297043885|0.0|-0.007081548|5.351858133|-0.065314765|0.042739018|0.0895536619999999|-0.410729809|0.002782748|-0.113963585|10.94919858|-0.033032344|1|1|0.003724542|0.1523047569999999|-0.095253274|-0.1619981409999999|-0.435820128|1|0.82626942|0|0.832582759|0.264688501|0.017784426|-67.45579866|85.17634667|-0.03775988|7.785557064|0.0|-2.039033535|-34.08795068|78.51108393|63.28698809|0.462968912|550.8740683|-1349.115973|2298.760179|-16.53028876|0.217901822|0.8620895909999999|5943.227395|144.1736112|31.9443643|0.016708791|-373.2975961|698.847203|1.0|1.0|0.0|0.0|0.12|-7.01|3.62|2.42|69.2|2.38|0.0|133.84|1.0|-4.58|31.0|4.0|407.47|0.0|1.0|0.0|-4.55|2.6e-05|0.0106|2.82e-05|0.0115|0.0|3.94e-05|3.83|3.4743|-1310.361099|356.86|0.6249|0.4962|0.7045|-1310.077853|0.0033|-0.14207|-0.19662|0.03244719|7.447999999999999|7.5229
19i_a38|0|0|7.412764017000001|2|1.297043925|0.0|-0.008447598|5.351858133|-0.115864198|0.043197531|0.08414367|-0.4561702689999999|-0.006877664|-0.074033381|10.96052467|-0.053762162|1|1|-0.004358975|0.215263198|-0.098027247|-0.250781298|-0.430016467|1|0.836170906|0|0.747158407|0.4748744179999999|0.022576308|-69.40536597|137.7658863|-0.040770109|8.479305267|10.71501217|-2.038505453|-31.35232957|82.98550237|64.99417804|0.444551315|457.89548719999993|-1249.2965869999998|2335.0953870000003|-15.31261014|0.258076158|0.800346329|6744.7785650000005|158.161786|33.67721904|0.022159015|-296.5257022|593.6088758|1.0|1.0|1.0|2.88|0.14|-7.12|3.55|3.11|81.23|2.78|0.0|125.65|1.0|-4.25|31.0|5.0|419.43|0.0|0.0|1.0|-4.33|5.68e-05|0.0238|4.67e-05|0.0196|0.0|3.19e-05|3.66|3.6129|-1431.415351|343.17|0.2156|0.4342|0.69267|-1431.181148|0.1886|-0.14872|-0.2052|0.03110827|8.6365|7.9031
