molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|n5aHRing|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GRAVp|PNSA2|WNSA4|FPSA1|GeomDiameter|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
11d_a5|1|0|0|2.9590700880000003|0|6.605297921|0|0|1.388848584|-0.245058546|-0.003373937|4.59511985|0.001099755|2|0.0228184279999999|-0.125546291|-0.185566552|0.008307337|10.94877952|1|-0.202307745|-0.12451554|-0.22897714|2|0.786587307|0.036918829|0.831190148|0.755793189|0|0.87090286|-0.063028408|-0.0847408619999999|-40.04753555|-53.84338206|8.151092424|61.45330587|0.12909714|82.02685783|0.0|0.712305422|-1.525335513|65.35645739|-18.63809379|2540.78984|-969.1808771|-11.84243331|0.287694578|17.62784804|-615.8065323|26.16587381|0.018119737|1360.625438|11.51307533|1.0|1.0|1.0|1.0|1.0|1.0|3.13|3.37|0.17|23.0|-8.64|66.93|1.42|1.0|114.29|7.0|-4.14|-6.47|385.46|3.28|7.2e-05|0.0198|3.07|0.0|2.31e-09|8.909999999999999e-07|4.4175|2.59|4107.0|-1239.093739|682.09|1154.67|280.66|0.66686|0.6533399999999999|0.2068|-0.16762|0.03371838|-1238.914819|15.0|7.8239
12al_a36|1|0|0|3.469383582|0|7.412764017000001|2|2|1.297043737|-0.06777947|-0.008463062|5.351858133|-0.04314418|2|0.042739018|0.1030147719999999|-0.4908576189999999|0.00127667|10.96020817|1|0.172830414|-0.1430106119999999|-0.404703593|1|0.8913597320000001|-0.055405405|0.885733922|0.84179881|0|0.801179217|-0.077842923|-0.105915949|-51.22331485|-69.69632923|17.71943397|114.2305891|0.198820783|130.8308989|0.0|0.671084645|-1.906487074|86.77628559|-23.23210974|2843.740855|-1254.533926|-15.28752554|0.328915355|16.15533063|-825.5263792000001|34.61874732|0.025956027|1869.412355|17.07995636|1.0|0.0|0.0|1.0|0.0|2.0|4.81|0.0|0.17|17.0|-6.69|78.43|1.72|1.0|130.24|6.0|-3.95|-6.93|411.46|1.81|0.000113|35.0|2.65|0.0|2.03e-07|8.340000000000001e-05|3878.0|2.92|3.5511|-1347.445127|702.95|1181.84|319.71|0.6945399999999999|0.70417|0.0095|-0.14558|0.03469224|-1347.257936|48.0|7.3188
2_a27|0|0|0|0.0|2|6.605297921|0|0|1.402655014|0.09890645|-0.0065894809999999|4.59511985|-0.0609613559999999|2|0.0427777779999999|-0.196529806|-0.276758209|0.009338889|10.93783218|1|-0.337316432|-0.21066171|-0.475677812|2|0.639024713|0.027777778|0.8585302370000001|0.60904903|1|0.8468699609999999|-0.058444848|-0.081513931|-29.42169804|-41.03489597|9.972342226|9.194894069|0.153130039|77.08713259|53.58106492|0.6684621829999999|-1.141195033|52.43208086|-14.73047548|2210.487938|-574.4885436000001|-7.415462877|0.331537817|9.527176544|-289.2030522|22.03636323|0.022639983|859.4181658|11.39718489|0.0|0.0|1.0|0.0|1.0|0.0|2.9|3.06|0.11|21.0|-5.84|65.6|2.42|0.0|92.58|2.0|-3.19|-6.69|317.34|2.52|0.000644|0.0638|2.18|0.0|1.45e-06|0.0004599999999999|4.1624|4.32|4.1624|-1043.7984|538.57|906.48|297.87|0.55857|0.55857|0.3217|-0.16769|0.02268519|-1043.715364|13.0|7.8861
12l_a30|0|0|0|0.0|0|7.412764017000001|2|2|0.60498366|0.157020295|-0.015371073|5.351858133|-0.274237737|2|0.044036281|-0.102468864|-0.876151158|-0.00695299|10.31162828|1|-0.300262845|-0.077457998|-0.640870513|1|0.613786308|-0.0395239879999999|0.883029843|0.593245722|0|0.834279405|-0.0905026719999999|-0.109810463|-63.31694493|-76.82494797|10.78883933|103.5499036|0.165720595|115.9404641|1.697908189|0.8218150790000001|-2.415830189|88.64610824|-31.88960104|3306.001879|-1690.148855|-22.31041443|0.178184921|17.23248653|-1182.451965|38.8038646|0.016896687|2056.604824|11.82116027|1.0|0.0|1.0|1.0|0.0|1.0|4.72|0.0|0.17|17.0|-7.18|90.88|2.82|2.0|133.96|7.0|-6.7|-5.66|482.48|3.42|1.99e-07|0.000579|5.05|0.0|6.61e-08|3.19e-05|5.0454|5.52|3.5245|-1987.998976|729.17|1223.54|245.74|0.39486|0.68488|0.1574|-0.14944|0.03406276|-1987.848331|61.0|7.2154
18_a20|1|0|0|3.463603867|0|6.842683282|0|0|1.400923654|0.1160337319999999|-0.008841844|4.727387819|-0.12050413|2|0.0396875|0.163548857|-0.5039851160000001|-0.005614194|10.93301779|1|0.268927191|0.001996439|-0.597167441|2|0.809917509|-0.090732503|0.8162774979999999|0.778639593|1|0.76136176|-0.0927760219999999|-0.095227339|-61.73239771|-63.36348363|7.195302872999999|318.5587088|0.23863824|158.7879106|82.70867776|0.8109110409999999|-1.904546783|72.31812218|-23.91074854|2809.844943|-1267.269673|-15.91001426|0.1890889589999999|15.51556677|-843.230756|29.4862782|0.013457694|1562.772745|8.954638548|1.0|1.0|1.0|1.0|1.0|2.0|3.48|2.76|0.08|27.0|-10.0|97.55|2.06|2.0|125.07|5.0|-5.59|-6.13|419.48|3.78|2.54e-06|0.0029|3.85|0.0|9.93e-11|4.17e-08|5.9778|5.35|3.5355|-1352.32685|703.24|1204.88|207.41|0.31154|0.6953699999999999|0.2011|-0.14685|0.03787435|-1352.135304|34.0|7.4685
18c_a22|0|0|0|0.0|1|6.842683282|0|0|1.194229067|-0.191807441|-0.003749104|4.727387819|0.013131848|2|0.038137255|-0.044828537|-0.213698903|0.005449965|10.31286086|1|-0.081550274|-0.078828791|-0.305378181|2|0.7290394929999999|0.010828071|0.8287956870000001|0.6922232890000001|1|0.931073539|-0.057956428|-0.076388478|-40.094865000000006|-52.84635017|13.72808419|30.63947336|0.068926461|47.68404831|15.22791009|0.682690024|-1.52776956|67.73280290000001|-19.94201893|3090.601885|-1056.927003|-13.79609783|0.317309976|14.04085897|-731.1931848999999|29.21094233|0.0215181079999999|1548.179944|14.88645273|1.0|1.0|1.0|1.0|1.0|1.0|3.56|3.3|0.08|27.0|-9.46|124.4|1.47|1.0|136.36|6.0|-5.8|-6.63|461.54|3.72|1.6e-06|0.0036799999999999|3.5|0.0|3.4299999999999995e-10|1.58e-07|5655.0|3.5|3.7222|-1783.5397829999995|707.08|1249.84|219.25|0.4609|0.60449|0.0817|-0.15158|0.02279458|-1783.340519|26.0|7585.0
18c_a25|0|0|0|0.0|1|6.842683282|0|0|1.193723817|-0.087958541|-0.002704524|4.727387819|-0.008080236|2|0.043274232|0.007241543|-0.162271435|0.007804726|10.31285373|1|0.01222181|-0.038006869|-0.282103688|2|0.7644072209999999|0.0114970419999999|0.8005589320000001|0.7357918440000001|1|0.94801724|-0.048636087|-0.0719340379999999|-31.96445203|-47.27625541|6.300016824|26.54367263|0.05198276|34.1639413|0.0|0.7479204509999999|-1.510614788|56.83666555|-17.72859578|2917.369488|-992.8013635|-11.65153036|0.2520795489999999|14.65844196|-652.4856999|23.70385212|0.014546814|1327.415719|9.560410146|1.0|1.0|1.0|1.0|1.0|1.0|3.58|3.89|0.11|27.0|-10.17|87.72|3.08|2.0|138.65|7.0|-6.05|-5.85|449.57|4.77|8.86e-07|0.00113|4.49|0.0|6.79e-11|3.0499999999999995e-08|5.4858|4.75|3.3396|-1714.5777670000002|698.86|1243.76|226.01|0.31993|0.70516|0.0041|-0.13312|0.02003004|-1714.342386|88.0|7.0555
12u_a30|0|0|0|0.0|0|7.412764017000001|2|2|0.604983445|0.028039604|-0.006935447|5.351858133|-0.027452346|2|0.043383838|-0.091507428|-0.367578706|0.002431329|10.31162873|1|-0.15896471|-0.0493878409999999|-0.467189145|1|0.8149999040000001|-0.105767484|0.889479916|0.711738503|0|0.84944095|-0.0773921259999999|-0.097867106|-51.83732031|-65.55148142|10.42404292|78.15130994|0.15055905|100.8445957|0.0|0.810462868|-1.859475018|75.26051582|-25.41792137|3001.03926|-1245.478147|-17.02494806|0.189537132|14.01586754|-834.2224549|31.36222814|0.014495402|1536.749179|9.709034401|1.0|0.0|1.0|1.0|0.0|1.0|4.63|0.0|0.14|17.0|-7.8|81.65|3.79|2.0|137.3|5.0|-6.58|-5.52|467.37|3.59|2.64e-07|0.0004269999999999|5.12|0.0|1.58e-08|7.39e-06|3.5003|5.08|3.5003|-2494.927579|705.15|1202.06|354.21|0.6847|0.6847|0.1502|-0.1486299999999999|0.03472994|-2494.7995530000003|34.0|7.4647
4_a47|0|0|0|0.0|0|0.0|0|0|1.304464196|0.004633887|-0.008204735|0.0|-0.121159855|2|0.038479532|-0.158636969|-0.3692130839999999|-0.007295208|10.93671044|0|-0.247195952|-0.017555555|-0.462831711|2|0.893350891|0.019305509|0.84420422|0.8124901999999999|1|0.874200878|-0.07804769|-0.092556319|-42.46254967|-50.35610033|4.22896799|96.20929041|0.1257991219999999|68.44214684|0.0|0.806604393|-1.48090111|57.78603076|-19.18327632|2306.463316|-805.6976052|-10.43683449|0.193395607|10.818777699999998|-438.3470487|23.78275706|0.013656479|998.8757964|7.429930428|1.0|1.0|0.0|1.0|1.0|2.0|2.75|3.01|0.05|22.0|-8.79|58.04|3.1|2.0|106.52|3.0|-5.92|-4.99|361.82|4.32|1.21e-06|0.0008359999999999|4.96|0.0|1.61e-09|5.81e-07|5.7708|4.44|3.73|-1509.4201369999998|576.9|988.42|214.85|0.45947|0.69157|0.2221|-0.1547|0.03342033|-1509.3147789999998|32.0|7.5
12g_a40|0|0|0|0.0|1|7.515889085|0|0|0.604990688|0.037440516|-0.01011728|5.4161004020000005|-0.129331216|0|0.036630824|0.167050952|-0.354104815|-0.001011175|10.31197254|2|0.280045216|0.063401514|-0.512657141|0|0.777835705|-0.326139923|0.8396782220000001|0.6941475490000001|1|0.8702014570000001|-0.0951493559999999|-0.099521372|-49.94706785|-52.24208444|6.670206427999999|130.7472028|0.129798543|68.1355805|0.0|0.852031227|-1.393299206|59.29860462|-22.85591194|2287.970776|-731.3891821000001|-11.99782981|0.147968773|14.39849078|-383.9305539|26.82520454|0.013442698|858.4065454|7.056520179|1.0|0.0|1.0|0.0|0.0|1.0|3.24|3.2|0.0|20.0|-6.63|78.66|3.76|2.0|93.78|2.0|-6.46|-4.91|362.23|4.4|3.43e-07|0.000586|5.07|0.0|2.37e-07|8.57e-05|4.0224|4.84|3.1577|-2173.0224510000003|540.25|896.63|308.23|0.67055|0.6988|0.2682|-0.13191|0.02230594|-2172.988604|724.0|6.1403
14a_a5|1|0|0|2.948727373|0|6.605297921|1|1|1.226142247|-0.056730193|-0.0053665219999999|4.59511985|-0.005002101|3|0.027375887|-0.132625457|-0.316624785|0.002956745|10.9488747|1|-0.213526163|-0.010147323|-0.36152442|2|0.7333482170000001|0.047169811|0.847379958|0.71006207|0|0.7909255559999999|-0.080875277|-0.078681402|-54.69145586|-53.20786056|11.74431806|134.62273080000003|0.209074444|141.38542919999998|55.04914434|0.629783335|-1.494946644|69.71575554|-18.38089729|2836.468636|-1010.949351|-12.42997952|0.370216665|15.89694877|-683.6488737000001|29.18606491|0.024411136|1605.23357|16.50789498|0.0|1.0|1.0|1.0|1.0|2.0|3.24|2.41|0.2|23.0|-8.84|92.79|1.37|1.0|123.0|6.0|-4.15|-7.08|425.48|3.05|7.15e-05|0.0256|2.55|0.0|1.45e-09|6.16e-07|4.1501|4.3|4.1501|-1390.546425|692.8|1195.01|298.75|0.65789|0.65789|0.5853|-0.1676|0.04629687|-1390.352729|112.0|6.9508
4_a4|0|0|0|0.0|1|7.535296702|1|1|1.343865392|-0.183963421|-0.001234337|5.4161004020000005|0.0159331539999999|2|0.036775068|-0.0214610589999999|-0.058013858|0.011760626|10.92992837|1|-0.035166634|-0.048056862|-0.157959343|2|0.646069495|-0.063012715|0.8306695270000001|0.636572383|1|0.933276024|-0.049768752|-0.06873731|-25.64211031|-35.41518716|4.4155367960000005|13.70182982|0.0667239759999999|34.37786704|42.42341622|0.793717973|-1.099796957|40.86951119|-13.17774406|2221.6122010000004|-566.6429946000001|-6.78950447|0.2062820269999999|8.855289118|-291.9486922|16.60255217|0.010586293|713.9097433|5.454324025|1.0|1.0|0.0|1.0|1.0|0.0|3.15|3.09|0.19|21.0|-7.57|43.6|2.66|1.0|100.08|2.0|-4.12|-5.79|326.39|3.64|7.59e-05|0.00877|3.52|0.0|2.71e-08|8.85e-06|5.382000000000001|3.24|4.0261|-1029.93716|566.84|960.45|230.37|0.55032|0.6010800000000001|67.0|-0.1696599999999999|0.02323788|-1029.813844|78.0|7.1079
47t_a18|0|0|0|0.0|0|7.03438793|1|1|1.25117758|0.1115820769999999|-0.0128248239999999|4.844187086|-0.161517185|0|0.03672956|0.018018036|-0.756664598|-0.006573438|10.94702032|0|0.027313444|-0.068787175|-0.600890268|0|0.704602886|-0.074774521|0.796935152|0.688453085|0|0.67203319|-0.119202068|-0.103295568|-79.78154029|-69.13537385|9.415011332|280.622476|0.32796681|219.5070758|78.43695402|0.804531523|-2.272502492|80.00407742|-27.16032544|2872.533415|-1520.978225|-18.17831387|0.195468477|17.48280476|-1017.985577|33.75918118|0.016238994|1890.514146|10.86870356|0.0|0.0|0.0|1.0|0.0|3.0|3.86|0.0|0.15|18.0|-7.51|110.56|1.64|2.0|129.21|7.0|-5.58|-6.46|441.48|2.15|2.65e-06|0.0075299999999999|3.57|0.0|3.09e-08|1.36e-05|3.1164|9.4|3.1164|-1470.836067|703.76|1218.95|397.84|0.6895100000000001|0.6895100000000001|0.5502|-0.12692|0.03767603|-1470.593659|782.0|6.1068
