molecula|NaaNH|n9FaHRing|SaaNH|SRW09|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA5|PPSA3|TPSA_x|FNSA4|WPSA3|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GRAV|WNSA2|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50
12ae_a36|1|0|3.412870974|7.412764017000001|0.299253957|0.0|0.069118289|-0.009867085|-0.351827031|0.041555556|0.0|-0.006862238|-0.083959343|10.31810353|0.006615826|1|-0.001160331|0.151620635|-0.15024383|-0.261631709|-0.513686975|1|0.8183043390000001|0.831101086|0.010209009|0.8837136859999999|0.750657639|0|0.7162413209999999|-0.105648609|0.439268891|0.023873046|-78.71102033|17.78605328|211.4077529|-0.036430555|13.25108213|-47.65297933|97.76153993|81.74750345|0.465246185|3486.122819|533.6188092|-1574.220407|2634.745208|-20.22131065|0.315002436|8.676756505|7331.209763|-1172.836017|0.025570256|-275.6561988|805.2286932|19.05051961|0.0|0.0|5.03|17.0|-6.87|2.15|123.75|0.84|1.0|0.0|0.0|7.0|34.0|-8.03|-3.72|0.0668|0.0897|1.64|0.0|-0.0548899999999999|-1876.203168|-1876.152311|754.15|320.67|0.40141|0.68591|-1875.897072|0.3366|6.7458|-0.21149|-1875.963244|15.0|7.8239
12ap_a36|1|0|3.4417292610000003|7.412764017000001|1.2970441659999998|0.0|-0.06398791|-0.007719624|-0.010732275|0.042739018|0.0|-0.000143196|-0.105824575|10.95430638|-0.042675894|1|0.001194592|0.117738331|-0.098598933|-0.175397741|-0.436880644|1|0.8707354620000001|0.832758813|-0.074596774|0.893689741|0.8212311840000001|0|0.830587483|-0.106173763|0.27547717|0.0217479329999999|-69.6632787|14.26936622|111.1558165|-0.037473093|9.36249036|-35.56900768|83.16347311|68.48007054|0.464588|2843.18721|544.9693552|-1253.939017|2328.307856|-16.13217554|0.262148114|8.766216204|6003.481614|-822.7409526|0.020575639|-312.1212186|642.3830552000001|13.50019441|1.0|0.0|4.78|17.0|-6.66|1.76|92.99|1.38|1.0|0.0|0.0|5.0|31.0|-7.08|-3.95|0.0412|0.0458|2.4|0.0|-0.06084|-1325.199863|-1325.159466|691.41|319.54|0.59563|0.6929|-1324.95298|0.3982|7.0249|-0.21788|-1325.0127220000002|32.0|7.4949
7f_a10|0|0|0.0|7.535296702|1.240141822|1.924772416|0.103083789|-0.011104817|-0.2347037789999999|0.037386831|0.740070757|0.00189949|-0.000498274|10.92948443|-0.0971900919999999|1|0.0030999659999999|-0.309622111|-0.058093287|-0.172751862|-0.5846516820000001|2|0.5371733989999999|0.796084921|-0.137271684|0.8499946070000001|0.5209683970000001|1|0.931773786|-0.095196098|0.7359022890000001|0.00797443|-53.02456669|4.441786155|38.0022453|-0.03645808|2.474090768|-19.93012491|60.16185231|40.22275023|0.402568457|2803.359424|519.0013298|-954.4422004|2375.702381|-11.31122804|0.178213448|6.115784565|7070.755931000001|-531.6277179|0.012813716|-358.4725202|527.8079877|7.137285626000001|1.0|1.0|3.37|21.0|-8.13|6.57|52.83|2.64|2.0|0.0|0.0|4.0|30.0|-5.47|-5.6|0.00119|0.00103|4.7|0.0|-0.0613|-1442.216293|-1442.200124|597.28|341.96|0.34467|0.6833600000000001|-1442.001311|0.0191|2.2631|-0.2175699999999999|-1442.058773|141.0|6.8508
13e_a6|1|0|3.433539068|6.842683282|1.429020445|0.0|-0.089778965|-0.006882528|-0.008507023|0.044021739|1.643912856|-0.003356527|0.0266218529999999|10.95053349|-0.037793156|1|-0.001446486|0.032420935|-0.126749697|-0.223618825|-0.462344944|2|0.841211811|0.765593573|-0.067328767|0.827254552|0.790249345|1|0.861676601|-0.093298845|0.175643236|0.0183790889999999|-62.36320497|12.28502792|92.4587065|-0.032929004|8.211609879|-33.17101912|75.42629799|61.91072885|0.4442079679999999|2868.489025|575.965487|-1122.537689|3457.565879|-14.71237941|0.277469482|7.973429837999999|6147.8097210000005|-750.3313497|0.019543118|-297.4895642|676.2770877|13.06309302|1.0|1.0|3.51|27.0|-10.18|4.53|103.17|0.92|1.0|0.0|0.0|5.0|32.0|-6.52|-4.78|0.00323|0.00688|3.27|0.0|-0.07534|-1347.297639|-1347.25954|713.3|381.78|0.38609|0.7034199999999999|-1347.014564|0.0104|10.1884|-0.20804|-1347.074898|12.0|7.9208
13d_a5 (GW788388)|1|0|2.945204608|6.605297921|1.236844097|0.0|-0.0959854909999999|-0.005668173|-0.009710199|0.027375887|0.0|0.002956745|-0.086484275|10.94530363|0.024793388|1|0.003668464|-0.14893897|-0.010147323|-0.016337128|-0.3706975529999999|2|0.7333482170000001|0.78479342|0.047169811|0.834800344|0.71006207|0|0.774103723|-0.0844793|0.54169129|0.014571846|-55.87383979|9.637686167|149.40573999999998|-0.0291837579999999|6.374277851|-37.98032007|70.45205183|67.0626077|0.488398052|2834.036315|511.985152|-1061.602956|1377.863026|-12.76608229|0.330817879|8.077599766|6122.792779|-702.1345259999999|0.022041749|-223.7910275|723.0631751|14.57821204|0.0|1.0|3.21|23.0|-8.84|4.11|92.79|1.37|1.0|0.0|0.0|6.0|32.0|-6.94|-4.35|0.0189|0.0192|2.75|0.0|-0.05542|-1390.589662|-1390.548362|707.09|297.28|0.42515|0.48848|-1390.294368|0.1549|2.4867|-0.22841|-1390.355751|18.0|7.7447
12e_a36|1|0|3.490984269|7.412764017000001|1.29704412|0.0|-0.064019914|-0.007100632|-0.043085717|0.040899471|0.0|0.002951176|-0.0586405829999999|10.95346131|-0.084051264|1|0.003962098|0.244642918|-0.104118159|-0.1763783589999999|-0.43688276|1|0.90414347|0.7975411790000001|-0.144846626|0.847602953|0.856274847|0|0.838086387|-0.100988761|0.4347714629999999|0.019063245|-64.2330904|12.12502373|102.9838531|-0.036203518|7.71202397|-28.51846223|75.50154216|56.96241436|0.466721981|2709.877204|533.058116|-1220.428718|2309.239105|-14.64611103|0.238923581|6.767371321000001|5929.071389|-776.2438847|0.017716522|-332.11111980000004|662.0530478999999|11.26845175|1.0|0.0|4.85|17.0|-6.97|2.19|69.2|2.24|1.0|0.0|0.0|5.0|30.0|-6.55|-4.3|0.0274|0.02|3.04|0.0|-0.04962|-1272.2668210000002|-1272.23645|673.57|337.84|0.6814600000000001|0.70007|-1271.999945|0.0006|6.5974|-0.20151|-1272.0579810000002|14.0|7.8539
12g_a31|1|0|3.42813681|7.765993078999999|0.6101363000000001|0.0|0.0716209459999999|-0.01500347|-0.1044685569999999|0.0388738739999999|0.0|-0.008464411|-0.0733026079999999|10.31169877|-0.082116813|2|-0.0054114869999999|0.074878295|-0.0497478109999999|-0.081426376|-0.57758443|0|0.837044054|0.819234772|-0.1386819869999999|0.8639814490000001|0.7983388929999999|0|0.58271093|-0.131126805|0.325789284|0.030961426|-80.52794936|19.01411466|256.26669530000004|-0.039059048|11.67699967|-48.43898314|95.97385383|97.88920296|0.470244801|2514.363249|357.8560168|-1127.391291|1859.940155|-14.73099143|0.311351131|8.098256552|5398.678971|-692.3565973|0.02515117|-231.70711040000003|524.0230338|15.44590447|1.0|1.0|3.61|16.0|-6.45|3.44|131.36|0.86|1.0|0.0|0.0|7.0|27.0|-6.86|-3.79|0.00457|0.0627|2.52|0.0|-0.03324|-1578.846191|-1578.800869|664.44|323.3|0.70068|0.70068|-1578.605452|265.0|1.6279|-0.19241|-1578.66792|0.11|6.9586
12av_a36|1|0|3.4520047430000003|7.412764017000001|1.297042752|0.0|0.049150854|-0.009925128|-0.081537769|0.04250591|0.0|-0.00233752|-0.021036176|10.96037173|-0.039627578|1|-0.000472698|0.1168328169999999|-0.126068378|-0.213993335|-0.507136551|1|0.859938421|0.8076780109999999|-0.067408377|0.8571025990000001|0.817582774|0|0.752447733|-0.105593135|0.277834652|0.021666882|-73.55299094|15.09249582|172.4374372|-0.035197712|10.51297704|-39.92474833|91.5101903|72.40871507|0.491188387|3011.024457|524.1323793|-1397.506828|2354.591519|-17.07826447|0.328083083|8.975655204|6460.1184140000005|-973.4610746|0.025779468|-239.5042702|757.7532208|17.95719936|0.0|0.0|4.96|17.0|-6.93|1.65|98.3|1.49|1.0|0.0|0.0|7.0|33.0|-7.66|-3.64|128.0|0.0997|1.85|0.0|-0.05307|-1440.988179|-1440.945099|733.21|360.39|0.43212|0.70455|-1440.67411|0.0027|4.7666|-0.19429|-1440.738332|39.0|7.4089
15_a10|0|0|0.0|7.535296702|1.277647202|2.124460476|-0.166303336|-0.0027892409999999|0.035396617|0.0353864729999999|1.981569297|0.009882584|-0.055918786|10.92966702|-0.05940848|1|0.009514122|-0.1157120169999999|-0.085979341|-0.136323668|-0.208590561|2|0.682616223|0.808676284|-0.105662909|0.863438637|0.635064845|1|0.915526801|-0.074144604|0.710970489|0.018614889|-44.18725043|11.09373722|50.34268476|-0.025240716|6.61142847|-21.03820054|56.66229609|46.39507481|0.434181679|2549.580207|545.6177511|-706.9960069|2288.954984|-8.964715924|0.353587352|6.35937164|5769.347123|-421.3416484|0.020932674|-174.5122907|563.875765|12.47504566|1.0|1.0|3.29|21.0|-8.3|4.72|52.83|2.53|2.0|1.0|0.0|5.0|28.0|-6.07|-4.81|13.0|0.0061|3.68|0.0|-0.05243|-1604.08794|-1604.057542|641.98|326.3|0.41458|0.68543|-1603.851644|0.1647|4.5192|-0.20983|-1603.907391|33.0|7.4815
12e_a31|1|0|3.483599061|7.765993078999999|0.610134116|0.0|0.052663358|-0.011519192|-0.044316064|0.037098765|0.0|-0.002475146|-0.107630327|10.3116965|-0.015755876|2|-0.000231353|0.01824365|-0.08867626|-0.142921555|-0.543945776|0|0.7968154940000001|0.7761616020000001|-0.028502695|0.82100963|0.76012894|0|0.721526766|-0.1099563869999999|0.2642991189999999|0.02665413|-79.96257188|19.38343763|202.5115275|-0.036652129|14.09603901|-49.6906263|95.1187282|87.71292755|0.474858042|3040.353774|524.7092721|-1519.288866|1899.851187|-19.38348182|0.274879568|10.24381236|6557.418968999999|-1104.858464|0.020841203|-327.4245209|798.7285626|15.15615632|1.0|1.0|3.87|22.0|-9.31|5.4|117.37|2.21|3.0|0.0|0.0|9.0|33.0|-5.93|-5.42|9.96e-05|0.00176|4.48|0.0|-0.03445|-1809.899887|-1809.85374|781.61|322.95|0.55114|0.7006600000000001|-1809.581226|0.2627|2.6024|-0.19379|-1809.650069|0.17|6.7696
21_a4|0|0|0.0|7.535296702|1.399863887|2.026698554|-0.164057585|-0.003068098|-0.014982235|0.042924837|0.0|0.012362563|-0.2897937889999999|10.94593332|-0.104638158|1|0.012094249|0.030586117|-0.063064908|-0.099702401|-0.228430899|1|0.6952936|0.777866961|-0.174578783|0.833191212|0.674434042|0|0.932146735|-0.076470465|0.239652988|0.020173071|-38.7880598|10.23237244|34.4171635|-0.028676424|5.190159022|-14.70482428|47.69702403|39.22285963|0.401240904|2045.488184|472.812128|-581.8208971|1584.866567|-7.377915035|0.276832377|5.961506745|4277.396118|-295.1166014|0.017563978|-226.3943104|387.240586|8.908964226|1.0|1.0|3.37|17.0|-5.94|3.85|39.94|2.32|0.0|0.0|0.0|3.0|23.0|-5.76|-4.19|0.0403|0.0197|3.36|0.0|-0.02956|-973.5683008|-973.5481197|549.71|308.08|0.5260600000000001|0.66476|-973.400097|0.1457|2.0282|-0.19588|-973.449892|121.0|6.9172
11_a4|0|0|0.0|7.535296702|0.626711769|2.159635561|-0.20567828|-0.001098364|0.032861655|0.03617284|2.216390726|0.011277653|-0.073554945|10.33765061|-0.0043410079999999|1|0.010782511|-0.030003079|-0.0278843589999999|-0.046906237|-0.145254541|2|0.6575743310000001|0.820318166|-0.007574475|0.875868891|0.647727179|1|0.930113409|-0.06530408|0.4523305489999999|0.009336075|-37.74083422|5.395547437|40.38918044|-0.023620625|3.118219598|-18.12338426|44.63993001|36.75497433|0.480360734|2452.527871|537.5354202000001|-641.5941818|1640.559148|-7.889214068999999|0.243908684|6.850305797000001|5425.1341090000005|-370.7930613|0.011937709|-296.0029432|575.2252237|6.89909579|1.0|1.0|3.31|21.0|-8.05|5.22|68.9|3.15|2.0|0.0|0.0|4.0|27.0|-5.74|-4.97|0.00271|0.00395|3.99|0.0|-0.05582|-1467.463842|-1467.440475|630.04|328.0|0.4444|0.65942|-1467.20045|0.0403|4187.0|-0.2146699999999999|-1467.255521|0.11|6.9586
14l_a23|0|1|0.0|7.423568444|1.1979636809999998|3.402752757|0.060717916|-0.005344736|-0.026530366|0.046283951|0.758109562|0.01269616|-0.060692376|10.313217800000002|-0.061788679|2|0.01180744|0.07815878|-0.074441567|-0.136106024|-0.448622017|2|0.725800261|0.778602826|-0.1010279259999999|0.836852328|0.6906097959999999|1|0.921267667|-0.078204688|0.215920645|0.018669073|-51.59307331|12.31633167|51.94117061|-0.0328459689999999|8.125310915|-23.306234600000003|61.54673359|47.64388017|0.492922575|2879.181064|607.777253|-1083.45454|2176.038061|-14.29549842|0.210373806|8.006380163|6444.7098240000005|-714.7749208|0.01508774|-382.1434717|666.0036144999999|9.953660282|0.0|1.0|3.51|26.0|-7.78|4.33|105.02|3.24|2.0|1.0|0.0|5.0|31.0|-6.1|-5.25|0.000608|0.0023899999999999|3.94|0.0|-0.07191|-1669.2363289999998|-1669.224647|694.65|341.8|0.67242|0.67242|-1668.983787|0.4239|6.0563|-0.2183|-1669.04569|7.0|8.1798
3_a47|0|0|0.0|0.0|1.304465159|0.0|0.013076203|-0.008740449|-0.130414103|0.03308642|1.416887578|-0.008828261|0.103847816|10.93671092|0.013073797|0|-0.007967014|-0.021029826|-0.015388793|-0.024240921|-0.457330633|2|0.900251233|0.720319618|0.022804181|0.780628097|0.815682427|1|0.854727481|-0.0948001|0.4661246329999999|0.008609292|-49.71258151|4.514659074|76.18000386|-0.036461577|2.367459086|-22.85956767|58.22383723|48.10703|0.403777634|2243.894237|448.2137648|-745.6887227000001|1280.146703|-10.02652614|0.2150305089999999|6.46319354|5022.029588|-391.0345195|0.016230658|-298.8724505|418.022895|8.511255722000001|1.0|0.0|2.59|22.0|-8.42|5.4|58.04|2.88|1.0|0.0|0.0|3.0|25.0|-5.16|-5.35|0.000995|0.00156|4.6|0.0|-0.05717|-1470.137664|-1470.101469|556.65|332.54|0.52977|0.69138|-1469.969304|0.2182|4.0226|-0.2119|-1470.0192869999998|316.0|6.5
