molecula|SddssS|NaaNH|n9FaRing|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50
5a_a50|0.0|0|1|0.0|7.927685046000001|1|1|1.3972442980000002|4.202707546|-0.203248487|5.82008293|-0.017108794|1|0.038040936|2.475383677|-0.06986407|0.012640587|-0.256097122|10.93256969|-0.130929632|0.01228899|0.028229556|-0.102607753|-0.168135655|-0.161169418|1|0.699970832|0.788709546|-0.132977171|-0.203436041|1|0.969892876|-0.065209836|0.2814514|0.010185297|-20.77548565|6.819160781|16.06582337|-0.022747617|-18.56865899|2.900288114|60.04351409|0.66527517|44.17662122|-12.13862875|26.21058426|0.4528093929999999|517.556163|1605.985157|0.33472483|5.892775027000001|0.8275167520000001|178.61652859999998|-278.5298849|1.0|0.0|1.0|1.0|0.0|3.5|-6.24|3.66|4.33|2.62|0.0|101.86|2.0|-3.89|25.0|-5.83|0.0|3.47|-4.5|0.000129|42.0|3.14e-05|3.46|0.000186|-0.02487|3.39|-1029.930364|976.41|0.2735|455.34|0.39948|0.6725399999999999|0.1156|3.9843|-0.19146|-1029.786489|4.1|5.3872
31_a47|0.0|0|1|0.0|6.842683282|0|0|1.304326813|1.441825189|-0.075563891|4.727387819|-0.171198936|2|0.042906977|1.198626524|-0.417294247|-0.007525849|0.074881792|10.9497221|0.001073537|-0.006265667|-0.188419195|-0.035190699|-0.076351692|-0.441642572|2|0.677766155|0.856640117|-0.1978980839999999|0.001622323|1|0.696020038|-0.1056956209999999|0.486720182|0.021401336|-66.4670426|355.5321928|188.5600536|-0.037580665|-40.66927863|8.234748813|81.01707367|0.70664003|80.58054906|-23.31144534|79.74238158|0.4741051329999999|431.7441681|1322.82831|0.29335997|8.214180216|0.901520747|181.972428|-650.7084581|1.0|1.0|1.0|1.0|2.0|3.18|-7.62|3.23|4.24|2.0|0.0|109.21|5.0|-4.59|29.0|-6.78|0.0|2.94|-4.39|2.56e-05|0.0105|4.03e-05|2.86|9.95e-06|-0.0532|4.2|-1735.435432|1079.4|0.3264|508.69|0.68276|0.69894|83.0|6.4248|-0.20463|-1735.284957|16.0|7.8
6d_a40|0.0|0|0|0.0|8.421342866|1|2|0.604893491|1.695192271|0.12627602|6.401917197|-0.091548968|0|0.039160494|0.683786612|-0.722057579|-0.005066797|0.086704068|10.30179973|-0.205140551|-0.00448098|-0.249967637|-0.025143559|-0.0603134|-0.624951805|0|0.6224555620000001|0.8361555479999999|-0.039077432|-0.289988439|1|0.663670372|-0.119563634|0.372705643|0.017359149|-73.59650182|192.5638526|215.22657540000003|-0.050049893|-48.96216855|7.108696385|38.04267542|0.86005241|85.47607798|-32.02830281|84.70509846|0.428134701|424.7009165|3212.360755|0.13994759|6.908972922999999|0.7486635420000001|89.55631|-881.3190339|1.0|0.0|1.0|1.0|1.0|3.98|-4.31|4.8|3.63|2.01|2.0|120.09|5.0|-7.21|30.0|-6.36|1.0|3.43|-5.15|6.18e-08|2.85e-05|7.1e-06|3.87|0.0226|-0.09462|7.98|-2470.82949|1111.69|0.3518|511.88|0.6624800000000001|0.6624800000000001|0.3518|7.8884|-214.0|-2470.684323|1.0|8.9208
5_a4|0.0|0|0|0.0|7.535296702|1|1|1.343864516|2.166832955|-0.196773454|5.4161004020000005|0.02257929|2|0.035994832|2.189593648|-0.0607990979999999|0.011630756|-0.050389825|10.92992834|-0.134215501|0.0111310589999999|0.0202481919999999|-0.0471580309999999|-0.076189222|-0.164263889|2|0.655087104|0.767615203|-0.165454845|-0.229773463|1|0.943148502|-0.0681917309999999|0.431132276|0.008047242|-27.26045038|13.96974087|30.54859623|-0.025201292|-19.68930579|2.323516519|46.53110402|0.807351587|41.76764149|-13.54166762|31.58455727|0.413773331|506.7916175|1896.178084|0.192648413|5.758733969|0.7058248159999999|103.5177395|-334.71819839999995|1.0|1.0|1.0|1.0|0.0|3.27|-7.96|4.89|4.67|2.88|0.0|104.89|3.0|-4.57|26.0|-5.57|0.0|3.89|-4.84|2.72e-05|0.00925|1.4499999999999998e-05|3.95|3.71e-06|-0.04892|3.71|-1069.27374|1013.0|0.1106|421.24|0.60407|0.6019899999999999|67.0|2.7859|-0.21857|-1069.102899|71.0|7.1487
27a_a34|-3.727789|0|0|0.0|7.412764017000001|1|1|0.300206665|1.963136117|0.0257175079999999|5.351858133|-0.456594848|1|0.0408037829999999|0.0|-0.7320090459999999|-0.012495918|-0.026428049|10.319282|-0.008138446|-0.005234221|-0.13716603|-0.158932197|-0.264978526|-0.53047808|1|0.8186389829999999|0.779284547|-0.07177581|-0.012251785|0|0.600964267|-0.123191967|0.4305370679999999|0.026573385|-74.78290605|176.4623026|279.75296960000003|-0.043345322|-60.54917431|13.06088842|22.69787432|0.764921711|100.7752505|-30.38821209|93.41277507|0.436895447|421.319507|2252.433058|0.235078289|8.960143164|0.7758691440000001|164.80691819999998|-1150.434312|1.0|1.0|1.0|1.0|2.0|3.66|-7.61|2.01|3.97|1.06|0.0|122.61|6.0|-4.96|33.0|-7.29|0.0|2.44|-4.47|1.09e-05|0.00504|3.43e-05|2.59|1.13e-05|-0.03924|7.38|-1861.741982|1247.85|0.2896|598.18|0.40378|0.69818|0.0203|10.8591|-0.20615|-1861.534743|0.24|6.6198
7_a3|0.0|0|0|0.0|6.823286122000001|0|0|0.60501656|0.0|0.198126776|4.727387819|-0.106234254|2|0.03757716|1.989724777|-0.327648836|-0.007540435|0.054347129|10.3116226|0.030246987|-0.006696449|-0.084462575|0.020589494|0.036673175|-0.592753801|2|0.881253042|0.790667152|-0.224253635|0.0507482109999999|1|0.782294598|-0.096448591|0.5999725029999999|0.009708941|-51.18177092|230.9407974|107.7330046|-0.036877402|-23.61864737|2.377557323|76.07607751|0.7992146109999999|55.15105143|-18.2490344|55.98630667|0.3987206729999999|387.1238241|1952.029549|0.2007853889999999|5.198046584|0.663120542|99.36002106|-307.0424158|1.0|1.0|1.0|1.0|1.0|3.02|-7.48|4.96|4.66|2.11|0.0|95.5|2.0|-5.44|23.0|-5.68|0.0|3.63|-4.87|3.67e-06|0.00124|1.34e-05|3.79|1.11e-05|-0.0640299999999999|3.09|-1731.7341420000002|883.88|0.1926|362.61|0.3456|0.69224|0.1262|3.1299|-0.21219|-1731.651178|1023.0|5.9901
12_a47|0.0|1|1|2.903215905|6.605297921|0|0|1.304330736|0.0|-0.155854903|4.59511985|-0.078935336|2|0.036632997|1.555521837|-0.209845277|-0.0047488359999999|-0.018573056|10.95005729|0.0295267039999999|-0.004332024|0.003417588|-0.006318684|-0.015039637|-0.326846977|2|0.6505449670000001|0.8288334490000001|0.055943216|0.050943962|1|0.7840710409999999|-0.091853238|0.266995634|0.018014416|-44.18983348|63.89392714|112.4599133|-0.034116917|-24.91541818|4.886454935|0.0|0.680723821|61.09751253|-17.76874008|53.5720844|0.4792593739999999|408.3591283|702.3796319|0.319276179|7.042279354|0.920341815|166.28511369999998|-323.9004363|1.0|1.0|0.0|1.0|2.0|2.73|-8.11|4.19|4.98|2.6|0.0|91.63|3.0|-4.51|24.0|-5.94|0.0|3.37|-4.56|3.11e-05|0.0106|2.77e-05|3.43|2.61e-06|-0.0623|3.01|-1488.101254|886.46|0.2306|400.09|0.66387|0.68557|0.2241|2.1019|-0.2256|-1488.024564|6.0|8.2
14a_a5|0.0|1|0|2.948727373|6.605297921|1|1|1.226142247|0.0|-0.056730193|4.59511985|-0.005002101|3|0.027375887|0.0|-0.316624785|0.002956745|-0.086229994|10.9488747|0.024793388|0.003668464|-0.213526163|-0.010147323|-0.016337128|-0.36152442|2|0.7333482170000001|0.79661948|0.144729708|0.047169811|0|0.7909255559999999|-0.078681402|0.4398855029999999|0.0173669719999999|-54.69145586|134.62273080000003|141.38542919999998|-0.0271808479999999|-35.98151967|7.942029745|55.04914434|0.629783335|69.71575554|-18.38089729|66.43577392|0.470085022|534.8590069|1315.573182|0.370216665|8.424031251|0.88709518|250.3569601|-683.6488737000001|0.0|1.0|1.0|1.0|2.0|3.24|-8.84|4.56|4.38|1.37|0.0|123.0|6.0|-4.15|32.0|-7.08|0.0|3.05|-4.22|7.15e-05|0.0304|6.02e-05|2.55|6.16e-07|-0.0507699999999999|4.3|-1390.592722|1195.01|0.5853|508.64|0.65789|0.65789|0.5853|2.7115|-0.2183699999999999|-1390.352729|112.0|6.9508
2_a20 (SB-505124)|0.0|1|0|3.485765306|7.434257382|1|1|1.183764955|0.0|-0.006955944|5.351858133|-0.076310057|1|0.05042042|0.0|-0.498602014|0.001622309|-0.177905025|10.95129567|-0.137383329|0.003789399|0.02072518|-0.150708132|-0.229461916|-0.520284161|1|0.827730504|0.725030162|0.082053195|-0.19681999|0|0.7694360659999999|-0.117328885|0.214264156|0.02856542|-45.98170774|122.8758934|126.8667205|-0.0382594189999999|-35.52365346|8.648749117000001|441.9400248|0.831919306|70.87109323|-21.05206547|61.69969596|0.475937029|423.3785776|1709.9571620000002|0.1680806939999999|5.952040367|0.908167636|92.48561162|-532.854802|1.0|1.0|1.0|1.0|1.0|3.4|-7.22|5.16|4.47|2.06|0.0|97.55|3.0|-5.24|25.0|-5.31|0.0|3.81|-4.91|5.72e-06|0.0019199999999999|1.22e-05|4.27|2.03e-05|-0.03717|4.57|-1089.371784|995.68|0.3267|505.82|0.69947|0.69947|0.3267|2.5584|-0.18645|-1089.201587|169.0|6.7721
1_a3|0.0|0|0|0.0|6.823286122000001|1|1|0.6195934120000001|0.0|0.079857077|4.727387819|-0.073036903|2|0.034166667|2.194605012|-0.248199745|-0.006610844|0.038572075|10.33805862|0.032569462|-0.005006707|-0.007705076|0.05038525|0.08803837|-0.486774367|2|1.005427002|0.7905285390000001|-0.126299711|0.057919092|1|0.7762512779999999|-0.0925710269999999|0.521474118|0.008036786|-45.44133321|289.8942564|102.8341051|-0.034105115|-19.55367089|1.697600903|0.0|0.7920857179999999|49.05980305|-15.67458788|49.13501083|0.4490711529999999|356.76228530000003|1162.737831|0.207914282|4.984064981|0.8151164259999999|95.55665364|-273.7513925|1.0|1.0|0.0|1.0|1.0|3.83|-5.77|2.28|1.85|1.52|0.0|91.52|2.0|-3.07|22.0|-6.87|0.0|1.5|-3.3|0.0008529999999999|261.0|0.000503|1.83|0.000518|-53.0|2.08|-1273.316428|845.2|0.1775|316.61|0.30619|0.68912|0.0096|2.2332|-0.21886|-1273.22339|724.0|6.1403
6_a47|0.0|0|0|0.0|0.0|0|0|1.304328257|0.0|0.011739916|0.0|-0.1738997619999999|2|0.042276423|1.291219116|-0.392537045|-0.010708889|0.051455447|10.93671042|0.0402365489999999|-0.0094242819999999|-0.302730533|-0.020576777|-0.04324355|-0.459934519|2|0.701994505|0.786041178|-0.149904224|0.062425042|1|0.8419184120000001|-0.096689626|0.446564415|0.009820713|-43.43026699|101.7290544|85.6917678|-0.036834143|-28.411587800000003|2.885749555|0.0|0.7943908059999999|60.76103606|-19.96679614|48.75381069|0.4059072379999999|456.3812788|1577.98246|0.205609194|6.480620646|0.6832388209999999|111.4552019|-454.5854048000001|1.0|1.0|0.0|1.0|2.0|2.82|-9.06|5.24|6.27|3.48|0.0|106.47|3.0|-6.02|27.0|-5.02|1.0|4.59|-5.79|9.53e-07|0.000362|1.63e-06|5.06|3.310000000000001e-07|-0.05354|4.69|-1608.684886|990.85|0.2536|422.9|0.30468|0.69305|0.2119|3.2606|-0.20794|-1608.554019|13.0|7.9
19i_a38|0.0|1|0|3.169368622|7.412764017000001|2|2|1.297043925|0.0|-0.125335237|5.351858133|-0.115864198|2|0.043197531|0.0|-0.4561702689999999|-0.006877664|-0.074033381|10.96052467|-0.053762162|-0.004358975|0.215263198|-0.098027247|-0.250781298|-0.430016467|1|0.653741315|0.836170906|-0.040954326|-0.087904124|0|0.747158407|-0.113250303|0.4748744179999999|0.022576308|-51.15830416|137.7658863|154.953787|-0.040770109|-42.53502816|8.479305267|10.71501217|0.7419238420000001|82.98550237|-24.98593175|64.99417804|0.444551315|457.89548719999993|2335.0953870000003|0.258076158|6.690507557999999|0.800346329|158.161786|-765.6305068|1.0|1.0|1.0|1.0|3.0|4.8|-7.12|3.55|3.11|2.78|0.0|125.65|5.0|-4.25|31.0|-6.81|0.0|3.04|-4.33|5.68e-05|0.0238|4.67e-05|2.88|3.19e-05|-0.0564799999999999|3.66|-1431.415351|1101.03|0.2156|457.26|0.4342|0.69267|0.1886|6.6636|-0.2052|-1431.239177|13.0|7.9031
15_a47|0.0|1|1|2.9226792460000004|6.605297921|0|0|1.304329657|0.0|-0.164258919|4.59511985|-0.072588375|2|0.042285714|1.56205245|-0.21194909|-0.0026314909999999|0.086682657|10.9497222|0.0506476009999999|-0.002377481|-0.299654464|-0.007670908|-0.017562097|-0.332654104|2|0.644280611|0.830688568|-0.131424138|0.081171071|1|0.791753677|-0.0904066519999999|0.429825305|0.016669157|-45.1562696|61.0548099|111.3994409|-0.033307714|-25.87091101|4.770072524|0.0|0.711630105|59.79410145|-17.81765281|54.07328082|0.477646539|423.5412927|869.1027727|0.288369895|6.984778596|0.914412511|154.260803|-362.1927541|1.0|1.0|0.0|1.0|2.0|2.89|-8.49|4.69|5.28|2.83|0.0|96.6|3.0|-4.89|25.0|-5.76|0.0|3.74|-4.85|1.29e-05|0.00455|1.41e-05|3.8|1.14e-06|-0.0591799999999999|3.33|-1527.4104|930.51|0.2828|419.75|0.67203|0.68008|0.0759|2.2271|-0.2268|-1527.316555|16.0|7.8
