molecula|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA5|TPSA_x|WPSA3|RPCS|FNSA1|WNSA3|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|FPSA1|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Lipinski|log P|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
17b_a6|7.412764017000001|1|1|1.425925343|0.0|0.1012747369999999|-0.01272079|-0.0265090529999999|0.139594234|0.0|-0.00460563|10.949638|1|-0.00194781|0.231025646|-0.10896749|-0.180339002|1|0.850080948|0.002947625|0.8370824240000001|0.8013954109999999|0|0.753949098|-0.109195656|0.318652397|0.03122461|-71.65078895|161.4509401|13.44399246|557.7093661|0.7706671740000001|-41.0971443|83.12058064|0.4548818979999999|494.7179214|2207.972178|-17.86570631|0.229332826|5985.963521|150.48105900000002|-893.2853154999999|35.32951798|0.019915748|627.4287311|13.06809384|1.0|1.0|1.0|1.0|2.0|2.89|0.12|23.0|-9.01|4.98|4.32|1.7|2.0|0.0|116.79|0.0|1.0|5.0|-5.81|5.0|-5.89|0.0|0.0|3.6|1.56e-06|0.0|4.04|690.98|413.78|0.3949|575.2|0.69615|0.7016100000000001|-1349.830814|-0.12545|5.3385|-0.18281|0.02458322|-1349.892156|7.3188|153.0|6.8153
14t_a23|7.423568444|0|0|1.197962538|3.410065804|0.04919958|-0.005383494|-0.024472753|0.073534004|0.758345646|0.01269616|10.31321779|2|0.01180744|0.134446672|-0.074441567|-0.136106024|2|0.725800261|0.113493155|0.820002545|0.6906097959999999|1|0.920956836|-0.079253435|0.361071229|0.017433037|-51.65035498|51.51331913|7.404291213|42.20767549|0.799945841|-23.52629623|47.46057034|0.465981891|600.1979272000001|2286.063655|-14.13766923|0.2000541589999999|6523.656379|130.3775455|-706.8834616|27.11827225|0.014352462|666.0036144999999|9.353660614|0.0|1.0|1.0|1.0|1.0|3.49|0.09|26.0|-7.78|3.88|4.33|3.24|2.0|1.0|125.25|0.0|1.0|5.0|-5.85|4.0|-6.1|0.0|0.0|3.78|1.43e-06|0.0|3.79|692.08|386.72|0.2061|534.86|0.5824199999999999|0.68886|-1668.980578|-0.15625|5.8672|-0.22291|0.02135191|-1669.040656|8.3062|4.0|8.3979
19_a31|7.401841579|0|0|0.61013725|0.0|0.062492295|-0.01001901|-0.086654127|-0.044625452|0.0|-0.005956522|10.31169935|2|-0.0038998559999999|-0.095997335|-0.081398052|-0.1751017789999999|0|0.656654981|0.019858798|0.902130276|0.6427749970000001|0|0.7312647940000001|-0.113333675|0.279690511|0.014675044|-66.3863707|157.414423|5.035230173|67.42915967|0.776211804|-31.1960848|61.85348014|0.446100738|428.3459076|1992.2502|-12.37297805|0.223788196|4917.329034|131.0862475|-544.4110343|27.21285095|0.0152483439999999|460.3754405|8.931875058|1.0|1.0|1.0|1.0|2.0|2.62|0.28|16.0|-7.39|5.8|4.33|1.68|1.0|0.0|97.25|0.0|1.0|7.0|-4.67|4.0|-6.41|0.0|0.0|3.47|2.14e-05|0.0|5.24|625.93|314.06|0.3205|537.66|0.5385300000000001|0.7005600000000001|-1489.323855|-0.16367|1.7076|-0.20675|0.03702801|-1489.382077|2.4209|1.8|5.7447
2_a27|6.605297921|0|0|1.402655014|3.250529415|0.09890645|-0.0065894809999999|-0.0609613559999999|-0.196529806|1.267636369|0.009338889|10.93783218|1|0.00988756|-0.337316432|-0.21066171|-0.361571905|2|0.639024713|0.137868605|0.8585302370000001|0.60904903|1|0.8468699609999999|-0.081513931|0.408120957|0.019809599|-41.03489597|77.08713259|5.020172886|53.58106492|0.6684621829999999|-14.81116546|39.39404027|0.4424192289999999|426.3224749|1270.627585|-7.415462877|0.331537817|4774.521748|166.89932209999998|-289.2030522|22.03636323|0.022639983|373.9912084|11.39718489|0.0|1.0|0.0|1.0|0.0|3.06|0.11|21.0|-5.84|2.43|2.49|2.42|0.0|0.0|92.58|0.0|2.0|2.0|-3.19|4.0|-6.69|0.0|1.0|2.52|0.000644|0.0|4.32|538.57|297.87|0.3217|420.7|0.55857|0.55857|-1043.665151|-0.16769|4.7049|-0.21702|0.02268519|-1043.715364|6.8854|13.0|7.8861
3_a4|7.535296702|1|1|1.343866299|2.147369615|-0.241609351|-0.001141383|0.03287721|-0.07806942|2.180369373|0.011825591|10.92992985|1|0.011276682|-0.129930078|-0.048796855|-0.08121207|2|0.637819558|-0.0862461019999999|0.8367373309999999|0.623172012|1|0.919804716|-0.06572153|0.462670692|0.010568144|-31.92506825|38.95587796|2.493716402|40.30885999|0.7196876640000001|-12.40663231|30.67413075|0.430553837|446.8068266|1602.411021|-5.815502811|0.280312336|4677.30755|136.1652785|-232.6201124|16.63485592|0.015358792|409.0289917|7.460728516|1.0|0.0|1.0|1.0|0.0|2.86|0.15|21.0|-7.19|4.02|4.11|2.44|0.0|0.0|95.12|0.0|1.0|2.0|-3.7|3.0|-5.99|0.0|1.0|3.31|0.000198|0.0|2.66|535.44|305.09|0.1415|350.36|0.58445|0.58615|-990.467184|-0.17005|2681.0|-0.21969|0.024645265|-990.514888|3205.0|104.0|6983.0
47i_a18|7.03438793|1|1|1.251177255|0.0|0.053794607|-0.006882626|-0.066917145|-0.037689885|0.0|-0.000919158|10.94702091|0|0.000427479|-0.057689282|-0.106018078|-0.162274487|0|0.742536498|-0.064085904|0.7842882870000001|0.727767462|0|0.8030751740000001|-0.089609068|0.279553995|0.009745543|-62.41153158|137.1555392|4.727502734|82.81385171|0.8608685909999999|-37.84973202|61.13143233|0.487446923|559.3312455|1333.332089|-17.10248143|0.139131409|6353.6617320000005|96.90318745|-1043.251367|28.52393145|0.009393984|855.7438937000001|6.542785417999999|1.0|0.0|1.0|1.0|3.0|0.0|0.22|18.0|-8.98|3.28|2.8|2.74|3.0|1.0|134.83|0.0|1.0|8.0|-5.18|3.0|-6.36|0.0|0.0|2.5|6.58e-06|0.0|7.37|744.95|383.61|0.5085|664.78|0.69175|0.69175|-1415.875678|-0.13237|2.7749|-0.18299|0.02671774|-1415.944522|3.5235|19.0|7.7212
11c_a31|7.765993078999999|1|1|0.6101368770000001|0.0|0.069254998|-0.0184155389999999|-0.141329185|-0.031640011|0.0|-0.011679927|10.31169916|2|-0.008375297|-0.0512371409999999|-0.0992097109999999|-0.16065803|0|0.825336018|0.013528742|0.8906705429999999|0.787929678|0|0.564143263|-0.14043574|0.3608415239999999|0.034256743|-82.24513417|255.2562173|11.74927853|70.98337779|0.676089232|-47.33176279|100.8824395|0.47997061|330.3862551|1770.045716|-14.56188764|0.323910768|5329.481371|189.6959033|-626.1611682999999|36.77740577|0.029155542|449.7512005|17.07472346|1.0|1.0|1.0|1.0|2.0|2.66|0.28|16.0|-5.84|5.04|3.64|1.03|1.0|0.0|97.32|0.0|2.0|6.0|-5.11|6.0|-6.56|0.0|0.0|3.04|7.68e-06|0.0|4.47|622.22|321.61|0.2627|512.9|0.7005899999999999|0.7005899999999999|-1559.194237|-0.15994|5289.0|-0.19526|0.04465349|-1559.253116|7.5091|0.13|6.8861
12a_a32|7.765993078999999|0|0|0.609420757|0.0|0.087371302|-0.009460484|-0.057200812|-0.0134169989999999|2.136609567|-0.003484915|10.31100269|3|-0.001662219|-0.024155151|-0.0852122769999999|-0.1534110109999999|0|0.788133615|-0.018578911|0.8966299409999999|0.7507116140000001|1|0.788702323|-0.109151429|0.288267255|0.016535497|-68.06885478|131.7691491|6.430656017|62.28768050000001|0.667706375|-33.18255791|63.52154605|0.456641145|491.8493928|3030.946307|-11.99645651|0.332293625|5656.0082|207.2244662|-551.8369996|28.81034388|0.021399091|557.1050635|13.34486989|1.0|1.0|1.0|1.0|2.0|2.85|0.26|19.0|-7.65|6.49|4.19|1.1|1.0|0.0|110.47|1.0|1.0|7.0|-6.01|4.0|-6.32|1.0|0.0|3.6|9.78e-07|0.0|4.63|667.68|346.71|0.2908|548.66|0.7025600000000001|0.7025600000000001|-1880.539078|-0.14827|3.0517|-0.20049|0.03682626|-1880.600043|4.2371|25.0|7.6021
12bf_a36|7.412764017000001|2|2|1.297043948|0.0|-0.024689509|-0.00832865|-0.119979424|0.140577067|0.0|-0.006877664|10.96022305|1|-0.004358975|0.359635716|-0.098027247|-0.250781298|1|0.653741315|-0.0480253509999999|0.892249657|0.632625562|0|0.6791406640000001|-0.110255801|0.356652646|0.0217611939999999|-71.01192632|206.6543367|9.026978489|0.0|0.7054709690000001|-37.52534442|72.27889645|0.474826911|437.4108773|2522.341812|-15.55034592|0.294529031|6271.550446|189.6959033|-777.5172959|34.22402339|0.02371294|593.6088758|15.27267945|1.0|0.0|1.0|0.0|2.0|0.0|0.14|17.0|-7.12|3.55|3.0|2.78|1.0|0.0|123.67|0.0|1.0|5.0|-3.99|6.0|-6.8|0.0|1.0|2.44|0.000102|0.0|3.66|670.85|320.04|0.4518|517.66|0.40663|0.69292|-1431.187555|-0.15677|5.4787|-0.2139|0.03299488|-1431.246893|7.5932|6.0|8.2218
12n_a36|7.412764017000001|2|2|0.299253841|0.0|0.039596635|-0.0099988159999999|-0.350034917|0.027627601|0.0|-0.006862238|10.31810354|1|-0.001160331|0.048110172|-0.15024383|-0.261631709|1|0.8183043390000001|0.162338703|0.869718963|0.750657639|0|0.720111143|-0.115872034|0.239018516|0.0211044289999999|-78.42650015|189.4391835|9.668119648|26.74179417|0.741751453|-40.89805687|74.70951411|0.454498749|487.397992|3465.537153|-18.30412788|0.258248547|7657.057548000001|174.79221719999998|-1061.639417|36.45914091|0.021232665|805.2286932|14.3710571|0.0|0.0|1.0|0.0|3.0|0.0|0.17|17.0|-6.87|1.28|2.15|0.84|1.0|0.0|142.02|0.0|1.0|7.0|-3.85|6.0|-8.03|0.0|0.0|1.18|0.0001409999999999|0.0|6.24|714.14|340.78|0.3921|566.87|0.32172|0.7046600000000001|-1875.89723|-0.14928|10.8395|-0.19984|0.03261661|-1875.961945|14.3562|15.0|7.8239
18d_a25|6.842683282|0|0|1.193723212|1.918453956|-0.0881447869999999|-0.0029605|0.024310576|-0.031867489|2.029297802|0.006452854|10.31285314|1|0.0062422|-0.055336237|-0.035684977|-0.061965108|2|0.722349659|-0.03671629|0.838260077|0.696372329|1|0.937813705|-0.076328248|0.278576218|0.011158458|-57.45144813|46.80695276|6.3217245360000005|0.389087507|0.75793699|-34.85786147|54.70994625|0.476833495|705.8822532|2625.142499|-15.93166285|0.24206301|6876.316137000001|182.1982146|-908.1047824|27.92623037|0.014219928|883.4030667999999|10.70318668|1.0|1.0|1.0|1.0|1.0|3.57|0.11|27.0|-10.23|6.33|5.98|2.4|2.0|1.0|143.37|0.0|0.0|7.0|-6.26|4.0|-6.21|1.0|0.0|4.5|5.47e-07|0.0|4.56|792.79|340.69|0.3986|664.72|0.41694|0.6823899999999999|-1806.514606|-0.14723|3.2353|-0.2201|0.03560672|-1806.582751|4.3658|232.0|6.6345
9i_a40|7.515889085|0|0|0.604992808|1.841293462|0.074116257|-0.0071562119999999|-0.105556952|0.187127708|0.891973262|0.004532692|10.31197226|2|0.004019925|0.333430103|0.105172175|0.187399127|0|0.831946443|-0.154977678|0.824009442|0.7947633409999999|1|0.830980762|-0.088485615|0.006324687|0.011010661|-44.58600513|85.16517222|2.795536563|62.68854553|0.8590224540000001|-23.58195819|52.34891159|0.477626156|418.7133986|335.9672843|-9.360805225|0.140977546|4201.058793|71.03556427|-336.98898810000003|21.62632891|0.010372658|351.4600612|5.226560183|1.0|1.0|1.0|1.0|1.0|2.9|0.06|20.0|-6.03|3.84|4.02|2.99|1.0|1.0|91.11|0.0|1.0|2.0|-5.32|2.0|-5.44|0.0|0.0|3.52|4.79e-06|0.0|3.2|534.44|428.48|0.5012|417.75|0.56118|0.70339|-1273.167389|-0.11967|2.0895|-0.17956|0.02072395|-1273.217301|2.7887|1.25|5.9031
15_a15|0.0|1|1|1.435688991|0.0|-0.132759299|-0.006378587|-0.031457366|-0.063032481|0.0|0.001806571|10.95980315|0|0.003766915|-0.098862691|-0.173728081|-0.272482143|2|0.843715005|0.007958332|0.7725348679999999|0.796300317|0|0.8972060479999999|-0.091075463|0.7028760070000001|0.020649569|-60.51136736|68.29723829999999|9.115534766|4.306196778|0.702544178|-27.31834743|54.83651811|0.435723718|596.1118717|2868.890383|-13.86355301|0.297455822|7039.747576999999|197.6323578|-804.0860746000001|29.700607300000005|0.0202953539999999|830.7967967000001|13.48441779|1.0|1.0|0.0|0.0|1.0|4.34|0.07|24.0|-8.9|4.33|6.69|2.52|2.0|0.0|138.24|0.0|1.0|6.0|-6.32|4.0|-5.26|1.0|0.0|4.64|4.77e-07|0.0|5.04|700.82|480.19|0.4459|573.46|0.67524|0.70572|-1450.398033|-0.10964|1.6365|-0.1475|0.02849263|-1450.462493|2.9566|109.0|6.9626
3_a3|7.285506549|0|0|0.605000514|0.0|0.159413311|-0.010040064|-0.114647585|-0.015653979|2.063441043|-0.007818326|10.31154314|2|-0.006362643|-0.030486489|0.041786524|0.081380229|1|0.913546349|-0.082619043|0.885339037|0.8495058259999999|1|0.7538064790000001|-0.098797066|0.583866845|0.012617742|-45.05306124|112.2682304|2.623868963|75.88125246|0.7000038270000001|-22.30683222|54.67064981|0.415122657|343.74795510000007|1349.6286710000002|-7.290134722999999|0.299996173|4677.617255|136.8031103|-225.9941764|22.83783244|0.023287455|302.8386149|10.6194566|1.0|1.0|1.0|1.0|1.0|2.39|0.0|20.0|-6.15|5.0|4.07|1.41|0.0|0.0|88.36|0.0|1.0|2.0|-5.48|3.0|-5.88|0.0|0.0|3.23|3.32e-06|0.0|1.92|491.26|370.38|0.2383|316.65|0.29441|0.69206|-1592.792349|-0.14599|2.1507|-0.20969|0.03099295|-1592.839065|2.8045|1175.0|5.93
1_a1 (SKF-104365)|7.535296702|1|1|0.626769342|2.196347317|0.011230812|-0.006055958|-0.01959813|-0.091086986|0.0|0.000663414|10.33812228|1|0.002250781|-0.221214316|-0.123703409|-0.300426726|1|0.57031697|-0.015406451|0.857919181|0.551667506|0|0.8131557509999999|-0.081192283|0.2405471019999999|0.0133681239999999|-37.55389489|86.42113499|2.859900586|63.42504103|0.709744919|-14.547040099999998|37.63415922|0.416807085|376.1092109|1551.362941|-6.316296726|0.290255081|4225.4765640000005|134.2517831|-208.4377919|19.24066156|0.018973797|297.2783688|8.775956802|1.0|1.0|1.0|1.0|0.0|2.68|0.12|17.0|-6.0|3.93|4.28|2.52|0.0|0.0|81.72|0.0|1.0|2.0|-3.8|3.0|-6.01|0.0|1.0|3.27|0.000159|0.0|3.45|491.18|318.72|0.2178|358.09|0.70081|0.70081|-1278.971649|-0.16142|4.5773|-0.19624|0.02377006|-1279.017667|6.9338|1.6|5.7959
