molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|RASA|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50
9d_a40|0.0|0|0|0|7.515889085|0|0|0.604992329|1.839557351|0.007834411|-0.003961493|5.4161004020000005|0|0.045555556|0.153818743|0.89023715|0.011823978|10.3119722|-0.137738587|0.010101686|0.0116099239999999|0.019621984|-0.4887998529999999|0|0.601831605|0.7572844040000001|-0.3969541689999999|0.941627612|-0.071656839|0.002088915|0.010749826|-31.08478865|-36.92750973|5.539796446|108.1468558|0.058372388|50.47044708|0.8664205709999999|-16.01918037|41.42218692|-16.29154841|2109.570685|485.2567189|-553.912646|-8.395657932|0.133579429|0.87714454|4401.742338|68.83858806|-285.4523697|18.80327978|0.0087217999999999|-377.6610668|639.3115126|346.9019309|4.49467719|0.0|3.63|0.06|20.0|-7.0|5.2|5.09|1.0|0.0|91.71|1.0|-6.13|22.0|2.0|-4.62|325.82|1.0|7.37e-07|0.0002399999999999|0.0|0.0|3.3e-05|-0.06906|4.7|3.3464|-1677.551678|542.19|892.69|370.51|0.4888|446.84|0.4557199999999999|0.4025|-0.20781|-1677.48058|7.9502|6.9706
14a_a23|0.0|0|1|1|7.423568444|0|0|1.197964042|3.39397765|0.050806184|-0.0056795759999999|5.351858133|2|0.042992424|0.0446402609999999|0.757767133|0.012219066|10.31321831|-0.071842463|0.011363191|-0.073893976|-0.137733142|-0.446724057|2|0.72792508|0.7556436440000001|0.114693804|0.918677038|-0.08032517|0.225448915|0.019504497|-35.20994211|-50.79675604|12.33442989|38.57988954|0.081322962|80.54176247|0.7807587890000001|-22.26638099|61.36268093|-21.61564087|2816.527785|580.9612768999999|-1015.935121|-13.66949407|0.219241211|0.8602383659999999|6269.28943|138.6457355|-642.4662212000001|27.68542751|0.016707951|-355.0975547|1301.215093|601.8533922|10.56592489|1.0|2.86|0.05|26.0|-7.41|3.36|4.02|2.0|1.0|120.28|1.0|-5.47|30.0|4.0|-6.27|411.48|0.0|3.38e-06|0.00139|0.0|0.0|1.6100000000000002e-05|-0.07379|3.47|3.7119|-1629.928331|665.5|1134.02|334.02|0.3764|516.58|0.6289100000000001|0.3764|-0.2238099999999999|-1629.748476|8.3962|8.5498
13_a15|0.0|0|0|0|0.0|1|1|1.4356889940000002|0.0|-0.139434143|-0.006348913|0.0|3|0.029206349|-0.006938727|0.0|0.001806571|10.95980212|0.005149745|0.003766915|-0.173728081|-0.272482143|-0.357554652|2|0.843715005|0.729838386|0.008210506|0.8854875790000001|-0.098053528|0.708462114|0.016196467|-43.2365883|-61.86632281|10.21906987|142.67217639999998|0.114512421|0.0|0.755283433|-27.279882500000003|72.41636305|-21.33321476|3028.485145|558.6934137000001|-1237.326456|-13.46007201|0.244716567|0.931684902|7196.400881999999|154.4025434|-780.6841766|28.24531009|0.01672103|-322.1392954|1638.227985|830.7967967000001|10.55004024|0.0|4.19|0.07|24.0|-8.9|4.33|6.69|2.0|0.0|138.24|1.0|-6.32|34.0|4.0|-5.26|448.52|0.0|4.77e-07|0.000214|0.0|0.0|5.7e-07|-0.03946|5.04|2.5721|-1450.756042|674.36|1231.11|482.03|208.0|549.33|0.63827|0.0003|-0.15229|-1450.462642|6.0429|8.2218
9_a15|0.0|0|0|0|0.0|0|0|1.419941378|0.0|-0.217598467|-0.009923019|0.0|1|0.04022792|0.096418279|0.0|1.7800000000000002e-05|10.95880687|0.005692073|0.003160815|-0.203104439|-0.295062413|-0.344978312|1|0.85357243|0.7059441040000001|0.088615068|0.846156316|-0.11668349|0.416635119|0.032464905|-41.10356167|-65.07462414|18.10574464|105.5304352|0.153843684|54.69975317|0.51257747|-22.92354152|85.14415759|-15.93664265|2392.3164920000004|471.903131|-780.8954896|-8.88789863|0.48742253|0.8240935659999999|5375.400861|271.83655510000006|-435.5070329|31.09118831|0.03598612|-14.02896218|1523.4682269999998|532.0914339999999|20.06953345|1.0|3.37|0.19|18.0|-7.57|3.9|4.95|2.0|0.0|104.74|1.0|-5.25|27.0|5.0|-5.52|366.41|1.0|5.63e-06|0.00206|0.0|0.0|9.86e-06|-0.0258899999999999|3.36|3.7487|-1223.705126|588.55|1042.17|330.74|0.2693|507.33|0.6512399999999999|0.0115|-0.1824|-1223.522216|2188.0|6.9706
8a_a31|0.0|1|0|0|7.765993078999999|1|1|0.610138387|0.0|-0.039027368|-0.015034136|5.733341277|0|0.043817204|-0.1480271209999999|0.0|-0.013230176|10.31170053|-0.01861065|-0.009293513|-0.054025775|-0.094359203|-0.520051508|0|0.938325481|0.837862749|0.0502030679999999|0.594139864|-0.136459435|0.272259026|0.0375544779999999|-60.46233433|-67.46619355|18.56711239|131.2406629|0.405860136|465.4559302|0.666437359|-29.89286568|82.32407724|-20.61467025|2128.209198|293.7455749|-742.1281291|-10.19199103|0.333562641|0.822471411|4538.505909|164.9149565|-366.9116769|30.93264504|0.030052065|-164.57484340000002|1113.575221|324.7430642|14.85788369|1.0|2.05|0.2|16.0|-5.33|4.16|2.54|0.0|0.0|83.83|2.0|-3.57|22.0|5.0|-7.11|314.36|1.0|0.000269|0.0846|0.0|0.0|0.00145|-0.02993|1.53|3.8097|-1347.541429|538.75|872.11|325.45|0.2604|396.15|0.7027100000000001|0.2604|-0.18869|-1347.446223|5.3042|6.1024
A8301_a51|0.0|0|0|0|6.86171134|0|0|1.197963627|1.700610355|0.0245770529999999|-0.00449765|4.727387819|2|0.039058957|0.078523314|1.987294898|0.00740124|10.31321735|-0.1227504419999999|0.007083041|-0.0357324579999999|-0.0618359079999999|-0.4354420879999999|2|0.7595189840000001|0.6959300979999999|-0.013846396|0.934739895|-0.0780376929999999|0.339244706|0.008152073|-35.90764428|-50.67621589|5.293803823|36.55933899|0.065260105|78.46116212|0.854959635|-23.3177516|56.90163721|-21.28401067|2799.106729|607.0025787000001|-1064.200534|-13.82143785|0.145040365|0.922911768|6401.6494600000005|94.18649643|-691.0718926|24.89475504|0.009586697|-461.0082758|1244.737752|690.8826121000001|6.225421319|1.0|3.5|0.04|27.0|-9.38|5.5|5.52|2.0|1.0|129.04|1.0|-6.6|31.0|3.0|-5.31|421.52|1.0|2.5e-07|0.000105|0.0|0.0|1.74e-07|||||||||||||||7.9208
8d_a32|0.0|1|1|1|7.765993078999999|0|0|0.609420756|0.0|0.143684876|-0.010604502|5.733341277|0|0.0388738739999999|0.062782795|2.146260246|-0.006974711|10.31100269|-0.0682721729999999|-0.005162219|0.001558357|0.002805572|-0.629535754|0|0.825020753|0.825978584|-0.054095278|0.7107041559999999|-0.109968322|0.261692269|0.01593079|-68.88621406|-69.11005922|10.01177286|321.2496412|0.2892958439999999|89.20994250000001|0.708567136|-43.2918338|81.54594837|-21.03349629|2556.198518|446.6450457|-967.5408291|-13.21859008|0.2914328639999999|0.887243042|5523.492436|183.1522214|-608.0551435|29.684549600000004|0.019788058|-262.14980440000005|1365.489282|557.1050635|12.43588915|1.0|2.84|0.26|19.0|-7.26|6.42|4.32|1.0|0.0|110.38|1.0|-6.08|27.0|4.0|-6.47|397.52|1.0|8.41e-07|0.000334|0.0|0.0|2.19e-05|-0.0535|4.26|3.5588|-1880.773727|671.71|111.16|348.39|0.3018|540.98|0.7026100000000001|0.3018|-0.20115|-1880.602038|1873.0|8.0809
4_a38 (LY-2157299)|0.0|0|0|0|7.535296702|1|1|1.343847059|2.0959524330000003|0.050460026|-0.00638266|5.4161004020000005|2|0.041252955|-0.0501467259999999|1.721297609|0.002865697|10.9277672|-0.020954339|0.003107816|0.028964355|0.0481706809999999|-0.463575124|2|0.702976795|0.8099394329999999|-0.041794304|0.754313773|-0.089446059|0.459041332|0.01243241|-52.90108631|-51.11565158|7.104736984|260.7739337|0.2456862269999999|71.22674185|0.7861170609999999|-30.23133173|58.99645489|-18.48863993|2501.945802|431.0669496|-868.9660769|-10.56568487|0.213882939|0.949475478|5566.495502000001|122.2274724|-496.5871888|23.51893991|0.01379043|-327.0140711|1105.390176|542.7276591|7.880803302999999|1.0|2.6|0.18|21.0|-7.13|3.69|3.51|1.0|0.0|108.18|1.0|-3.85|28.0|4.0|-6.86|369.42|1.0|0.0001409999999999|52.0|0.0|0.0|2.75e-05|-0.06|3.95|3.78|-1198.683473|617.61|1048.31|327.69|0.2|449.44|0.4|0.06|-0.22|-1198.49738|7.6529|7.1586
12ag_a36|0.0|1|0|0|7.412764017000001|2|2|1.297044434|0.0|-0.042092217|-0.008085448|5.351858133|2|0.043848238|0.063109409|0.0|-0.002526241|10.96052849|-0.050147748|-0.000673716|-0.101303149|-0.217394466|-0.445549431|1|0.724208473|0.835013502|0.124298337|0.7468300940000001|-0.1081585809999999|0.26896187|0.020136392|-52.02834065|-68.21579593|12.70005599|85.84609192|0.253169906|0.0|0.758897371|-32.81436052|80.40643223|-24.55768654|2773.9654530000003|471.0269757|-1227.884327|-15.48857353|0.2411026289999999|0.927847116|5906.879919|152.06382680000002|-774.4286762999999|32.35969377|0.019328689|-326.5740008|1617.984688|595.8790650000001|12.1906363|0.0|0.0|0.14|17.0|-6.86|3.13|2.44|1.0|0.0|123.71|1.0|-3.89|30.0|5.0|-6.76|399.42|0.0|0.000129|0.0515|0.0|0.0|5.58e-05|-0.05486|3.41|3.7117|-1332.185403|658.68|1112.68|334.04|0.4286|507.72|0.69204|0.0191|-0.20713|-1332.003616|7.5405|7.7696
10_a32|0.0|1|1|1|7.765993078999999|0|0|0.6094207629999999|0.0|0.153272514|-0.016404762|5.733341277|0|0.03995614|-0.020186906|2.067772926|-0.0064007569999999|10.31100271|-0.047619048|-0.00369116|-0.1260956869999999|-0.229450999|-0.690879647|0|0.809370315|0.8607827790000001|0.012125768|0.7622839570000001|-0.1223816869999999|0.266552538|0.02575778|-54.55170955|-75.59866726|15.91131724|57.97512956|0.237716043|52.24660367|0.6946347429999999|-33.69815077|91.10767604|-24.0541214|2649.882742|470.8845962|-1058.381342|-14.85891856|0.305365257|0.81769605|5842.926058|188.6328503|-653.7924168|34.62844557|0.025106509|-240.4628923|1523.651605|513.9156315|15.50900878|1.0|3.12|0.22|19.0|-6.99|5.64|4.21|1.0|0.0|107.14|1.0|-6.04|27.0|5.0|-6.44|399.49|1.0|9.17e-07|0.000366|0.0|0.0|4.13e-05|-0.05434|4.12|3.6441|-1916.668776|654.7|1086.09|340.24|0.2983|533.89|0.70228|0.2983|-0.2052199999999999|-1916.519894|3.2297|8.1427
15_a10|0.0|0|0|0|7.535296702|1|1|1.277647202|2.124460476|-0.166303336|-0.0027892409999999|5.4161004020000005|2|0.0353864729999999|-0.0729795729999999|1.981569297|0.009882584|10.92966702|-0.05940848|0.009514122|-0.085979341|-0.136323668|-0.208590561|2|0.682616223|0.808676284|-0.079744227|0.915526801|-0.074144604|0.710970489|0.018614889|-35.30133759|-44.18725043|11.09373722|33.67392858|0.084473199|108.7226878|0.646412648|-21.03820054|56.66229609|-15.04246823|2549.580207|545.6177511|-706.9960069|-8.964715924|0.353587352|0.767351752|5769.347123|210.7240726|-421.3416484|23.27068984|0.020932674|-174.5122907|1093.722422|563.875765|12.47504566|1.0|3.31|0.23|21.0|-8.3|4.91|4.72|2.0|1.0|111.21|1.0|-4.48|28.0|4.0|-6.07|390.87|1.0|3.32e-05|13.0|0.0|0.0|1.96e-06|-0.05243|3.12|3.7997|-1604.08794|641.98|1086.19|326.3|0.4553|484.05|0.41458|0.1647|-0.20983|-1603.907391|6.1563|7.4815
12ac_a36|0.0|1|0|0|7.412764017000001|2|2|1.297043188|0.0|-0.050997272|-0.007639626|5.351858133|2|0.042560386|0.03586247|0.0|0.000584134|10.95345846|-0.0121300989999999|0.0018565629999999|-0.098698552|-0.166354116|-0.433636165|1|0.8058720979999999|0.811459853|0.135371136|0.779673368|-0.104391657|0.4712820929999999|0.021508835|-55.68500110000001|-72.4798052|14.93372351|118.0445703|0.220326632|20.70356046|0.7316461470000001|-38.66245764|86.51036063|-25.03847816|2902.588755|541.3322795|-1377.116299|-17.38437788|0.268353853|0.801074136|6378.288017|186.3198219|-956.1407834|34.22211444|0.020208014|-321.66684580000003|1882.216294|716.9974499|14.03055543|0.0|0.0|0.17|17.0|-6.89|3.16|2.09|1.0|0.0|133.95|1.0|-3.81|32.0|5.0|-7.21|423.47|0.0|0.000154|0.0653|0.0|0.0|5.4600000000000006e-05|-0.0527399999999999|4.84|3.8594|-1385.606133|711.77|1200.61|321.25|0.3302|554.84|0.56186|0.0249|-0.20949|-1385.382927|5.4387|7.8861
1_a15|0.0|0|0|0|0.0|0|0|1.419940974|0.0|-0.22215316|-0.0084598019999999|0.0|2|0.0381893|0.06459652|0.0|0.001244652|10.95880609|-0.000905902|0.003816011|-0.1816819589999999|-0.270248221|-0.34192045|2|0.836466114|0.705825714|0.101406325|0.875723465|-0.1117462069999999|0.7100707390000001|0.026214985|-44.01415991|-72.24770503|16.94887506|121.3844816|0.124276535|63.14412039|0.605927517|-28.45664402|90.40184737|-20.13460632|3000.975833|566.1848585|-1228.210985|-13.01770443|0.394072483|0.77926144|7284.337537|254.7811976|-794.0799704|33.22939752|0.0280791829999999|-136.9714493|2026.993248|851.7423982|18.15414234|1.0|4.18|0.19|24.0|-10.02|5.46|6.32|3.0|0.0|132.94|0.0|-6.55|34.0|6.0|-5.38|457.52|0.0|2.830000000000001e-07|0.00013|0.0|0.0|4.36e-08|-0.04142|4.68|3.2188|-1510.136281|697.35|1271.06|385.18|0.2464|598.34|0.64662|0.0061|-0.17792|-1509.851127|2.3261|7.3565
