molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|FNSA5|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|RPCS|FNSA1|WNSA3|DPSA5|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|GeomDiameter|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA1|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Oscillator Force (max. Transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
15b_a10|0.0|0|0|0.0|1|1.3438370730000002|2.145379897|-0.197213588|-0.002413027|5.4161004020000005|0.024214591|0.033219955|2.0455289690000003|-0.149607679|10.92966694|-0.058911857|1|1|0.011928706|-0.174170642|-0.27395395|2|0.744213612|0.791078367|-0.058258414|-0.104250125|0.7199249390000001|-0.07358373|-31.76194123|-50.44100799|10.94939968|43.96642219|0.078081026|-0.024105015|118.6253241|0.670236374|-21.77253505|62.53159836|0.414077981|2716.468606|631.9674549|2603.829652|11.42472965|0.706711759|6105.426726|24.65365821|0.017637846|-233.3911134|1429.912176|1.0|1.0|1.0|0.0|3.61|3.89|0.32|-8.18|4.44|56.07|2.14|123.73|7.0|31.0|-6.34|413.51|1.0|-4.64|4.46e-05|0.0185|2.28e-05|0.00943|3.49|0.0|0.0|6.609999999999999e-09|2.74|3.7625|-1317.736865|1231.3|0.3575|0.68906|-0.15579|4.7752|-0.20313|0.02977516|-1317.4913390000002|6.1384|85.0|7.0706
4_a47|0.0|0|0|0.0|0|1.304464196|0.0|0.004633887|-0.008204735|0.0|-0.121159855|0.038479532|1.42341819|-0.3692130839999999|10.93671044|0.011775922|0|0|-0.006506051|-0.017555555|-0.027355932|2|0.893350891|0.783871003|-0.095209424|0.019305509|0.8124901999999999|-0.092556319|-42.46254967|-50.35610033|4.22896799|96.20929041|0.1257991219999999|-0.03525955|0.0|0.806604393|-23.10213311|57.78603076|0.402148382|2306.463316|475.6168721|1528.797085|10.818777699999998|0.67265584|5254.939281|23.78275706|0.013656479|-333.62177030000004|998.8757964|1.0|0.0|1.0|2.0|2.75|3.01|0.05|-8.79|5.71|58.04|3.1|106.52|3.0|26.0|-4.99|361.82|0.0|-5.64|1.21e-06|0.0004379999999999|2.31e-06|0.0008359999999999|4.96|0.0|0.0|1.61e-09|4.44|3.73|-1509.4201369999998|988.42|0.2304|0.69157|-0.1547|4.2607|-0.21076|0.03342033|-1509.3147789999998|5.4892|32.0|7.5
18_a34|0.0|0|0|0.0|1|1.4547811819999998|1.801574074|-0.063113846|-0.014733513|5.351858133|-0.101546926|0.040527066|0.0|-0.677741618|10.9595763|-0.136990511|1|1|0.002183342|-0.3102088839999999|-0.478810922|1|0.759292258|0.805756513|0.0468829359999999|-0.224951558|0.713979177|-0.129784908|-49.86847383|-71.65163761|22.55015528|66.6880793|0.31018528|-0.0422555509999999|54.26737825|0.695849945|-27.53138148|86.77082535|0.441058733|2424.18137|380.8328339|1774.550004|11.23989749|0.789096743|5296.289007|33.52510165|0.027385869|-216.2496321|1441.579371|1.0|1.0|1.0|0.0|3.28|3.61|0.21|-5.65|3.15|75.47|1.49|93.91|5.0|26.0|-6.26|351.36|1.0|-4.11|4.77e-05|0.0167|7.829999999999999e-05|0.0275|3.07|0.0|0.0|2.22e-06|5.07|4.1234|-1199.259634|991.93|0.3525|0.60488|-0.17549|5.0935|-0.21474|0.02902032|-1199.158044|6.7806|2.43|5.6144
22_a47|0.0|1|1|0.0|1|1.408617385|1.202720059|0.048272293|-0.010579222|4.727387819|-0.150248628|0.043695652|1.016903613|-0.507802654|10.95023117|0.002716049|1|1|-0.004332497|-0.1049885469999999|-0.277479519|2|0.612295986|0.831122912|-0.077787113|0.004104478|0.591185263|-0.089280419|-47.64347429|-52.67991531|13.07198749|12.19999546|0.301350868|-0.031744149|54.21581266|0.6096864479999999|-28.11203407|71.28682035|0.4614909829999999|2692.510471|412.2379505|1494.441201|12.91589555|0.8569791179999999|6107.923371|30.72175314|0.031534452|-129.440987|1382.478891|1.0|1.0|1.0|2.0|3.31|3.16|0.1|-7.69|4.85|84.73|2.97|104.64|5.0|29.0|-6.58|394.38|0.0|-4.38|3.6e-05|0.0142|4.16e-05|0.0164|3.0|0.0|0.0|2.06e-08|4.4|4017.0|-1375.021925|1027.32|0.3367|0.68312|-0.16704|4.2485|-0.22828|0.02840507|-1374.914437|5.7009|1.0|9.0
47l_a18|0.0|0|0|0.0|0|1.251176792|0.0|0.0340353029999999|-0.006400878|4.844187086|-0.0603838109999999|0.035308642|0.0|-0.428858819|10.94702063|-0.056270425|0|0|0.000787517|-0.103458566|-0.156998637|0|0.7452092359999999|0.7435044540000001|0.00676294|-0.0973326269999999|0.733228144|-0.083884237|-57.15119372|-59.6654726|6.543729374|11.54768766|0.196526687|-0.031456589|51.44279524|0.796109347|-40.65070014|68.83398609|0.4897655489999999|2852.093627|571.4972966|1427.032023|18.46922943|0.959883341|6572.90106|28.10487315|0.012890098|-421.235376|1798.711882|1.0|0.0|1.0|3.0|4.17|0.0|0.25|-9.37|3.19|85.29|2.94|139.63|9.0|34.0|-6.39|454.56|0.0|-4.84|5.44e-06|0.00247|1.4499999999999998e-05|0.0066099999999999|3.78|0.0|0.0|4.26e-10|7.71|3.2026|-1455.5497369999998|1334.6|0.5019|0.69291|-0.1314|2.4594|-0.18344|0.02606651|-1455.233431|3.3864|32.0|7.4949
4j_a46|0.0|0|0|0.19521727|1|1.134637093|2.194310043|-0.175292207|-0.002284836|5.587248657999999|-0.012405467|0.048126615|0.0|-0.130235627|10.94638774|-0.176133068|1|1|0.011684396|-0.0589746909999999|-0.087688953|1|0.72796254|0.7298040140000001|-0.061823242|-0.258222236|0.728293097|-0.074417476|-34.99059698|-43.95227197|8.812983129|70.56141095|0.0501066629999999|-0.024805825|71.98911503|0.776932317|-20.66606288|50.26191521|0.402450715|2260.870095|561.0237355|2563.282153|10.49957018|0.673502127|5077.124695|18.85718615|0.0106831269999999|-327.122208|1018.288052|1.0|1.0|1.0|0.0|4.0|3.9|0.39|-7.69|5.33|39.94|3.28|110.24|4.0|27.0|-5.09|361.48|1.0|-5.31|4.16e-06|0.0015|4.86e-06|0.00176|4.81|0.0|0.0|2.03e-08|4.93|4.4093|-1132.018764|1112.13|0.2783|0.69413|-0.18387|2.9043|-0.20071|0.02491327|-1131.817578|3.8105|805.0|6.0942
9h_a40|0.0|0|0|0.0|1|0.604992856|1.7679629630000002|0.014753178|-0.009041931|5.4161004020000005|-0.126968715|0.039444444|0.814591837|-0.343593366|10.31197223|-185.0|2|2|0.003099029|0.048470175|0.08305063|0|0.778613709|0.740778143|-0.160855189|-0.299768519|0.7528137909999999|-0.095803029|-46.04148264|-47.93581245|6.199629554|132.6583116|0.135689851|-0.041058441|0.0|0.863884935|-23.03722449|53.60044379|0.482124665|2073.354193|432.46450360000006|418.2915223|13.366649|0.930966649|4322.734135|23.78085181|0.011321157|-364.1454816|832.3298135|1.0|1.0|1.0|0.0|3.3|3.55|0.11|-6.51|4.44|67.66|3.22|93.19|3.0|23.0|-5.06|321.4|1.0|-5.12|2.23e-06|0.000716|7.6e-06|0.00244|4.51|0.0|0.0|3.09e-07|3.9|3.3675|-1293.151333|868.84|0.3851|0.69809|-0.14047|2.1413|-0.20038|0.02291279|-1293.083512|2841.0|3.98|5.4001
47t_a18|0.0|0|0|0.0|0|1.25117758|0.0|0.1115820769999999|-0.0128248239999999|4.844187086|-0.161517185|0.03672956|0.0|-0.756664598|10.94702032|-0.04785474|0|0|-0.004985656|-0.068787175|-0.104274108|0|0.704602886|0.750103977|0.005590928|-0.074774521|0.688453085|-0.103295568|-79.78154029|-69.13537385|9.415011332|280.622476|0.32796681|-0.040580402|78.43695402|0.804531523|-53.39751484|80.00407742|0.49779009|2872.533415|449.789539|1326.524873|17.48280476|0.991199259|6603.597038|33.75918118|0.016238994|-407.6438346000001|1890.514146|0.0|0.0|0.0|3.0|3.86|0.0|0.15|-7.51|2.93|110.56|1.64|129.21|7.0|33.0|-6.46|441.48|0.0|-4.77|2.65e-06|0.00117|1.7100000000000002e-05|0.0075299999999999|3.57|0.0|0.0|3.09e-08|9.4|3.1164|-1470.836067|1218.95|0.5502|0.6895100000000001|-0.12692|7.7656|-0.19514|0.03767603|-1470.593659|9.6938|782.0|6.1068
3b_a49|0.0|0|0|0.0|1|1.343850026|2.104186262|-0.003115526|-0.0057605869999999|5.4161004020000005|-0.055724324|0.034155556|1.844602991|-0.322592863|10.92976559|0.00361222|1|1|0.001356445|0.000511959|0.000850823|2|0.7745859279999999|0.794997634|0.021506499|0.006213385|0.749565191|-0.0846496|-54.04959517|-51.77986692|8.304484449|325.6896751|0.250895642|-0.0276739079999999|81.60358988|0.656865946|-33.06194987|64.91785551|0.477583842|2660.339607|458.224537|1796.6760370000002|13.85181805|0.914182753|5934.158315|25.77091035|0.021477952|-191.9087104|1340.087338|1.0|1.0|1.0|2.0|3.37|2.43|0.22|-7.58|3.2|98.72|1.25|116.94|6.0|30.0|-7.42|398.46|0.0|-3.59|0.000293|0.1169999999999999|0.000256|102.0|1.84|0.0|0.0|2.64e-08|3.4|3.8418|-1293.291817|1132.92|0.1978|0.6632|-0.1587|3.0055|-0.21985|0.0368692|-1293.106236|3.1637|25.0|7.6021
14ac_a23|0.0|1|1|-9.994971573|2|1.1979507740000002|2.7104403130000003|0.0763230759999999|-0.011656739|5.351858133|-0.4422550999999999|0.048351548|0.544211741|-0.66443411|10.3132169|0.043387326|2|2|-0.004445662|-0.069765112|-0.287952039|2|0.5562570379999999|0.7797862459999999|0.1374474|0.054652466|0.537271445|-0.097100967|-66.72452104|-73.32014595|12.70997824|57.45545019|0.068856366|-0.043970249|0.327656318|0.8077820920000001|-50.3831402|87.75911516|0.489147172|3695.344378|703.0989434999999|3417.45156|15.90074614|0.95751094|9203.543798|41.10214358|0.019122137|-464.8074813999999|2178.41361|0.0|1.0|1.0|1.0|3.69|3.34|0.12|-9.03|8.36|105.02|4.6|130.29|7.0|38.0|-5.84|547.48|0.0|-6.65|4.92e-08|2.69e-05|2.24e-07|0.000123|5.35|0.0|2.0|9.25e-10|4.93|3.6325|-2303.9786940000004|1285.58|0.3209|0.69962|-0.15055|6.3004|-0.23868|0.02262555|-2303.819891|8.6341|4.0|8.3851
12af_a36|0.0|0|0|0.0|0|1.29704271|0.0|0.04293386|-0.00989889|5.351858133|-0.081537769|0.039953704|0.0|-0.6038322939999999|10.96037047|0.00146554|1|1|-0.000472698|-0.126068378|-0.213993335|1|0.859938421|0.813346624|-0.062279009|0.002492952|0.817582774|-0.1054605669999999|-57.32748365|-73.23838519|15.22358698|89.56100543|0.244724481|-0.035153522|127.6527374|0.6702409189999999|-39.81177462|91.25505794|0.448767097|3013.98446|524.5103537|3082.869129|15.59375751|0.8141152220000001|6499.41155|36.42391023|0.0259433429999999|-236.4517911|2076.162883|0.0|0.0|0.0|3.0|4.98|0.0|0.17|-6.93|1.65|98.3|1.49|138.06|7.0|33.0|-7.66|438.48|0.0|-3.64|0.000292|128.0|0.000227|0.0997|1.85|0.0|0.0|1.1800000000000001e-07|4.5|3.2299|-1440.954069|1246.55|427.0|0.70508|-0.13364|6.9003|-0.19246|0.02886569|-1440.740243|9.4631|15.0|7.8239
12ah_a36|0.0|0|0|0.0|0|1.297013411|0.0|-0.050415481|-0.007648622|5.351858133|-0.043678703|0.043848238|0.0|-0.41302559|10.95983779|-0.050147748|1|1|0.0010871589999999|-0.103922055|-0.177407665|1|0.8941919290000001|0.835013502|0.011674455|-0.0861053359999999|0.8065052890000001|-0.1059368909999999|-49.0084977|-68.45222166|11.93961081|82.70705743|0.171594725|-0.038137281|0.0|0.768906425|-31.66734951|80.02464883|0.468162246|2786.56479|535.2826672|2334.380591|15.54445187|0.8802726820000001|6015.129321|32.04915319|0.017909528|-347.5133554|1602.457659|0.0|0.0|0.0|2.0|4.73|0.0|0.14|-7.18|2.54|69.2|2.51|128.76|5.0|30.0|-6.49|415.88|1.0|-4.59|3.64e-05|0.0151|2.55e-05|0.0106|3.31|0.0|0.0|6.65e-08|3.79|3.7792|-1692.512868|1148.39|0.6729|0.6970000000000001|-0.15434|5.4979|-0.2107099999999999|0.03300341|-1692.369929|7.6265|11.0|7.9586
9d_a40|0.0|0|0|0.0|1|0.604992329|1.839557351|0.007834411|-0.003961493|5.4161004020000005|-0.022152094|0.045555556|0.89023715|-0.146575228|10.3119722|-0.137738587|2|2|0.010101686|0.0116099239999999|0.019621984|0|0.601831605|0.7572844040000001|-0.3969541689999999|-0.223631751|0.55759121|-0.071656839|-31.08478865|-36.92750973|5.539796446|108.1468558|0.058372388|-0.031613312|50.47044708|0.8664205709999999|-16.01918037|41.42218692|0.467275972|2109.570685|485.2567189|336.6614768|15.06105494|0.87714454|4401.742338|18.80327978|0.0087217999999999|-377.6610668|639.3115126|0.0|1.0|0.0|0.0|3.25|3.63|0.06|-7.0|5.09|58.43|4.07|91.71|2.0|22.0|-4.62|325.82|1.0|-5.65|7.37e-07|0.0002399999999999|2.23e-06|0.000727|5.16|0.0|0.0|1.01e-07|4.7|3.3464|-1677.540538|892.69|0.4888|0.69986|-0.13875|6.2032|-0.20781|0.01113991|-1677.48058|7.9502|107.0|6.9706
13j_a6|0.0|0|0|0.0|0|1.430640326|0.0|0.0353600779999999|-0.015004989|5.351858133|-0.154502515|0.041728395|0.0|-0.855284356|10.95129557|-0.047513534|1|1|-0.007703306|-0.045418125|-0.073507141|1|0.8744720490000001|0.783333463|-0.063948098|-0.079161042|0.830577798|-0.129511589|-80.33128667|-86.54032868|20.78979124|180.6709018|0.377035857|-0.046428683|114.6910805|0.7841668409999999|-53.67779048|99.85109065|0.433600896|2907.3053210000003|416.2679342|2634.320708|15.43329684|0.765539515|6276.316063|39.56287079|0.0199201689999999|-379.7635712|2096.832152|1.0|1.0|1.0|3.0|3.56|2.26|0.12|-8.5|3.54|115.15|1.18|120.17|6.0|32.0|-6.81|427.46|0.0|-4.48|9.32e-06|0.00398|3.28e-05|14.0|2.95|0.0|0.0|3.18e-09|4.94|3.5599|-1426.520775|1196.6|0.2857|0.7045100000000001|-0.14602|8.3187|-0.19491|0.03242949|-1426.335207|10.9731|262.0|6.5817
