molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|MATS8s|MATS8d|nFaHRing|FNSA5|PBF|FPSA3|PNSA3|PPSA3|RNCS|FNSA4|WNSA5|WPSA3|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GRAV|DPSA4|FPSA5|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Molecular Mass|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
3c_a32|0.0|1|1|1|3.452148526|0.0|0|0.6094207970000001|0.0|0.025890116|-0.048337951|0|-0.0522536959999999|2.224112182|-0.270034997|-0.00017094|-0.113334836|10.31100278|-0.01180891|3|3|0.00124359|-0.0779821129999999|-0.145525719|0|-0.003205869|-0.019130435|1|-0.0943910459999999|0.216289509|0.015118975|-34.91603827|7.772301225|59.72163595|-0.0288417079999999|-24.94510426|3.995552912|-17.94949454|-14.82682786|42.68833949|0.423167668|2152.627425|456.8935699|-7.622115192000001|0.306047878|5.605165488|4598.027604999999|21.36577928|0.018316536|-199.4122311|9.416090047|1.0|1.0|1.0|1.0|1.0|1.0|3.22|2.95|19.0|-6.89|6.61|1.7|0.0|93.05|0.0|1.0|326.44|0.0|4.02|6.65e-07|0.000217|0.00399|4.14|4.18e-05|-0.05487|3.02|3.5169|-1633.443791|352.54|352.54|0.7034600000000001|-1633.297494|-0.14219|-0.1970599999999999|0.02415856|-1633.348356|5.0659|9.0|8.0458
12ap_a36|0.0|1|0|0|3.4417292610000003|0.0|0|1.2970441659999998|0.0|-0.06398791|-0.010732275|2|0.066185994|0.0|-0.424579308|-0.000143196|-0.105824575|10.95430638|-0.042675894|1|1|0.001194592|-0.098598933|-0.175397741|1|-0.025198947|-0.074596774|0|-0.106173763|0.27547717|0.0217479329999999|-54.21070432|14.26936622|82.56761031|-0.037473093|-45.7078307|9.36249036|-35.56900768|-24.58703954|68.48007054|0.464588|2843.18721|544.9693552|-16.13217554|0.262148114|8.766216204|6003.481614|33.32245946|0.020575639|-312.1212186|13.50019441|1.0|0.0|0.0|1.0|0.0|2.0|4.78|0.0|17.0|-6.66|2.75|1.38|0.0|128.47|0.0|1.0|406.44|0.0|1.66|0.000101|0.0412|0.0458|2.4|8.97e-05|-0.06084|2.98|3.8801|-1325.199863|319.54|252.39|0.59563|-1324.95298|-0.15704|-0.21788|0.04039655|-1325.0127220000002|9.6512|32.0|7.4949
12aa_a30|0.0|0|0|0|0.0|0.0|0|0.604983643|0.0|-0.101407312|-0.028524865|2|-0.014017531|0.0|-0.539735362|0.003529389|0.059360681|10.31162784|-0.007369513|1|1|0.005111479|-0.12254489|-0.207153446|1|0.024991407|-0.012535889|0|-0.101368383|0.418522684|0.030906491|-54.50378741|21.58471858|55.0567406|-0.033789461|-49.44198469|15.0745057|-38.06478415|-23.59814969|76.08850600000001|0.4659424379999999|3115.249471|567.5458219999999|-16.48066156|0.369240427|8.65813938|6944.511023|37.41227352|0.029670025|-182.6418006|20.72118575|1.0|0.0|1.0|1.0|1.0|1.0|4.86|0.0|17.0|-6.83|3.94|2.2|0.0|140.26|0.0|1.0|458.54|0.0|2.52|2.47e-06|0.00113|0.00456|3.81|6.720000000000001e-05|-0.04966|3.34|3.4642|-1804.818818|357.9|238.78|0.30341|-1804.516348|-0.1472099999999999|-0.19687|0.03443621|-1804.582558|6.4878|8.0|8.1135
19a_a22|0.0|0|0|0|0.0|0.0|1|1.422917238|1.572240489|-0.000989685|-0.144269652|2|-0.020553065|1.545757986|-0.548716971|-0.002607064|-0.011513343|10.9464374|0.016501913|1|1|-0.001355145|-0.035723406|-0.0611158559999999|2|-0.155892259|0.0271939039999999|1|-0.09370213|0.51561501|0.024839714|-67.26339083|18.53458775|373.8201781|-0.035138299|-52.17015658|13.82990734|-50.18975739|-26.21905704|85.79797858|0.4347718229999999|3167.140147|555.4133255|-19.56380872|0.315293811|8.648671382|7095.27723|38.29242013|0.025888799|-275.6435167|19.31738094|1.0|1.0|1.0|1.0|1.0|2.0|3.61|2.27|27.0|-8.76|3.08|0.98|0.0|132.15|0.0|1.0|463.49|0.0|2.36|4.16e-05|0.0193|0.0356|2.05|8e-07|-0.06398|5.69|3.5809|-1537.071348|346.24|246.01|0.34556|-1536.756515|-0.1508|-0.21478|0.04718381|-1536.823574|6.5658|48.0|7.3188
8a_a31|0.0|1|0|0|3.28085223|0.0|0|0.610138387|0.0|-0.039027368|-0.158899731|0|-0.1480271209999999|0.0|-0.586331322|-0.013230176|-0.135144546|10.31170053|-0.01861065|2|2|-0.009293513|-0.054025775|-0.094359203|0|0.0502030679999999|-0.030149254|0|-0.136459435|0.272259026|0.0375544779999999|-60.46233433|18.56711239|131.2406629|-0.0416959379999999|-33.35560699|9.179668678|-29.89286568|-20.61467025|79.02944672|0.4512945479999999|2128.209198|293.7455749|-10.19199103|0.333562641|5.83708559|4538.505909|30.93264504|0.030052065|-164.57484340000002|14.85788369|0.0|1.0|0.0|1.0|1.0|2.0|3.34|2.05|16.0|-5.33|4.16|0.36|0.0|83.83|0.0|2.0|314.36|0.0|2.13|0.000269|0.0846|243.0|1.56|0.00145|-0.02993|1.53|3.8097|-1347.541429|325.45|325.45|0.7027100000000001|-1347.3959220000002|-0.1587599999999999|-0.18869|0.03432763|-1347.446223|5.3042|0.79|6.1024
18b_a25|0.0|0|0|0|0.0|0.0|1|1.194228955|1.824998189|-0.147813831|0.0131826839999999|2|-0.018632104|2.003993644|-0.189048258|0.006181503|0.014055398|10.31286058|0.0009956189999999|1|1|0.00598031|-0.034703635|-0.061048368|2|-0.026045966|0.001715854|1|-0.078644297|0.348987182|0.01278627|-44.30110081|8.972372556|80.36582704|-0.0305838929999999|-38.7252349|6.296086869|-31.08693686|-21.46130777|53.27347337|0.493622561|3051.645565|656.9874135|-15.05981357|0.215220531|8.654596906|6973.180791|27.34692815|0.013724883|-399.6704921|9.631015182|1.0|1.0|1.0|1.0|1.0|1.0|3.58|3.56|27.0|-9.84|5.93|2.2|1.0|138.56|0.0|1.0|460.55|0.0|4.35|2.87e-07|0.000132|0.000899|4.48|6.690000000000001e-08|-0.07066|4.32|3.6826|-1767.52411|336.67|223.65|0.36733|-1767.2232149999998|-0.15079|-0.22145|0.03002332|-1767.286778|2752.0|51.0|7.2924
4g_a49|0.0|0|0|0|0.0|0.0|2|1.343847279|4.107873566|-0.087219006|-0.008414823|4|-0.085731041|3.4246879480000003|-0.328081947|0.007953069|0.003456679|10.92777048|0.08591712|2|2|0.007845545|-0.038698906|-0.066023903|4|-0.027032199|0.144740607|2|-0.0666753309999999|0.736530693|0.018944337|-61.24875669|18.87757641|151.0705543|-0.0250032489999999|-66.20622488|18.81105094|-61.03291321|-24.91513644|80.12633309|0.48934952|4706.348867000001|857.1564845|-24.82733433|0.372642776|9.28937554|11516.07629|39.71443299|0.023762615|-253.8168226|23.67887448|0.0|0.0|0.0|1.0|0.0|1.0|4.83|4.36|42.0|-13.67|6.09|2.87|0.0|198.32|0.0|0.0|663.73|0.0|5.23|3.3700000000000004e-08|2.24e-05|2.47e-05|5.28|1.4199999999999998e-11|-0.06458|6.35|3.6269|-2147.721319|341.84|287.56|0.33449|-2147.217543|-0.15087|-0.21545|0.05838924|-2147.295787|4.5147|106.0|6.9747
16h_a32|0.0|1|1|1|3.340888605|0.0|0|0.609420754|0.0|0.217139852|-0.098975084|0|-0.069213021|2.075726759|-0.7828009570000001|-0.0048042729999999|0.061727488|10.31100268|-0.022634676|3|3|-0.002310082|-0.123297852|-0.219947482|0|-0.003188883|-0.03617945|1|-0.121464999|0.44308098|0.02096013|-51.56009529|13.31708433|70.02855767|-0.038765425|-49.03221545|8.461051377999999|-32.75886858|-24.62973479|64.87717961|0.459750275|2709.44587|507.7688359|-15.6485794|0.2640948939999999|6.710057805|6151.056721|33.46862873|0.020432929|-299.7661014|12.98212548|1.0|0.0|1.0|1.0|1.0|2.0|3.61|3.45|19.0|-7.0|5.86|1.12|0.0|111.95|1.0|1.0|413.52|0.0|3.74|3.28e-07|0.000136|0.0073599999999999|3.66|4.09e-05|-0.05028|4.54|3.6182|-1955.99895|342.67|342.67|0.70219|-1955.772465|-0.14972|-0.2|0.02818755|-1955.832545|4.2275|9.0|8.0655
4_a27|0.0|0|0|0|0.0|0.0|2|1.4008954130000002|3.294369174|0.082486268|-0.058641975|2|-0.273119343|1.274166982|-0.278154179|0.00991794|0.13397347|10.93736915|-0.01660383|1|1|0.010329671|-0.2030237389999999|-0.341622797|2|-0.07759915|-0.024800302|1|-0.078787867|0.3485918529999999|0.0201467639999999|-29.89961815|10.43112657|8.590238252999999|-0.0281385239999999|-21.12083948|5.40078803|-15.48073439|-14.56891559|40.33074472|0.444169714|2273.715366|441.4418013|-7.543156957000001|0.317514326|6.01592535|4988.6278600000005|21.34684457|0.020363697|-188.9664429|10.54344507|0.0|0.0|1.0|0.0|1.0|0.0|3.11|3.08|21.0|-6.22|2.94|2.66|0.0|97.55|0.0|1.0|331.37|1.0|2.8|0.000266|0.0882|0.0339|2.55|0.0002|-0.0449899999999999|4.63|4.1288|-1083.138303|300.29|223.46|0.36899|-1082.963712|-0.17034|-0.21533|0.01877181|-1083.01571|3.9202|4.0|8.3979
6_a15|0.0|0|0|0|0.0|0.0|0|1.419941278|0.0|-0.199979249|-0.048804012|1|0.106485923|0.0|-0.513693384|0.001080419|0.011857945|10.95880677|-0.009025163|0|0|0.003942615|-0.195267558|-0.281352401|1|0.0371776429999999|-0.015484797|0|-0.123000073|0.398681391|0.02948637|-41.14459066|17.20414198|105.4415725|-0.0307500179999999|-41.87249058|10.03794313|-24.00625743|-17.94143141|58.34873264|0.3902945579999999|2454.904173|501.3728188|-10.46812265|0.4180252789999999|6.110075236|5589.043165|30.82854077|0.029449813|-95.65807914|17.18281248|1.0|1.0|1.0|0.0|1.0|1.0|3.29|4.03|18.0|-7.95|4.43|2.18|0.0|109.7|0.0|1.0|380.44|1.0|4.11|2.16e-06|0.000823|0.00278|4.64|4.3e-06|-0.02419|3.94|3.7696|-1263.0243449999998|328.9|285.52|0.65191|-1262.75978|-0.15714|-0.18133|0.01711539|-1262.820532|1.9421|35.0|7.4559
6_a47|0.0|0|0|0|0.0|0.0|0|1.304328257|0.0|0.011739916|-0.1738997619999999|2|-0.14404966|1.291219116|-0.392537045|-0.010708889|0.051455447|10.93671042|0.0402365489999999|0|0|-0.0094242819999999|-0.020576777|-0.04324355|2|-0.149904224|0.062425042|1|-0.096689626|0.446564415|0.009820713|-43.43026699|5.323543706000001|101.7290544|-0.036834143|-28.411587800000003|2.885749555|-23.54237714|-19.96679614|48.75381069|0.4059072379999999|2431.668154|456.3812788|-10.82346202|0.205609194|6.480620646|5766.962611999999|25.13472712|0.0154005|-319.1626428|8.348196185|1.0|1.0|0.0|1.0|1.0|2.0|2.82|2.91|22.0|-9.06|5.24|3.48|0.0|106.47|0.0|1.0|379.81|0.0|4.59|9.53e-07|0.000362|0.000619|5.06|3.310000000000001e-07|-0.05354|4.69|3.7196|-1608.684886|333.32|224.66|0.30468|-1608.50108|-0.1544|-0.20794|0.03288085|-1608.554019|4.2153|13.0|7.9
3t_a32|0.0|1|1|1|3.4477303|0.0|0|0.609420752|0.0|0.028840888|-0.0338714389999999|0|0.028527045|2.141978747|-0.304466646|9.83e-05|0.012069208|10.31100267|-0.086478322|3|3|0.00139283|-0.070331512|-0.122301673|0|0.0466380209999999|-0.146047869|1|-0.0974995|0.217914628|0.014242899|-50.65701113|8.995863948|97.01046154|-0.026967947|-38.89478416|5.681818647999999|-31.99514268|-17.03304802|59.65287508|0.481726305|2530.60497|523.3947687|-10.75813179|0.315525518|8.107111779|5525.861115|24.88485469|0.017184783|-233.0294362|10.85396804|1.0|1.0|1.0|1.0|1.0|1.0|3.58|3.41|19.0|-8.01|7.65|1.74|0.0|112.48|0.0|1.0|396.53|0.0|4.46|3.28e-07|0.00013|0.00462|4.09|3.91e-06|-0.05507|5.5|3.5487|-1864.708995|349.38|349.38|0.70286|-1864.472646|-0.14739|-0.20246|0.03020622|-1864.534478|2.7003|9.0|8.0458
3h_a32|0.0|1|1|1|3.579396967|0.0|0|0.609420752|0.0|0.01077056|-0.008243901|0|0.014517903|2.243113495|-0.269379119|0.002101838|-0.003152613|10.31100268|-0.111111111|3|3|0.003284804|-0.071193103|-0.122769653|0|-0.169197453|-0.2|1|-0.0882883959999999|0.30907784|0.0111539339999999|-44.97387528|6.98327435|76.38838542|-0.027590124|-34.60714056|4.372100625|-28.15732254|-17.27367301|51.95714963|0.4089962629999999|2398.020434|550.2022886|-10.81473143|0.226505997|8.107034244|5187.525619|22.33200639|0.011751781|-342.4592076|7.357575822|1.0|1.0|1.0|1.0|1.0|1.0|3.65|3.88|19.0|-8.47|8.11|2.64|0.0|112.28|0.0|1.0|382.55|0.0|5.4|5.8700000000000014e-09|2.24e-06|0.000273|6.12|1.29e-06|-0.05318|4.61|3.5552|-1790.6908030000002|348.74|348.74|0.70257|-1790.440663|-0.1474099999999999|-0.20059|0.02690554|-1790.5004850000005|5.8749|7.0|8.1549
11c_a31|0.0|1|0|0|3.336985072|0.0|0|0.6101368770000001|0.0|0.069254998|-0.141329185|0|-0.031640011|0.0|-0.847114804|-0.011679927|-0.137912959|10.31169916|-0.085216451|2|2|-0.008375297|-0.0992097109999999|-0.16065803|0|0.013528742|-0.139933586|0|-0.14043574|0.3608415239999999|0.034256743|-80.82023592|20.06220362|264.7428792|-0.042457317|-48.16624372|11.74927853|-47.33176279|-24.864808|100.8824395|0.47997061|2470.585429|330.3862551|-14.56188764|0.323910768|7.259183801|5329.481371|36.77740577|0.029155542|-206.2506659|17.07472346|1.0|0.0|1.0|1.0|1.0|2.0|3.51|2.66|16.0|-5.84|5.04|1.03|0.0|97.32|0.0|2.0|371.41|0.0|3.04|7.68e-06|0.00285|39.0|2.82|0.000537|-0.03532|4.47|3.8551|-1559.3980869999998|321.61|321.61|0.7005899999999999|-1559.194237|-0.15994|-0.19526|0.04465349|-1559.253116|7.5091|0.13|6.8861
9h_a24|0.0|1|0|0|2.916716427|0.0|1|1.428198245|1.726213624|-0.203768024|2.01e-05|2|0.078066659|0.0|-0.105982525|0.013595277|-0.209618231|10.96661419|-0.002471577|2|2|0.012380829|-0.02551563|-0.047269812|2|0.183289617|-0.004960317|0|-0.0687348109999999|0.4016070679999999|0.018457687|-28.52000725|8.724425117000001|167.2085719|-0.026280957|-15.35662744|4.123788393|-13.48059881|-12.42226332|37.24443236|0.477589721|2062.34011|417.7355164|-5.871651668999999|0.427628742|5.805547147|4170.098082|21.70315707|0.031789952|-68.41568372|15.02620893|1.0|0.0|0.0|1.0|1.0|1.0|2.84|1.96|22.0|-6.05|2.42|1.07|0.0|82.17|0.0|1.0|288.31|1.0|1.97|0.00147|423.0|166.0|1.7|0.000258|-0.0435399999999999|1.16|4.3437|-945.2642633|285.43|239.63|0.54606|-945.153352|-0.18239|-0.22593|0.0305020989999999|-945.200628|7.7741|77.0|7.1135
