molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|JGI4|ATSC1c|MATS8i|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|BIC2|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PNSA3|PNSA5|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
14x_a23|0|1|1|0.0|7.423568444|0|1.197963189|3.101221922|0.0944818319999999|-0.0065692219999999|5.351858133|0.04314059|-0.335030301|-0.075184011|2|2|0.003906274|0.160327487|-0.206574435|2|0.802520527|0.8668730109999999|0.558482531|0.7768288609999999|-0.0708831479999999|-0.084244058|-46.97594633|-55.83053941|0.223171139|147.90081730000003|-37.00022522|9.704599953|87.28077098|0.722211323|-1.6006371069999998|-31.13207597|-22.56979253|61.61945314|3071.48868|-1060.780249|2382.851643|0.277788677|7.777802167999999|14.62325432|184.0971574|31.25095356|0.0219879679999999|1468.794817|597.2903597999999|14.57194888|0.0|1.0|0.0|3.42|3.42|0.05|26.0|-7.93|4.2|5.14|105.02|3.78|2.0|120.2|0.0|-5.68|6.0|447.46|0.0|4.06|5.41e-06|0.00242|3.78|1.17e-08|5.23e-06|-0.08216|4.0641|3.97|-1828.393372|675.21|1149.42|305.07|0.6757|-1828.168422|0.3057|-0.15259|5.7933|-0.23475|0.02165405|-1828.228912|8.1916|8.4949
6d_a40|0|0|0|0.0|8.421342866|1|0.604893491|1.695192271|0.12627602|-0.015362927|6.401917197|0.039160494|-0.722057579|0.086704068|2|2|-0.00448098|-0.249967637|-0.0603134|0|0.8361555479999999|0.8988141140000001|0.604211552|0.663670372|-0.115007564|-0.119563634|-73.59650182|-76.51205671|0.336329628|215.22657540000003|-48.96216855|7.108696385|38.04267542|0.86005241|-2.15214542|-47.09642482|-32.02830281|84.70509846|3063.227702|-1377.2170210000002|3212.360755|0.13994759|6.908972922999999|12.08146906|89.55631|37.23994308|0.01400787|1601.317552|555.2010623|8.964021265|0.0|0.0|1.0|3.98|2.84|0.21|14.0|-4.31|4.8|3.63|173.43|2.01|2.0|120.09|1.0|-7.21|6.0|460.52|1.0|3.43|7.1e-06|0.00327|3.87|4.9e-05|0.0226|-0.09462|2.9559|7.98|-2470.82949|656.5|1111.69|419.45|0.6624800000000001|-2470.62267|0.3518|-0.11938|7.8884|-214.0|0.03556489|-2470.684323|10.9021|8.9208
25_a12|0|0|0|0.0|0.0|0|1.404967476|0.0|0.00700113|-0.004103693|0.0|0.038787879|-0.180562493|-0.025245046|0|0|0.001783739|-0.141917694|-0.0861945369999999|2|0.638255008|0.688743998|0.806844014|0.947937175|-0.054734834|-0.080147596|-28.517955|-41.75851719|0.052062825|27.12578432|-21.75703145|1.3444869730000002|0.0|0.917298637|-1.362509125|-14.85843094|-17.31450713|31.09844409|2067.69985|-709.8947922|1907.027255|0.082701363|5.34703037|9.70173342|43.08908189|18.87554002|0.005118351|773.8971409|430.4348528|2.666764531|1.0|1.0|1.0|2.81|3.43|0.05|22.0|-8.78|4.7|5.35|37.81|3.2|1.0|99.48|0.0|-5.28|2.0|311.38|1.0|4.29|5.63e-06|0.00175|4.76|1.6399999999999995e-09|5.12e-07|-0.05352|4.2653|4.73|-974.6569575|560.14|945.73|290.68|0.63284|-974.458128|0.1897|-0.14303|1.2494|-0.19655|0.024123749|-974.508059|2.2482|7.6576
4j_a46|0|0|0|0.19521727|7.825245291|1|1.134637093|2.194310043|-0.175292207|-0.002284836|5.587248657999999|0.048126615|-0.130235627|-0.1051618459999999|1|1|0.011684396|-0.078783783|-0.087688953|1|0.7298040140000001|0.763724435|0.728293097|0.949893337|-0.05924408|-0.074417476|-34.99059698|-43.95227197|0.0501066629999999|29.59387777|-25.95898597|5.205103062|71.98911503|0.776932317|-1.339514565|-20.66606288|-14.65075732|43.80358011|2260.870095|-791.1408955|2563.282153|0.223067683|6.274010655|10.49957018|131.7477027|18.85718615|0.0106831269999999|1018.288052|642.1335502000001|6.30964324|1.0|1.0|1.0|4.0|3.9|0.39|17.0|-7.69|5.18|5.33|39.94|3.28|2.0|110.24|0.0|-5.38|3.0|361.48|1.0|4.5|4.86e-06|0.00176|4.81|2.03e-08|7.33e-06|-0.01684|5.3949|4.93|-1132.043677|646.67|1112.13|229.82|0.37853|-1131.761156|0.1418|-0.18387|2.9043|-0.20071|0.02491327|-1131.817578|3.8105|6.0942
5b_a49|0|0|0|0.0|7.853604813|2|1.343848745|2.119588967|0.1108916119999999|-0.007610481|5.777652323|0.034466231|-0.418576471|-0.0695402359999999|1|1|0.006696215|-0.12209302|-0.230763367|2|0.7843021|0.839963111|0.666573331|0.7969332440000001|-0.0698098759999999|-0.076494119|-41.03213895|-44.96093486|0.203066756|119.3565117|-26.42668087|7.020013952999999|69.07083505|0.608694741|-1.300400018|-24.11745318|-15.28671785|52.97561349|2764.188493|-764.3358925|1956.050085|0.3913052589999999|6.270195553|11.94760614|229.9974239|25.1139312|0.025332565|1255.69656|612.7019937000001|14.88971719|1.0|1.0|1.0|3.34|2.9|0.22|21.0|-7.24|2.98|2.87|75.94|2.07|1.0|122.26|0.0|-3.3|4.0|396.44|1.0|2.58|0.000118|0.0468|2.08|5.79e-08|2.3e-05|-0.04453|5.1653|3.92|-1292.139616|633.92|1093.32|240.03|0.39241|-1291.873941|0.0747|-0.1624799999999999|4.3767|-0.20701|0.03937634|-1291.929428|6.1996|7.5528
3d_a32|1|1|1|0.0|7.765993078999999|0|0.609420786|0.0|0.0181036519999999|-0.006420365|5.733341277|0.041161616|-0.269655316|-0.113314811|3|3|0.002004382|-0.1131110759999999|-0.1395294259999999|0|0.8444218509999999|0.90169022|0.77923808|0.892845502|-0.06869526|-0.093187219|-37.19367587|-50.45435743|0.107154498|58.01666174|-27.31750365|4.22710649|0.0|0.720540286|-1.118246623|-20.13777259|-15.52441767|45.000975700000005|2213.978384|-605.4522892000001|1855.167124|0.2794597139999999|6.15119195|10.75032687|151.30787800000002|21.54552351|0.0160633|840.275417|421.3548777|8.697152881000001|1.0|1.0|1.0|3.34|3.11|0.24|19.0|-7.29|6.97|5.07|110.94|1.94|1.0|97.86|0.0|-6.55|3.0|340.47|1.0|4.32|7.36e-06|0.00251|4.5|5.13e-08|1.75e-05|-0.05482|3.5105|3.42|-1672.758552|569.29|959.11|353.18|0.7035100000000001|-1672.585902|0.5031|-0.14189|3.2094|-0.19671|0.02457348|-1672.638515|5.1728|8.0915
9g_a40|0|0|0|0.0|7.515889085|0|0.604992427|1.849105962|-0.058811055|-0.0054957819999999|5.4161004020000005|0.043730159|-0.225327061|0.139758613|2|2|0.0115573539999999|0.133954053|-0.062672355|0|0.764275277|0.821935848|0.665414608|0.90454157|-0.063539055|-0.079033043|-33.47455057|-41.63731423|0.09545843|50.29077056|-21.93596333|5.930596229|64.08637519|0.740240206|-1.185495647|-17.63553984|-16.43578193|44.73159432|2169.234651|-624.5597134|349.4421673|0.259759794|8.180261533|15.62271835|136.8503571|22.20330888|0.018087202|843.7257374|384.6422631|9.528957565|1.0|1.0|1.0|2.8|1.78|0.06|22.0|-6.43|2.91|2.93|72.28|0.64|0.0|87.53|0.0|-2.49|4.0|302.33|0.0|1.93|0.0008179999999999|247.0|1.37|3.720000000000001e-07|0.000113|-0.0624|3.0778|3.83|-1332.487689|559.04|923.42|402.84|0.70233|-1332.31775|0.3563|-0.12765|3.4787|-0.19005|0.01134289|-1332.369643|5063.0|5.45
12p_a36|1|0|0|0.0|7.412764017000001|2|1.297044387|0.0|-0.0494658159999999|-0.008017607|5.351858133|0.042804233|-0.432950771|-0.084846674|1|1|-0.000673716|0.2461794139999999|-0.217394466|1|0.828371596|0.8839272779999999|0.698414933|0.748438833|-0.082569108|-0.108380023|-51.98017377|-68.22905781|0.251561167|158.3666517|-42.95260501|8.006403882999999|0.0|0.759126153|-1.950840419|-32.72335782|-24.56246081|64.698131|2774.926334|-1228.123041|2308.958924|0.240873847|7.546742977|14.3885803|151.63860559999998|32.35623052|0.019344052|1617.811526|595.8790650000001|12.17776516|0.0|1.0|0.0|4.72|0.0|0.14|17.0|-6.86|3.13|2.44|69.2|2.4|1.0|123.71|0.0|-3.89|5.0|399.42|0.0|2.15|6.96e-05|0.0278|2.78|1.4e-07|5.58e-05|-0.0552299999999999|5.3413|3.41|-1332.182868|660.71|1113.05|232.12|0.30159|-1331.947748|0.1841|-0.15608|4.8805|-0.21131|0.03396697|-1332.006106|6.7199|8.0458
12i _a30|0|0|0|0.0|7.412764017000001|2|0.604984133|0.0|0.04580336|-0.00691453|5.351858133|0.043848238|-0.366470081|0.0109710489999999|1|1|0.003603419|-0.172434349|-0.090173435|1|0.831176513|0.888213143|0.7463962120000001|0.8434291340000001|-0.076575246|-0.096489393|-50.00086637|-63.00408424|0.156570866|102.235113|-41.13938837|6.740110893|0.0|0.806299097|-1.833298476|-32.64875738|-24.43015511|60.32320054|2860.704198|-1197.077601|2280.31966|0.193700903|8.097008872|15.56818082|126.4796844|30.29912252|0.014680721|1484.657003|652.8825454|9.585980094|0.0|1.0|0.0|4.62|0.0|0.14|17.0|-7.22|4.47|3.27|81.65|3.31|2.0|132.29|0.0|-5.93|4.0|432.93|1.0|3.11|3.61e-06|0.00156|4.49|6.03e-08|2.61e-05|-0.05465|5.0358|4.45|-2035.373964|691.59|1167.27|246.2|0.43157|-2035.141693|0.1577|-0.14945|2.5397|-0.2041|0.03436093|-2035.203042|3.0033|7.8013
12y_a36|1|0|0|0.0|7.412764017000001|2|1.29704385|0.0|-0.061103469|-0.00707164|5.351858133|0.041767677|-0.410155116|-0.049845887|1|1|0.003724542|0.06152178|-0.1619981409999999|1|0.820226782|0.873588247|0.856135378|0.83704133|-0.076585128|-0.098532865|-51.48548385|-66.24017399|0.16295867|109.55137340000002|-44.53093547|8.769742642|14.40618351|0.755735734|-1.970657299|-34.61187706|-24.53339777|64.53055627|2793.629988|-1324.80348|2304.463084|0.244264266|7.589386902|14.80236899|164.2102614|32.46293206|0.01873364|1752.9983309999998|698.847203|12.59396622|0.0|1.0|0.0|4.88|0.0|0.12|17.0|-7.01|3.62|2.42|69.2|2.38|1.0|133.84|0.0|-4.58|4.0|407.47|0.0|2.37|2.82e-05|0.0115|3.45|9.66e-08|3.94e-05|-0.05002|3.8794|3.83|-1310.350902|702.38|1183.75|319.6|0.66796|-1310.077567|0.4358|-0.15671|6.1376|-0.20673|0.03583863|-1310.137888|8249.0|7.9208
8_a1 (SB-202620)|1|0|0|0.0|6.86171134|0|1.4323973840000002|0.0|0.106916453|-0.013785521|4.727387819|0.037578348|-0.606562911|-0.1402198369999999|1|1|-0.0106277489999999|-0.095271547|-0.042643966|1|0.743088715|0.805476065|0.658433571|0.648967503|-0.117682533|-0.105271458|-66.76765693|-59.72618401|0.351032497|199.1596945|-33.88588996|4.997944864|64.70432539|0.7742395870000001|-1.684343335|-37.88089785|-23.30777912|75.57687443|2431.842132|-955.6189441|1736.664204|0.225760413|7.432247389|13.67402758|128.0860757|30.104091200000003|0.019645498|1234.267739|433.2550452|11.1459518|1.0|1.0|0.0|2.74|2.21|0.0|23.0|-8.02|4.86|5.06|78.87|2.78|2.0|99.61|0.0|-4.94|5.0|359.35|1.0|3.7|1.98e-05|0.00713|3.6|9.53e-09|3.42e-06|-0.0736899999999999|3.4052|5.32|-1223.279021|586.27|977.87|364.11|0.7026600000000001|-1222.9606720000002|0.5339|-0.13683|3.4563|-0.2105199999999999|0.16177304|-1223.014114|5.5005|6.3979
18_a20|1|0|0|0.0|6.842683282|0|1.400923654|0.0|0.1160337319999999|-0.008841844|4.727387819|0.0396875|-0.5039851160000001|-0.011236836|1|1|-0.004071701|0.268927191|0.003282792|2|0.7602869659999999|0.8162774979999999|0.778639593|0.76136176|-0.0927760219999999|-0.095227339|-61.73239771|-63.36348363|0.23863824|158.7879106|-42.1615378|4.787695004|82.70867776|0.8109110409999999|-1.904546783|-41.07622672|-23.91074854|68.92770059|2809.844943|-1267.269673|1822.210286|0.1890889589999999|8.011174137000001|15.51556677|125.81822920000002|29.4862782|0.013457694|1562.772745|712.1606951|8.954638548|1.0|1.0|1.0|3.48|2.76|0.08|27.0|-10.0|5.54|4.69|97.55|2.06|2.0|125.07|0.0|-5.59|4.0|419.48|1.0|3.78|6.91e-06|0.0029|3.85|9.93e-11|4.17e-08|-0.05604|5.9778|5.35|-1352.364724|703.24|1204.88|207.41|0.31154|-1352.073755|0.2011|-0.14685|5.3978|-0.20289|0.03787435|-1352.135304|8.0505|7.4685
9b_a31|1|0|0|0.0|7.765993078999999|1|0.610136326|0.0|0.010411229|-0.0141390689999999|5.733341277|0.03995614|-0.706953442|0.014628521|2|2|-0.001981487|-0.075191042|-0.2345186269999999|0|0.852813666|0.899394425|0.77051712|0.669120552|-0.103937658|-0.131125311|-63.73317225|-80.40427495|0.330879448|202.8908225|-49.30281875|13.00794571|552.0968813|0.689175183|-1.835754351|-39.08032306|-23.95020956|84.94685678|2534.356888|-1125.659849|1711.969694|0.310824817|8.097516252|15.2652837|190.5935925|34.75199071|0.025089192|1633.343563|524.0230338|15.38435497|1.0|1.0|1.0|3.58|2.76|0.32|16.0|-6.84|5.26|3.5|117.37|0.86|1.0|103.36|0.0|-4.76|5.0|384.45|1.0|3.0|0.000137|0.0527|2.64|1.44e-07|5.520000000000001e-05|-0.0422899999999999|5.5119|4.69|-1578.839267|663.06|1091.21|224.94|0.41622|-1578.604164|0.2627|-0.15907|5.2851|-0.2013599999999999|0.03769117|-1578.665571|6.8028|7.2007
40_a47|0|1|1|0.0|6.823286122000001|0|1.420389717|1.715145925|-0.246203395|-0.004181351|4.727387819|0.041396825|-0.179798097|-0.038143308|1|1|0.003634698|-0.130213023|-0.338113214|3|0.836942961|0.900790582|0.607650682|0.812233678|-0.060416547|-0.083237511|-32.5926343|-44.90375373|0.1877663219999999|101.2934265|-24.22401965|5.959674083|0.0|0.573656733|-1.082087641|-17.58259718|-14.59371996|43.64000551|2313.85811|-583.7487984|868.5333132000001|0.426343267|7.042383142|12.98034048|229.9974239|25.43981292|0.029785575|1017.592517|388.178924|16.06828586|1.0|1.0|1.0|3.07|2.91|0.11|21.0|-7.08|2.96|4.04|68.52|1.52|0.0|94.28|0.0|-3.26|5.0|334.35|1.0|2.72|0.000192|0.0643|2.19|8.339999999999999e-08|2.79e-05|-0.05086|4.0176|2.06|-1123.174467|571.5|947.27|308.6|0.67615|-1122.9968210000002|0.2612|-0.15231|4.7542|-0.20317|0.02983032|-1123.049869|6.5995|8.4
