molecula|SddssS|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|AATSC1s|JGI4|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|CYP2D6 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
8j_a46|0.0|0|0.0|0.214753401|1|7.727094485|1|1.160371125|-0.008523199|0.043903904|-0.081366324|0.011852046|-0.174853546|10.96391738|1|1|0.0108603019999999|-0.204674804|-0.229679821|0.645146311|0.789844634|-0.223292257|-0.074207717|0|-0.054707287|-0.068971544|0.308052557|0.008672342|-29.38737046|-37.04976799|4.658562801|7.723448142|35.10521457|-0.02566383|-19.90219786|2.5024620580000003|-1.103544698|-15.7861518|41.80044861|-13.78596018|34.04593326|0.427798746|-592.7962878|0.177887481|9.817783823|0.747636856|4759.107832|16.76894569|0.008843828|-346.061389|453.1959065|0.0|1.0|0.0|0.32|17.0|-7.26|43.6|2.62|1.0|1.0|-4.59|24.0|0.0|1.0|1.0|3.82|1.47e-05|0.0|0.0|5.46e-08|1.85e-05|-0.04068|4.9636|3.78|-1414.53151|576.48|249.79|0.50703|0.70121|-1414.349865|0.1427|-0.18531|5.2361|0.02408052|-1414.402087|6.4463|1228.0|5.9108
2_a47|0.0|0|0.0|0.0|0|0.0|0|1.381899691|-0.13117284|0.027058824|-0.3581612489999999|-0.007479445|0.107297513|10.93671092|0|0|-0.006079384|-0.007299676|-0.444853768|0.916092248|0.671819147|0.115527282|-0.0253134039999999|1|-0.083455669|-0.095655954|0.482748996|0.008511123|-41.57671973|-47.65477123|4.240150185|99.5619537|76.06154148|-0.036790752|-23.74109633|2.112397382|-1.4348393119999998|-20.71307621|55.81329383|-18.32875817|45.81686991|0.433425706|-714.8215685|0.215021885|9.369924133|0.764993595|4559.060763|23.34938746|0.016376351|-283.9460863|392.6099255|1.0|1.0|2.0|0.0|22.0|-7.82|58.04|2.39|1.0|1.0|-5.46|24.0|0.0|1.0|1.0|3.58|7.75e-06|0.0|0.0|1.51e-08|4.73e-06|-0.05285|3.7181|3.49|-1010.540464|536.13|333.46|0.69102|0.69102|-1010.364507|0.2143|-0.15446|2.1266|0.03544055|-1010.412694|3.1004|631.0|6.2
12aj_a36|0.0|0|3.482902101|0.0|0|7.412764017000001|2|1.29704406|-0.045035034|0.043848238|-0.402433117|0.002951176|-0.103202936|10.95354213|1|1|0.003962098|0.1087087|-0.43462267|0.90414347|0.812278823|0.091113865|-0.072770961|0|-0.073002742|-0.10279655|0.251263868|0.018305468|-46.79363201|-65.89100364|11.73352271|82.34300699|110.89910559999998|-0.0368515929999999|-42.23511741|7.521007149|-1.953134451|-29.99399664|76.5855549|-23.62130319|58.52715472|0.47532973|-1251.929069|0.22507266|15.35536375|0.905958957|5763.333098|30.48195872|0.016684569|-352.4483722|662.0530478999999|0.0|1.0|2.0|0.17|17.0|-6.97|69.2|2.24|1.0|1.0|-4.16|30.0|0.0|1.0|0.0|2.14|5.05e-05|0.0|0.0|1.08e-07|4.270000000000001e-05|-0.05275|5.2301|3.48|-1272.27339|682.84|237.06|0.4112|0.70423|-1271.9998859999998|0.0082|-0.14818|5.8554|0.03225532|-1272.060325|7.8393|17.0|7.7696
12d_a40|0.0|0|0.0|0.0|1|7.515889085|0|0.60499064|-0.107711573|0.043185185|-0.288158151|-0.000134504|0.087954209|10.31197256|2|2|-0.002126898|0.3683138529999999|-0.552689736|0.809398262|0.7769829840000001|-0.0065648919999999|-0.254735308|1|-0.095675903|-0.091630294|0.0913543|0.01171131|-50.68561427|-48.54239742|6.204226377|207.39648|84.53363343|-0.038873458|-25.71599691|3.286773518|-1.282824111|-26.85139526|55.13932669|-20.59374436|56.88984065|0.470893531|-679.5935638999999|0.155716451|14.88744155|0.8899787840000001|5101.479206|24.39197636|0.01245259|-364.7778083|350.9435025|0.0|1.0|1.0|0.0|20.0|-6.84|84.45|3.76|2.0|1.0|-6.25|23.0|0.0|0.0|1.0|4.21|2.61e-06|0.0|0.0|1.44e-07|5.2e-05|-0.07765|4.3959|4.14|-2153.197255|552.57|282.05|0.55983|0.70435|-2153.071733|115.0|-0.11604|1.2683|0.0164339|-2153.123107|1.9961|19.0|7.7212
14ab_a23|0.0|1|0.0|0.0|2|7.423568444|0|1.197962873|-0.028841865|0.04314059|-0.287365522|0.013012022|0.010803172|10.313217300000002|2|2|0.012103325|0.038241896|-0.449699921|0.725358161|0.75434493|-0.085303124|-0.05990912|1|-0.051974369|-0.076243539|0.20155691|0.017974612|-35.59605095|-52.21744789|12.31039874|40.23721489|51.89838547|-0.031648261|-35.76253038|8.431109267|-1.677357849|-24.37891748|61.60741239|-21.67516705|47.90644969|0.4695727329999999|-1148.783854|0.202162933|14.76864227|0.885272615|6654.62616|27.16741043|0.013710439|-407.9635285|733.3886349999999|0.0|1.0|1.0|0.12|26.0|-8.16|105.02|3.45|2.0|1.0|-6.23|32.0|0.0|0.0|0.0|4.12|2.81e-06|0.0|0.0|6.9799999999999995e-09|3.07e-06|-0.07146|3.6587|4.1|-1708.563399|719.66|338.88|0.66532|0.66532|-1708.277193|0.3893|-0.14778|5.9624|0.02013145|-1708.3414239999995|8.4721|4.0|8.4012
12ay_a36|0.0|0|3.50559949|0.0|0|7.412764017000001|2|1.2970434|-0.043778345|0.043383838|-0.404030255|0.003676818|0.012286423|10.9463292|1|1|0.0045625|0.1689021819999999|-0.438622276|0.902377067|0.78699829|-0.109624825|-0.111814717|0|-0.074251203|-0.098945129|0.419950383|0.018016934|-48.12939044|-64.13591431|11.67851857|126.7858133|110.578217|-0.035337546|-41.57269314|7.569978132|-1.978902589|-31.1973159|74.29343346|-22.90568368|59.80790901|0.4530143439999999|-1282.718286|0.221835195|11.82248632|0.828201506|6204.216872999999|29.43551742|0.015670425|-360.6110621|729.1873176|0.0|1.0|2.0|0.21|17.0|-7.34|69.2|2.45|1.0|1.0|-4.54|31.0|0.0|1.0|1.0|2.42|2.5e-05|0.0|0.0|4.55e-08|1.86e-05|-0.0526|3.9348|3.79|-1311.576473|674.33|315.09|0.6727|0.6914|-1311.282556|0.1464|-0.15056|6.2579|0.02880431|-1311.343228|9.1844|18.0|7.7447
15b_a50|0.0|1|0.0|0.0|2|7.934155233999999|1|1.353059441|-0.05484142|0.032843915|-0.22696498|0.004641091|-0.06083723|10.94501702|2|2|0.005203263|-0.17223348|-0.310946931|0.79846758|0.8259784720000001|0.000882622|-0.216393362|1|-0.082576068|-0.080700307|0.447220762|0.020083792|-47.20879251|-46.13641893|11.48191704|274.85729960000003|102.3838797|-0.028069672|-26.37622116|6.564219549|-1.291204916|-26.98929785|60.03646705|-16.04745006|58.69070955|0.478989976|-738.1827030000001|0.3609826579999999|13.22671714|0.919348867|5205.2135960000005|25.11269883|0.024313507|-158.95261259999998|510.3677388|1.0|1.0|1.0|0.19|20.0|-5.72|68.76|1.66|1.0|2.0|-3.18|27.0|0.0|1.0|1.0|2.37|0.000249|0.0|0.0|1.92e-06|0.000687|-0.0333399999999999|4.0561|2.08|-1160.4989460000002|613.37|305.67|0.65917|0.65917|-1160.275856|0.1796|-0.16737|6.9054|0.03528279|-1160.330621|9.3788|79.0|7.1024
13_a1|0.0|0|3.409865599|0.0|0|7.423568444|1|1.430073963|-0.144782061|0.036382114|-0.597786194|-0.008672236|-0.0594321759999999|10.94989555|1|1|-0.005924486|0.1769162319999999|-0.485427571|0.87703849|0.76714213|-0.051729721|-0.150485437|0|-0.111667908|-0.10668313|0.207843387|0.033737733|-64.94184903|-62.04288975|19.62059449|148.7311076|186.4137189|-0.040302516|-36.08180773|11.41059871|-1.813613202|-37.76773325|77.55889436|-23.43842502|84.56244352|0.477212829|-1054.729126|0.291737016|14.33466671|0.912824292|5456.353212|33.09282789|0.026679865|-242.2358135|505.2124255|1.0|1.0|2.0|0.09|23.0|-7.94|80.26|1.74|1.0|1.0|-4.29|28.0|0.0|0.0|1.0|3.23|4.58e-05|0.0|0.0|1.14e-08|4.24e-06|-0.04962|4.0783|3.17|-1238.395767|613.52|304.01|0.65363|0.69782|-1238.174491|0.3535|-0.13921|2.7595|0.0284695999999999|-1238.22919|3.9446|0.26|6585.0
12w_a30|0.0|0|0.0|0.0|0|7.412764017000001|2|0.604983445|-0.0316452179999999|0.044197531|-0.372029919|0.002431329|0.028815747|10.31162873|1|1|0.001805829|-0.173643543|-0.477636454|0.8149999040000001|0.83236194|-0.032835151|-0.080971844|0|-0.076611264|-0.096032733|0.4274948739999999|0.015446225|-52.53307388|-65.85056003|10.59162334|82.06520565|101.3366249|-0.037237182|-45.15435649|7.262777048999999|-1.824621925|-36.02242934|75.77366969|-25.53389062|63.12469722|0.451478593|-1251.160641|0.192202301|14.70077638|0.8230829059999999|6888.291006999999|31.60926388|0.014471302|-422.1196298|685.6665849999999|0.0|1.0|1.0|0.14|17.0|-7.8|81.65|3.79|2.0|1.0|-6.58|31.0|0.0|0.0|1.0|3.59|9.14e-07|0.0|0.0|1.58e-08|7.39e-06|-0.05682|5.0632|5.08|-2494.966575|716.83|244.87|0.31353|0.68423|-2494.743475|0.1614|-0.15073|2.4229|0.0345723|-2494.807027|3.0068|15.0|7821.0
9_a10|0.0|0|0.0|0.0|1|7.535296702|1|1.377786667|-0.032199235|0.03590535|-0.285441469|0.007316125|-0.1189611519999999|10.92721632|1|1|0.007847998|-0.079150788|-0.362724972|0.7141481129999999|0.791322552|-0.000865755|-0.169389445|1|-0.057690053|-0.084348428|0.6816795959999999|0.013842683|-40.90513782|-59.80726117|9.815155744|86.66800495|92.56988349|-0.028592687|-42.40634438|6.959437141|-1.686968561|-29.00379197|71.07688871|-20.27364785|50.72029356|0.45291714|-1196.145223|0.26870822|16.02210901|0.827876677|6606.83687|27.72306267|0.015893979|-327.9949188|816.3832816|1.0|1.0|1.0|0.23|21.0|-7.93|75.94|1.81|1.0|1.0|-4.23|33.0|0.0|1.0|0.0|3.07|3.64e-05|0.0|0.0|1.17e-08|5.14e-06|-0.06118|5.5668|4.51|-1410.041793|740.24|222.72|0.2242|0.68962|-1409.69933|0.0041|-0.15045|2.9927|0.03583924|-1409.764013|4942.0|193.0|6.7144
22_a10|0.0|0|0.0|0.0|1|7.535296702|1|1.343837143|-0.017163935|0.036101695|-0.332316729|0.008350227|0.01204992|10.92966136|1|1|0.008903905|-0.042831367|-0.356699217|0.670763832|0.747363443|-0.02603707|-0.033474297|1|-0.053881447|-0.0649866779999999|0.775071808|0.016720696|-41.96631248|-50.61577509|13.023146|75.58376652|101.3847763|-0.022372463|-39.42279832|10.14325785|-1.3647202319999998|-32.68604442|71.13124588|-17.4251029|54.98945848|0.422182297|-1062.931277|0.435676666|15.30289992|0.730649641|7414.102179|30.87787063|0.026340252|-100.1982412|916.8601445|1.0|1.0|0.0|0.17|27.0|-9.37|73.14|2.8|2.0|1.0|-5.34|36.0|0.0|0.0|0.0|4.26|2.95e-06|0.0|0.0|4.27e-10|2.03e-07|-0.05712|4.8251|5.65|-1544.237634|770.92|256.95|0.4483899999999999|0.6834100000000001|-1543.893507|0.1922|-0.16095|4.8409|0.03366599|-1543.959333|6.5841|1.1|5.9586
5f_a40|0.0|0|0.0|0.0|1|8.149890544|1|0.60491326|-0.0468504759999999|0.042936508|-0.293556526|0.000663516|0.166865076|10.31198329|2|2|0.000706205|-0.155235986|-0.4644854879999999|0.7039183109999999|0.811339477|-0.465573352|0.095322868|1|-0.113521559|-0.10969397|0.0528268609999999|0.020236763|-52.44868801|-50.68028366|9.349692674|222.1847349|119.4441339|-0.041135239|-23.41506245|4.319700326|-1.316327637|-24.23209217|57.61052946|-19.00510637|61.79838068|0.484099946|-608.163404|0.185606315|11.20493646|0.938359946|3963.475837|23.33651|0.015000038|-290.5093357|269.0442248|0.0|1.0|1.0|0.21|14.0|-3.69|101.52|1.29|0.0|3.0|-3.97|20.0|0.0|0.0|1.0|2.23|0.000491|0.0|0.0|0.000207|0.0587|-0.06227|3.8036|3.5|-1232.983157|487.57|325.97|0.56507|0.69727|-1232.851443|0.0415|-0.13057|5.5961|0.02389588|-1232.898044|7.6183|112.0|6.9508
12aq_a36|0.0|0|3.427017327|0.0|0|7.412764017000001|2|1.297043497|-0.135770278|0.041728395|-0.674732412|-0.006653538|-0.1031859869999999|10.95447882|1|1|-0.004569485|0.131910912|-0.5356623070000001|0.892815402|0.839953955|-0.0606936879999999|-0.047695595|0|-0.1093001919999999|-0.122078233|0.162384515|0.021389734|-73.0277723|-81.56528598|14.29132551|86.6958382|212.8220574|-0.042953452|-54.49698711|9.548598682|-2.319486422|-48.79273723|95.39676382|-28.69889692|87.31909781|0.426481765|-1549.740434|0.238023252|14.98931431|0.743623723|6296.75201|37.66374367|0.020701483|-350.0740123|689.2886595|0.0|1.0|3.0|0.13|17.0|-6.14|112.29|1.28|1.0|1.0|-3.52|32.0|0.0|0.0|0.0|1.15|0.000359|0.0|0.0|7.19e-07|0.000305|-0.06059|3.9049|3.88|-1401.669694|703.04|317.51|0.6933199999999999|0.7058300000000001|-1401.391057|0.0059|-0.13908|6.7649|0.03228003|-1401.452487|8671.0|55.0|7.2596
13h_a6|0.0|0|3.464247528|0.0|0|6.842683282|0|1.424099498|0.004767264|0.04393617|-0.3839567379999999|-0.002407131|-0.01698365|10.95053423|1|1|-0.000644109|0.105918119|-0.468842137|0.836982172|0.780222427|-0.0256002129999999|-0.164411111|1|-0.074151997|-0.091977068|0.300800177|0.017441348|-51.85624128|-64.32173453|12.1971464|77.20799814|92.37313621|-0.032362302|-44.98170701|8.529752344|-1.747564296|-36.26429338|76.78735663|-22.63172141|64.05338768|0.461667017|-1222.112956|0.263081412|16.928040300000003|0.8575863490000001|6302.785260000001|30.71129129|0.017825256|-331.36552|744.1359788|1.0|1.0|2.0|0.12|27.0|-10.57|103.17|1.13|2.0|0.0|-5.56|33.0|0.0|0.0|1.0|3.61|8.8e-06|0.0|0.0|2.67e-11|1.15e-08|-0.07435|4.8701|3.83|-1386.613707|738.61|254.58|0.50716|0.69001|-1386.302668|0.2121|-0.14097|7.2872|0.04469058|-1386.3651|10.0322|47.0|7.3279
