molecula|SddssS|NaaNH|n9FaHRing|SRW09|nAHRing|nARing|SaasN|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|nFaHRing|FNSA3|PBF|FPSA3|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50
LY364947_a10|0.0|1|0|6.605297921|0|0|0.0|-0.00235945|-0.00390904|2|0.0273958329999999|0.0938628109999999|2.084955541|0.007575|0.010202602|-0.006198347|1|1|0.1625645369999999|0.04209715|-0.204644982|2|0.706034038|0.711607778|0.7792035190000001|1|-0.076999385|0.449473391|0.009678082|-34.01613475|4.275500834|144.7228349|0.156895451|69.31194102|-0.029665114|1.88879448|0.0|0.7234846559999999|-15.02735938|41.53157099|-13.10520229|38.29163558|0.486715511|-432.4716757000001|839.5356408|-5.78950507|9.161732895|0.948237326|3903.496845|-191.05366730000003|0.018707677|-197.4583104|597.7620559999999|287.99188260000005|8.264519015|1.0|0.0|2.46|1.88|0.0|21.0|-7.2|3.97|3.69|1.74|0.0|1.0|2.0|3.0|-6.02|1.0|-3.86|0.0789|0.000137|0.0374|0.0|0.0|1.7199999999999998e-05||||||||||||59.0|7.2291
14m_a23|0.0|0|1|7.423568444|0|0|3.1160758160000004|-0.008929306|-0.272389934|2|0.0431917209999999|0.028217372|0.665608656|0.001027627|-0.034213923|-0.050626415|2|2|0.0879380709999999|-0.07256543|-0.527662006|2|0.560094237|0.798384929|0.8581143859999999|1|-0.072795329|0.268552591|0.017992415|-50.63012925|12.51396625|47.23604193|0.0741882|51.59888942|-0.039285786|8.703631619|0.0|0.7958339090000001|-35.21393496|74.61692699|-27.32379205|63.1440955|0.476833897|-1366.189602|2263.262957|-19.00406438|16.42895711|0.911438824|7588.823133|-950.2032192|0.017997351|-411.5129154|1716.6767920000002|658.8108151|12.51739962|0.0|1.0|3.51|3.17|0.09|26.0|-8.23|4.42|6.19|3.82|1.0|1.0|6.0|7.0|-6.06|0.0|-5.79|0.000198|1.61e-06|0.000773|0.0|0.0|2.85e-06|-0.08347|3.6774|-1966.968005|1209.21|337.15|0.3335|572.31|0.65552|0.65552|6.1522|0.02296475|3.0|8.5171
12e_a30|0.0|0|0|7.412764017000001|2|2|0.0|-0.0077937519999999|-0.029595542|2|0.041767677|-0.010682095|0.0|0.0043261129999999|0.005418617|-0.055954785|1|1|-0.018475151|-0.089279071|-0.417089226|1|0.838579475|0.8246767140000001|0.876441789|0|-0.07914783|0.407218612|0.024254701|-52.50202674|16.08914569|106.2790684|0.183296295|121.5880081|-0.035153347|10.6725953|0.0|0.7071208529999999|-34.82676424|80.10232244|-23.31866823|68.59117243|0.46715936|-1235.889416|2392.685958|-15.46823639|15.14403079|0.8767337279999999|6421.289402|-819.8165288|0.022696477|-274.7836441|1747.776792|704.0353382000001|15.05551106|0.0|1.0|4.72|0.0|0.17|17.0|-6.74|3.89|2.63|2.51|0.0|1.0|6.0|5.0|-6.19|0.0|-4.93|0.00154|1.19e-05|0.0050799999999999|0.0|0.0|7.87e-05|-0.05044|5.0412|-1690.3021629999998|1201.05|356.82|0.2055|562.76|0.3304|0.68605|5551.0|0.03344515|11.0|7.9431
12g_a40|0.0|0|0|7.515889085|0|0|1.687211672|-0.01011728|-0.129331216|0|0.036630824|0.167050952|0.726175674|-0.001011175|0.075327376|-0.211162861|2|2|0.280045216|0.063401514|-0.512657141|0|0.777835705|0.769016155|0.8396782220000001|1|-0.0951493559999999|0.289122732|0.012706769|-49.94706785|6.670206427999999|130.7472028|0.129798543|68.1355805|-0.0435406|3.501413627|0.0|0.852031227|-26.21888031|59.29860462|-22.85591194|56.61727428|0.465725912|-731.3891821000001|681.6778419|-11.99782981|14.39849078|0.871698484|5211.675486|-383.9305539|0.013442698|-369.5858437|858.4065454|335.7078145|7.056520179|0.0|1.0|3.24|3.2|0.0|20.0|-6.63|4.83|5.14|3.76|0.0|1.0|2.0|3.0|-4.91|1.0|-5.79|0.000124|1.62e-06|0.000586|0.0|0.0|8.57e-05|-0.07424|4.0224|-2173.044757|896.63|392.64|0.3539|429.31|0.67055|0.6988|1.9175|0.02230594|724.0|6.1403
7l_a46|0.0|0|0|7.727094485|1|1|2.1525548|-0.00090473|0.017668261|2|0.04006734|-0.203375108|0.0|0.013150047|-0.074511843|0.050638298|1|1|-0.331246137|-0.087877164|-0.1082221709999999|2|0.659888413|0.7746144629999999|0.825629852|0|-0.0565894359999999|0.253138137|0.011594057|-27.30136533|5.5935102720000005|8.13531199|0.092851886|44.79605077|-0.022013621|2.698568452|51.39110437|0.67467081|-13.17144326|38.22273917|-10.620390400000002|32.8948756|0.46327253|-424.8156159|1246.417766|-5.1237682730000005|9.825660656|0.863142947|4046.614178|-204.9507309|0.016330867|-168.5385796|629.6635476|375.721552|7.878766604|1.0|0.0|3.04|2.64|0.28|17.0|-6.29|3.59|3.59|1.89|0.0|1.0|2.0|3.0|-6.22|1.0|-3.72|0.1939999999999999|0.0001889999999999|0.0548|0.0|0.0|0.000151|-0.03324|4.5464|-915.6081232|879.87|272.71|0.2024|414.82|0.68834|0.68834|3.3119|0.025086919|1.94|5.7122
12a_a32|0.0|1|1|7.765993078999999|0|0|0.0|-0.009460484|-0.057200812|0|0.036711712|-0.0134169989999999|2.136609567|-0.003484915|-0.031249617|-0.074344282|3|3|-0.024155151|-0.0852122769999999|-0.583507277|0|0.788133615|0.845443342|0.8966299409999999|1|-0.085324121|0.288267255|0.016535497|-53.20970382|10.31184223|111.9735444|0.211297677|131.7691491|-0.0308471429999999|6.430656017|62.28768050000001|0.667706375|-33.18255791|81.41372467|-19.23685026|63.52154605|0.456641145|-884.8951120999999|3030.946307|-11.99645651|13.03685125|0.840404348|5656.0082|-551.8369996|0.021399091|-209.1696096|1325.275819|557.1050635|13.34486989|1.0|1.0|3.45|2.85|0.26|19.0|-7.65|6.49|4.19|1.1|0.0|1.0|7.0|4.0|-6.32|1.0|-4.5|0.000389|3.17e-05|0.0126|0.0|0.0|8.86e-06|-0.05222|3576.0|-1880.771042|1114.3|346.71|0.2908|548.66|0.7025600000000001|0.7025600000000001|3.0517|0.03682626|25.0|7.6021
14f_a23|0.0|0|1|7.423568444|0|0|3.366063739|-0.006791105|-0.027380305|2|0.04255787|0.056215377|0.745818086|0.010561248|-0.0555907109999999|-0.041351617|2|2|0.101910723|-0.110069159|-0.399688849|2|0.756252127|0.796412133|0.854683662|1|-0.059927056|0.2096108239999999|0.027134452|-40.51498423|18.34483401|96.47955427|0.105837608|71.55380685|-0.031450478|12.40242234|96.60179161|0.665778294|-27.39103254|74.08536976|-21.26277654|58.85981824|0.478733036|-1084.401604|2322.5224120000003|-14.37516058|15.58565565|0.918402793|6768.918745|-733.1331894|0.025162423|-224.1560124|1628.77284|683.7405759|17.01160115|0.0|1.0|3.57|3.61|0.09|26.0|-7.51|3.42|4.03|2.72|1.0|1.0|6.0|5.0|-6.47|0.0|-5.02|0.0010199999999999|9.57e-06|0.0042299999999999|0.0|0.0|1.3699999999999998e-05|-0.07163|5.8184|-1744.452086|1210.19|346.78|0.2462|572.35|0.60917|0.6733399999999999|6.3534|0.02255331|2.0|8.6459
12e_a40|0.0|0|0|7.515889085|0|0|1.6315143930000002|-0.015461694|-0.262526337|0|0.04020202|0.174870826|0.665270062|-0.013162335|0.130516751|-0.192362496|2|2|0.292184471|0.103406816|-0.520457262|0|0.889386453|0.788800541|0.858770467|1|-0.132226452|0.284429447|0.015096495|-71.78145688|8.195398107|206.0119599|0.220121216|119.4966772|-0.048387621|4.4490161310000005|0.0|0.790818822|-38.96782748|78.14505956|-26.26807189|79.97685498|0.491465612|-866.8463724999999|694.2415706|-14.26008524|15.75963228|0.966435355|5478.52313|-470.5828129|0.021118537|-315.75223450000004|1096.13776|348.3847394|11.46456937|0.0|1.0|3.27|3.05|0.0|20.0|-6.04|4.34|4.84|2.93|0.0|1.0|2.0|4.0|-5.26|1.0|-5.64|0.000113|2.27e-06|0.00086|0.0|0.0|0.000346|-0.07296|4.3236|-2248.276958|918.38|409.82|0.4494|445.12|0.6826|0.70157|2.5946|0.03272669|1.17|5.9318
47p_a18|0.0|0|0|7.03438793|1|1|0.0|-0.005394244|-0.04760181|0|0.037575758|0.025217016|0.0|0.00235332|-0.015960677|-0.049428094|0|0|0.037961877|-0.1736074389999999|-0.441700685|0|0.72025564|0.726294118|0.7611910209999999|0|-0.06909945|0.278332428|0.007989903|-51.14496913|5.913843751|10.25627035|0.1670454519999999|123.6411353|-0.030813794|4.377217987|48.48855261|0.818459442|-37.85569728|69.19354871|-22.80728054|57.05881288|0.488811071|-1528.087796|1367.4309119999998|-16.88114242|19.41290064|0.956223901|6726.61969|-1131.036542|0.01090303|-471.4248324|1867.029344|1011.163774|8.070036862|1.0|0.0|4.29|0.0|0.28|18.0|-9.03|3.65|3.34|3.13|1.0|1.0|9.0|3.0|-6.07|0.0|-5.27|0.000998|5.34e-06|0.0025|0.0|0.0|4.38e-07|-0.05628|3.2036|-1493.759811|1391.71|387.01|595.0|732.84|0.6937800000000001|0.6937800000000001|3.6452|0.02843634|64.0|7.1938
13e_a6|0.0|1|0|6.842683282|0|0|0.0|-0.006882528|-0.008507023|2|0.044021739|0.018376555|1.643912856|-0.003356527|0.0266218529999999|-0.037793156|1|1|0.032420935|-0.126749697|-0.462344944|2|0.841211811|0.765593573|0.827254552|1|-0.074242826|0.175643236|0.0183790889999999|-49.62570093|12.28502792|66.59852278|0.138323399|92.4587065|-0.032929004|8.211609879|0.0|0.722530518|-33.17101912|75.42629799|-22.01054293|61.91072885|0.4442079679999999|-1122.537689|3457.565879|-14.71237941|14.346067199999998|0.799234143|6147.8097210000005|-750.3313497|0.019543118|-297.4895642|1553.619759|676.2770877|13.06309302|1.0|1.0|3.51|2.79|0.08|27.0|-10.18|5.01|4.53|0.92|0.0|0.0|5.0|5.0|-6.52|1.0|-4.78|0.00323|1.65e-05|0.00688|0.0|0.0|2.75e-08|-0.07534|5.9885|-1347.297639|1202.5|381.78|0.8312|567.24|0.38609|0.7034199999999999|10.1884|0.03809808|12.0|7.9208
11_a33|0.0|1|1|7.686621335|0|0|0.0|-0.008708023|-0.039406316|0|0.034984568|0.055664124|1.979284901|-0.003303432|0.143981643|-0.008908194|3|3|0.105574347|-0.122478641|-0.393892466|0|0.8389087140000001|0.85401347|0.921896958|1|-0.070841241|0.229250542|0.033701864|-34.4118011|16.37099833|45.43139569|0.142712759|69.3240686|-0.030847481|7.95236684|0.0|0.552878386|-16.71585694|68.11455221|-14.98445481|50.78279943|0.4673066279999999|-509.4714637|979.349175|-7.278840251|9.837729137|0.8772525659999999|4880.001461|-247.4805685|0.035341374|-51.37234937|921.4892038|335.4799765|17.16740584|1.0|1.0|3.19|2.31|0.13|19.0|-6.23|5.77|4.13|0.89|0.0|1.0|3.0|4.0|-5.97|1.0|-4.38|0.00109|4.13e-05|0.0136|0.0|0.0|0.000194|-0.05806|3.5049|-1669.324638|858.89|353.74|0.5408|378.1|0.70381|0.70381|3.1406|0.02055276|5.0|8.3188
12h_a36|0.0|1|0|7.412764017000001|2|2|0.0|-0.0086750619999999|-0.041228471|2|0.039061728|0.059920602|0.0|0.00127667|-0.003014954|-0.051080247|1|1|0.100530266|-0.1430106119999999|-0.410826531|1|0.8913597320000001|0.820041835|0.87043328|0|-0.073572836|0.3726296|0.027905055|-48.17643878|18.27258858|82.11195464|0.180385475|118.1187282|-0.035734517|11.96512593|1.413982241|0.665254541|-31.5465515|87.85958486|-23.39942087|66.44902736|0.464544951|-1263.568727|2391.856014|-15.32224162|13.87400978|0.8675704009999999|6159.17335|-827.4010477|0.026971557|-216.42159590000003|1899.376328|679.7230552999999|17.66132225|0.0|0.0|4.8|0.0|0.17|17.0|-6.69|2.77|1.89|1.72|0.0|1.0|6.0|5.0|-6.93|0.0|-4.07|0.0464|8.499999999999999e-05|35.0|1.0|0.0|8.340000000000001e-05|-0.05013|5.1998|-1347.481013|1177.89|358.81|0.5756|535.67|0.34589|0.7014600000000001|6754.0|0.02925492|14.0|7.8539
1c_a5|0.0|1|0|6.605297921|0|0|0.0|-0.001983746|-0.006491037|2|0.0248765429999999|-0.080321049|0.0|0.008031558|-0.228971551|-0.058823529|1|1|-0.133677441|0.034752304|-0.20172074|2|0.71274658|0.7595197290000001|0.821309592|0|-0.068062282|0.436308619|0.008349498|-34.82350689|4.27195187|160.5407184|0.11368581|58.16640976|-0.0281385329999999|2.185709046|0.0|0.753027268|-17.81716094|43.86175561|-14.3968489|39.09545876|0.476413155|-575.8739559999999|873.709445|-7.366029352999999|11.580409800000002|0.909902834|4387.398857|-294.64117410000006|0.0153811389999999|-258.918642|764.7451566000001|409.0289917|7.869633359|1.0|0.0|2.78|2.09|0.05|23.0|-8.41|4.99|4.51|2.13|0.0|1.0|3.0|3.0|-5.77|1.0|-4.45|0.0174|3.5600000000000005e-05|0.0111|0.0|0.0|1.21e-06|-0.03965|4.8783|-990.6223073|929.31|274.99|271.0|410.52|0.4444899999999999|0.53838|1.7105|0.029157178|3981.0|5.4
