molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|SRW09|SaasN|MATS2c|AATSC1s|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|MATS1i|AATSC1i|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|RASA|FNSA3|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|FPSA1|GRAV|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribuition (max. transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50
16a_a23|0.0|0|1|0.0|0.0|7.423568444|3.411338761|-0.0147904689999999|-0.013055633|0.062601621|0.759926978|0.012426121|-0.088255625|10.31321796|-0.071458049|2|-0.181609054|-0.335065967|0.765869487|0.8323974470000001|0.154144584|0.7199622309999999|1|0.934837094|-0.041095401|0.021379172|-47.06687604|13.80568132|9.922436905|0.0651629059999999|42.07919382|-0.025724725|0.585920722|-1.311960953|-17.13669862|65.21027197|40.34319246|0.49525751|2924.629647|603.6746046|1801.957216|0.414079278|6552.801739|0.02809646|-110.9672657|668.3493171|18.14339594|1.0|0.0|0.0|0.0|1.0|3.94|0.0|0.14|20.0|-5.27|2.52|1.0|1.0|125.79|2.0|5.0|-4.58|31.0|4.0|-7.02|427.5|0.0|0.0|0.0|2.6e-05|0.0111|4.86e-05|0.0|0.0|0.0023|-0.0502|2.49|670.04|1172.0|763.49|0.96307|-1685.580443|-0.12645|-1685.6419010000002|18.4446|7.4037
14v_a23|0.0|0|1|0.0|-4.844615416|7.423568444|3.004639728|0.135774541|-0.299484129|0.055572317|0.636416435|-0.002390707|0.017156562|10.3132174|-0.015149431|2|-0.0962526|-0.2952674819999999|0.598213287|0.787538583|0.132882353|0.575188253|1|0.916605275|-0.067342061|0.019811827|-62.61276875|13.08518422|78.86310829|0.083394725|55.07999434|-0.042752869|0.788328659|-2.180396311|-29.37629463|76.42257099|57.56282152|0.457213347|3399.4261450000004|605.3933675|2679.111279|0.211671341|8458.789829000001|0.020908947|-380.8667976|676.4530574|13.80980223|0.0|0.0|1.0|1.0|1.0|3.62|3.46|0.09|26.0|-7.95|6.18|2.0|1.0|126.97|1.0|7.0|-6.89|35.0|8.0|-5.94|495.48|1.0|0.0|0.0|1.29e-07|6.38e-05|1e-06|0.0|0.0|5.57e-06|-0.07843|5.17|679.5|1206.02|335.64|0.6017100000000001|-2041.93452|-0.2308599999999999|-2041.998955|6.3758|8.4001
25c_a34|0.0|0|0|0.0|0.0|7.412764017000001|1.958290974|0.024837617|-0.047513652|-0.16034464|0.0|-0.002827527|-0.056443595|10.95957635|-0.041629027|1|-0.3609280379999999|-0.563411433|0.809687672|0.80135608|0.118901861|0.760055383|0|0.683231623|-0.088513496|0.043815478|-75.6298008|29.22363765|183.6812574|0.316768377|211.2752099|-0.031498055|0.537428437|-1.7008949569999998|-39.37521522|100.6665476|88.25954175|0.4356106729999999|2884.104654|455.6954382|2439.174137|0.4625715629999999|6306.980593|0.037538004|-49.9273377|648.0187526000001|25.03674677|0.0|1.0|1.0|1.0|1.0|3.64|3.17|0.32|17.0|-5.71|1.98|1.0|0.0|116.0|2.0|6.0|-2.81|31.0|6.0|-7.95|421.45|0.0|0.0|0.0|0.00156|659.0|0.000523|0.0|0.0|0.0008289999999999|-0.03272|4.32|704.43|1180.85|294.54|0.69247|-1426.421463|-0.2069599999999999|-1426.48597|9.8087|5.7496
19a_a22|0.0|0|0|0.0|0.0|6.842683282|1.572240489|-0.000989685|-0.144269652|-0.020553065|1.545757986|-0.002607064|-0.011513343|10.9464374|0.016501913|1|-0.035723406|-0.0611158559999999|0.72808001|0.777600172|-0.155892259|0.699744887|1|0.744354735|-0.090145161|0.024839714|-69.91748544|18.53458775|373.8201781|0.255645265|190.7541925|-0.035138299|0.684706189|-1.967744721|-50.18975739|89.23486638|85.79797858|0.4347718229999999|3167.140147|555.4133255|2607.322873|0.315293811|7095.27723|0.025888799|-275.6435167|781.8210659|19.31738094|1.0|1.0|1.0|1.0|2.0|3.61|2.27|0.08|27.0|-8.76|3.41|1.0|0.0|132.15|1.0|7.0|-4.38|35.0|6.0|-7.67|463.49|0.0|0.0|0.0|4.16e-05|0.0193|7.69e-05|0.0|0.0|8e-07|-0.06398|5.69|740.07|1277.14|346.24|0.34556|-1536.756515|-0.21478|-1536.823574|6.5658|7.3188
12x_a30|0.0|0|0|0.0|0.0|7.412764017000001|0.0|0.044575215|-0.0335688279999999|-0.0606216429999999|0.0|0.00604028|0.027312213|10.31162819|-0.1066694919999999|1|-0.053700437|-0.0922059569999999|0.842068099|0.782514704|-0.062251445|0.803183654|0|0.848844277|-0.071909912|0.014757946|-60.57208434|9.745611551|74.51844582|0.151155723|99.81775209|-0.035022402|0.824674971|-1.926232129|-31.35848986|68.52587215|57.2323071|0.4490846539999999|2845.417984|560.5459455|2374.777496|0.175325029|6359.545311|0.012044556|-428.8071293|754.3941655|7.953787804|1.0|0.0|1.0|0.0|1.0|4.86|0.0|0.21|17.0|-7.38|3.23|2.0|0.0|137.21|1.0|5.0|-6.04|31.0|4.0|-5.64|426.54|0.0|0.0|0.0|9.14e-07|0.00039|3.48e-06|0.0|0.0|1.76e-05|-0.05093|4.45|703.75|1211.79|355.95|0.68589|-1654.1207|-0.19876|-1654.183467|4.8197|7.6556
8a_a8|0.0|1|0|3.150966553|0.0|7.535296702|1.4114120369999998|-0.021925912|-0.1950388569999999|0.027531877|0.0|-0.0075336219999999|0.010118884|10.94671414|-0.0298924089999999|1|0.055198015|0.089375589|0.76592324|0.762577159|0.089031731|0.7318727540000001|0|0.550829475|-0.131795179|0.034374791|-71.12928513|20.58762475|170.9592896|0.449170525|269.0155755|-0.049054408|0.76420633|-2.256502762|-47.27503672|86.57328508|99.52191337|0.481294455|2802.374154|329.9007832|1746.6927010000002|0.23579367|6193.891189|0.025786572|-316.4749864|529.053307|15.44399996|0.0|0.0|1.0|0.0|2.0|3.37|2.64|0.05|23.0|-6.76|2.72|1.0|0.0|109.21|1.0|4.0|-4.4|30.0|5.0|-7.04|400.39|0.0|0.0|0.0|3.99e-05|16.0|7.28e-05|0.0|0.0|6.96e-05|-0.06922|6.1|620.68|1061.5|399.45|0.4927399999999999|-1367.539526|-0.19937|-1367.595683|6.8427|4.9454
7h_a8|0.0|1|0|2.99743835|0.0|7.05012252|1.2793830309999998|-0.118981425|-0.073219554|-0.016074683|0.0|0.00112124|-0.0873792009999999|10.94341365|0.0260356679999999|1|0.052081992|0.141285105|0.515235986|0.7051689170000001|0.095758228|0.507325475|0|0.771011027|-0.093181899|0.011647275|-53.88211443|6.71377223|70.28953528|0.228988973|131.9948047|-0.041038456|0.892830345|-1.6825766830000002|-30.96107949|58.94376531|60.42608164|0.4346108389999999|2534.324886|444.4294792|1919.19991|0.107169655|5657.402114|0.00878112|-452.8739011|446.5544107|5.061650885|1.0|0.0|1.0|0.0|1.0|3.12|3.2|0.0|23.0|-8.46|5.49|2.0|0.0|101.89|1.0|3.0|-5.68|28.0|4.0|-5.27|373.35|0.0|0.0|1.0|2.09e-06|0.00078|3.16e-06|0.0|1.0|1.31e-06|-0.06799|6.81|593.53|999.62|315.62|0.6963199999999999|-1285.017252|-0.22875|-1285.0707960000002|9.1188|4.9788
14ad_a23|0.0|0|1|0.0|0.0|7.423568444|3.3437482860000003|-0.1101542319999999|-0.028065075|0.118047355|0.735584095|0.008996289|-0.05348283|10.31321689|-0.031279567|2|-0.143336826|-0.253318853|0.7763406840000001|0.7830067820000001|0.165157698|0.7317531540000001|1|0.887131635|-0.059168372|0.033831691|-61.35364811|24.18091285|52.63180108|0.112868365|80.67170209999999|-0.029653934|0.575880959|-1.630966366|-30.226481300000003|85.20135045|66.47100256|0.46995189|3209.330728|634.0697778|2339.533586|0.424119041|7308.229822|0.033365494|-108.4705382|770.8206617000001|23.84770234|0.0|0.0|1.0|1.0|1.0|3.73|3.49|0.12|26.0|-7.6|4.03|2.0|1.0|133.27|1.0|7.0|-5.8|34.0|6.0|-6.68|471.53|0.0|0.0|0.0|1.6e-06|0.000753|8.22e-06|0.0|0.0|1.17e-05|-0.06925|2.99|747.83|1287.26|366.09|0.6956600000000001|-1858.668058|-0.20659|-1858.733603|6.7584|8.3595
9a_a36|0.0|1|0|3.4090209280000003|0.0|7.412764017000001|0.0|-0.109305298|-0.046964839|0.095192109|0.0|0.0034852859999999|-0.078488872|10.96066876|-0.06502499|1|-0.12019672|-0.202876718|0.839235677|0.7885597609999999|-0.019008343|0.79302567|0|0.826559623|-0.073689118|0.0236784079999999|-66.44342306|14.47407729|49.52042402|0.1734403769999999|106.0201967|-0.039929147|0.7638345870000001|-1.956528182|-27.53468726|78.37175688|59.5185754|0.453098452|2682.572663|505.25728260000005|2167.77208|0.236165413|5693.562367|0.019513779|-322.5522826|578.2841135|11.92833382|1.0|0.0|0.0|0.0|1.0|4.69|0.0|0.14|17.0|-6.28|2.04|1.0|0.0|120.94|1.0|5.0|-3.71|29.0|5.0|-6.74|382.42|0.0|1.0|0.0|0.000197|0.0753|0.000102|0.0|0.0|0.0002009999999999|-0.05044|3.38|648.41|1092.66|320.56|0.68682|-1252.578886|-0.20969|-1252.636005|7.4992|7.8861
3c_a32|0.0|1|1|3.452148526|0.0|7.765993078999999|0.0|0.025890116|-0.048337951|-0.0522536959999999|2.224112182|-0.00017094|-0.113334836|10.31100278|-0.01180891|3|-0.0779821129999999|-0.145525719|0.831186295|0.839409251|-0.003205869|0.774363061|1|0.888766719|-0.0679200029999999|0.015118975|-48.52416391|7.772301225|59.72163595|0.1112332809999999|57.18235134|-0.0288417079999999|0.693952122|-1.038301506|-17.94949454|57.94025396|42.68833949|0.423167668|2152.627425|456.8935699|1393.156794|0.306047878|4598.027604999999|0.018316536|-199.4122311|370.5811396|9.416090047|1.0|1.0|1.0|1.0|1.0|3.22|2.95|0.19|19.0|-6.89|4.68|1.0|0.0|93.05|1.0|3.0|-6.18|22.0|3.0|-5.35|326.44|0.0|0.0|1.0|6.65e-07|0.000217|1.22e-05|0.0|0.0|4.18e-05|-0.05487|3.02|544.22|903.81|352.54|0.7034600000000001|-1633.297494|-0.1970599999999999|-1633.348356|5.0659|8.0458
4h_a46|-3.74433321|0|0|0.0|0.090767245|7.825245291|2.134072222|0.128214845|-0.346835467|-0.057256598|0.0|-0.0008161889999999|-0.021951549|10.31928028|-0.09922757|1|-0.030014575|-0.0488847059999999|0.739180305|0.7543177040000001|0.075704004|0.6947264059999999|0|0.767244275|-0.083155747|0.010068754|-65.90523417|7.900037181|105.2773797|0.232755725|182.6222935|-0.0305445539999999|0.805506105|-2.015940586|-51.19164773|74.99848132|73.14480467|0.4866209529999999|3472.1185880000003|601.9869510999999|3180.526173|0.194493895|7808.347937|0.011589523|-479.405829|1021.999374|9.093247153|1.0|0.0|0.0|1.0|2.0|4.63|2.99|0.3|23.0|-9.2|6.18|2.0|0.0|142.08|1.0|6.0|-6.53|36.0|6.0|-6.38|502.63|1.0|0.0|0.0|2.97e-07|0.000149|2.06e-06|0.0|1.0|3.210000000000001e-07|-0.0389199999999999|8.5|792.61|1397.46|296.62|0.55428|-1923.543349|-0.21008|-1923.611784|2.9086|6.6402
12at_a36|0.0|1|0|3.4361495580000003|0.0|7.412764017000001|0.0|-0.04229234|-0.073048351|0.054794728|0.0|-0.001148437|-0.076129505|10.95446888|-0.037590959|1|-0.136151085|-0.227404687|0.817851296|0.8384626709999999|-0.08859337|0.7767870459999999|0|0.751856692|-0.084721769|0.029516069|-76.61315774|20.43891035|95.16663336|0.248143308|171.8311073|-0.037537878|0.6744421970000001|-2.102121151|-40.6250081|95.60375457|79.10595873|0.49342323|3041.832389|520.6361161|2388.600265|0.325557803|6537.399158|0.027424543|-241.591008|735.3783268|18.99059683|1.0|0.0|0.0|0.0|2.0|4.9|0.0|0.17|17.0|-6.62|1.67|1.0|0.0|135.03|1.0|7.0|-4.18|33.0|6.0|-7.18|439.47|0.0|0.0|0.0|6.579999999999999e-05|0.0289|8.36e-05|0.0|0.0|0.000106|-0.05703|4.5|733.29|1238.61|322.81|0.42968|-1460.549244|-0.2131|-1460.61293|8.9532|7.1079
19_a3|0.0|1|0|2.917217813|0.0|6.605297921|0.0|-0.206312209|-0.030657|-0.008897473|1.744747103|0.006821053|0.156485495|10.96959256|0.036226415|1|-0.037291767|-0.066245471|0.718266758|0.758995484|-0.0150769919999999|0.687139108|1|0.853017902|-0.067674689|0.0116401719999999|-40.8473715|5.419662458|161.5312186|0.146982098|68.43484547|-0.032585664|0.75798185|-1.140498238|-14.67073822|48.55416845|36.92898885|0.476813896|2000.66399|397.1650228|869.7868956|0.24201815|4138.413977|0.016552404|-240.2326308|314.0966684|7.706796952|1.0|1.0|0.0|1.0|1.0|2.81|1.6|0.06|21.0|-7.21|3.39|0.0|0.0|85.32|1.0|2.0|-3.24|22.0|4.0|-6.5|287.32|0.0|1.0|1.0|0.000578|166.0|0.000266|0.0|0.0|1.7800000000000002e-05|-0.05757|2.43|499.93|832.23|314.28|0.67351|-929.14689|-0.2206|-929.193831|2.8758|7.6383
12al_a36|0.0|1|0|3.469383582|0.0|7.412764017000001|0.0|-0.06777947|-0.04314418|0.1030147719999999|0.0|0.00127667|-0.074215038|10.96020817|-0.031635802|1|-0.1430106119999999|-0.239932418|0.8913597320000001|0.8344566859999999|0.125005134|0.84179881|0|0.801179217|-0.077842923|0.026927826|-69.69632923|17.71943397|114.2305891|0.198820783|130.8308989|-0.035305316|0.671084645|-1.906487074|-33.70669917|86.77628559|68.94274882|0.456856406|2843.740855|527.2034213000001|2244.88081|0.328915355|6049.668466|0.025956027|-225.1591357|679.7230552999999|17.07995636|1.0|0.0|0.0|0.0|2.0|4.81|0.0|0.17|17.0|-6.69|1.89|1.0|0.0|130.24|1.0|6.0|-3.95|31.0|5.0|-6.93|411.46|0.0|0.0|0.0|0.000113|0.0464|8.499999999999999e-05|1.0|0.0|8.340000000000001e-05|-0.04998|2.92|702.95|1181.84|349.14|0.6945399999999999|-1347.196501|-0.1955599999999999|-1347.257936|8.1781|7.3188
19h_a38|0.0|1|0|3.2723542610000003|0.0|7.412764017000001|0.0|-0.088176988|-0.082283951|0.14165187|0.0|-0.002526241|-0.043452674|10.96083376|-0.070688288|1|-0.101303149|-0.217394466|0.724208473|0.819222745|-0.054149342|0.698414933|0|0.7746288020000001|-0.082211319|0.021234963|-64.79649453|12.51014765|136.81322659999998|0.225371198|132.7728693|-0.03959525|0.75379331|-1.979762478|-28.533396600000003|76.70128100000001|60.94327866|0.47459722|2774.611523|456.3568442|1839.424968|0.24620669|6253.901215|0.020207411|-299.0343596|595.8790650000001|11.90478646|1.0|1.0|1.0|1.0|3.0|4.8|2.43|0.14|17.0|-6.86|2.55|1.0|0.0|125.69|1.0|5.0|-4.14|30.0|4.0|-6.77|401.44|0.0|0.0|1.0|7.209999999999999e-05|29.0|6.77e-05|0.0|0.0|5.610000000000001e-05|-0.05708|3.41|626.65|1092.17|350.65|0.68472|-1331.941646|-0.20379|-1331.999352|9.0777|8.0348
