molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|SaasN|AATSC1c|SRW07|n6HRing|JGI4|SaaaC|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|RASA|FNSA5|PNSA3|RNCS|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|FPSA1|GeomRadius|GeomShapeIndex|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
14a_a23|0|1|1|0.0|0.0|2|7.423568444|0|3.39397765|-0.0056795759999999|5.351858133|2|0.042992424|0.757767133|0.012219066|10.31321831|-0.071842463|0.011363191|0.083206288|-0.073893976|-0.446724057|2|0.72792508|0.7556436440000001|0.816237166|0.918677038|-0.08032517|-35.20994211|38.57988954|51.42774883|-0.0341809229999999|7.800158102999999|80.54176247|0.7807587890000001|-1.606503401|-22.26638099|61.36268093|47.54437201|0.462434482|2816.527785|580.9612768999999|-1015.935121|0.219241211|7.668841725|0.8602383659999999|27.68542751|0.016707951|1301.215093|601.8533922|10.56592489|1.0|0.0|1.0|1.0|2.86|0.05|26.0|-7.41|3.36|1.0|120.28|0.0|5.0|4.0|0.0|0.0|3.38e-06|0.00139|1.1e-05|3.58|0.0|0.0|3.92e-08|1.6100000000000002e-05|3.47|-1629.90669|665.5|1134.02|334.02|0.3764|334.02|0.6289100000000001|-1629.690316|-0.15002|5.8775|-0.2238099999999999|0.0216412|-1629.748476|8.3962|8.5498
12aq_a36|1|0|0|3.427017327|0.0|0|7.412764017000001|2|0.0|-0.0116333169999999|5.351858133|2|0.041728395|0.0|-0.006653538|10.95447882|-0.028591187|-0.004569485|0.131910912|-0.052743904|-0.5356623070000001|1|0.892815402|0.839953955|0.89459881|0.681470612|-0.122078233|-73.0277723|86.6958382|212.8220574|-0.042953452|9.548598682|112.415579|0.7619767479999999|-2.319486422|-48.79273723|95.39676382|87.31909781|0.426481765|2932.54604|455.31741460000006|-1549.740434|0.238023252|8.596645087999999|0.743623723|37.66374367|0.020701483|2033.842158|689.2886595|13.83147784|0.0|0.0|0.0|3.0|0.0|0.13|17.0|-6.14|1.92|0.0|131.85|0.0|6.0|5.0|0.0|0.0|0.000304|129.0|0.000359|1.55|0.0|0.0|7.19e-07|0.000305|3.88|-1401.637414|703.04|1190.22|367.26|0.4988|317.51|0.6933199999999999|-1401.391057|-0.13908|6.7649|-0.19967|0.03228003|-1401.452487|8671.0|7.2596
2_a4|0|0|0|0.0|0.0|0|6.605297921|1|0.0|-0.00708265|4.59511985|1|0.037777778|0.0|-0.001386521|10.95268469|0.076479666|-0.0016168089999999|0.127695325|0.147657684|-0.3881618|1|0.930871261|0.802438682|0.847373823|0.742518847|-0.105102755|-49.45826819|166.102249|108.4760726|-0.0379537729999999|1.123639184|0.0|0.843107708|-1.366335816|-20.83662681|48.93681624|52.12536246|0.3961813179999999|1623.668791|312.82106489999995|-575.6333682|0.156892292|4.710383035|0.656126301|18.96532986|0.011054731|682.7518749|284.26458360000004|4.657326379|0.0|1.0|0.0|2.0|0.0|0.27|12.0|-4.83|2.12|0.0|79.59|0.0|2.0|4.0|1.0|0.0|0.0066|1.67|0.00171|1.62|0.0|0.0|1.4800000000000002e-05|0.00374|2.46|-819.8996124|458.73|764.77|384.69|0.1315|210.28|0.4682|-819.771754|-0.14614|1.7717|-0.16226|0.033037353|-819.8174190000001|3.0946|7.5086
25_a12|0|0|0|0.0|0.0|0|0.0|0|0.0|-0.004103693|0.0|2|0.038787879|2.050456822|0.000864238|10.93676625|-0.11195017|0.001783739|-0.141917694|-0.0542354559999999|-0.4288076329999999|2|0.8472746290000001|0.638255008|0.688743998|0.947937175|-0.080147596|-28.517955|37.96125329|27.12578432|-0.03323193|1.3444869730000002|0.0|0.917298637|-1.362509125|-14.85843094|44.42528172|31.09844409|0.448858246|2067.69985|493.8944271000001|-709.8947922|0.082701363|5.34703037|0.814415245|18.87554002|0.005118351|773.8971409|430.4348528|2.666764531|1.0|1.0|1.0|1.0|3.43|0.05|22.0|-8.78|4.7|0.0|99.48|0.0|3.0|2.0|1.0|1.0|5.19e-06|0.00162|5.63e-06|4.76|0.0|0.0|1.6399999999999995e-09|5.12e-07|4.73|-974.6328337|560.14|945.73|359.04|0.4483|290.68|0.63284|-974.458128|-0.14303|1.2494|-0.19655|0.024123749|-974.508059|2.2482|7.6576
14g_a23|0|1|1|0.0|-4.794439428|2|7.423568444|0|3.0793867980000003|-0.014609495|5.351858133|2|0.0422736629999999|0.653317181|-0.002390707|10.3132174|-0.030586527|-0.0004039459999999|0.179219801|-0.0962526|-0.648987099|2|0.598213287|0.796412133|0.854683662|0.907334473|-0.096288005|-51.82254036|95.64648102|65.94601775|-0.041536002|9.289253982|1.5679977319999998|0.780315815|-2.118336119|-36.87984398|83.15907597|64.87554405|0.461846955|3400.464046|645.7104105000001|-1507.527516|0.219684185|8.788027188|0.8582074559999999|37.88128151|0.020564836|1931.945357|676.4530574|14.63509796|0.0|0.0|1.0|1.0|3.79|0.09|26.0|-7.95|3.97|1.0|126.97|0.0|7.0|8.0|0.0|0.0|1.29e-07|6.38e-05|1e-06|4.76|0.0|0.0|1.12e-08|5.57e-06|5.17|-2042.161409|730.13|1233.48|334.71|0.3478|334.71|0.56658|-2041.934312|-0.1519|7.2913|-0.23201|0.0221162|-2042.000034|10245.0|8.0
12aw_a36|1|0|0|3.28940051|0.0|0|7.412764017000001|2|0.0|-0.008293935|5.351858133|2|0.043383838|0.0|-0.006877664|10.96021804|-0.034663063|-0.004358975|0.169961228|-0.098027247|-0.4191703539999999|1|0.653741315|0.836170906|0.892249657|0.706174871|-0.114701005|-56.73814908|54.50894809|188.3390873|-0.041292362|9.4658605|1.343623915|0.749052287|-2.06461809|-36.36860892|87.37742985|71.5057033|0.47322369|2901.451841|452.6513136|-1323.400377|0.250947713|7.545677222999999|0.898338973|35.33532702|0.02161528|1766.7663510000002|593.6088758|13.8551867|1.0|0.0|0.0|2.0|0.0|0.14|17.0|-7.12|3.55|0.0|123.67|0.0|5.0|6.0|1.0|0.0|0.000102|0.0424|4.81e-05|2.88|0.0|0.0|7.599999999999999e-08|3.17e-05|3.66|-1431.373326|666.09|1120.43|319.85|0.4088|237.0|0.38905|-1431.180191|-0.15688|4.8181|-0.21201|0.03134789|-1431.239759|6.5278|8.0458
1n_a5|1|0|0|2.91912867|0.0|0|6.605297921|0|0.0|-0.007315978|4.59511985|2|0.024388889|0.0|0.004367323|10.94528897|-0.047910067|0.004754079|0.004115733|-0.00966135|-0.393928416|2|0.6805709409999999|0.77828693|0.8402078140000001|0.785210014|-0.081950989|-47.1725036|63.58796786|123.2912732|-0.030493391|7.620766672|55.29041202|0.627751746|-1.311215832|-27.07741706|63.57058627|60.44890447|0.483868192|2437.279452|450.71720610000006|-752.6490056|0.372248254|7.881746117|0.937489579|27.88278228|0.028797525|1198.959638|467.1194103|16.53002342|1.0|1.0|1.0|1.0|2.67|0.05|23.0|-8.07|4.41|0.0|101.77|0.0|5.0|5.0|0.0|1.0|5.41e-05|0.0193|6.56e-05|2.91|0.0|0.0|8.43e-09|3.01e-06|4.19|-1179.169527|607.15|1017.23|282.82|0.3789|282.82|0.44786|-1179.018429|-0.17092|0.6234|-0.23278|0.03956123|-1179.073189|0.7104|7.5686
18_a10|0|0|0|0.0|0.0|1|7.78113851|2|2.142254323|-0.00309846|5.733341277|2|0.035770975|2.026949641|0.009941402|10.92966688|-0.0280813039999999|0.010573165|-0.144233311|-0.091730492|-0.220292492|2|0.7155022459999999|0.785539083|0.832812971|0.885552955|-0.076052353|-36.52271591|40.99617452|72.64119073|-0.024889861|7.692822451|123.3621791|0.641615544|-1.368942347|-23.18149476|61.38857307|48.64284759|0.4670293179999999|2788.499133|562.0732377|-868.8874593|0.358384456|7.204851347999999|0.876275815|24.62214943|0.020666062|1354.218219|713.2632062000001|13.11704755|0.0|1.0|1.0|0.0|3.41|0.32|21.0|-7.88|4.65|0.0|119.81|0.0|5.0|5.0|1.0|1.0|3.34e-05|0.0138|1.7100000000000002e-05|3.49|0.0|0.0|1.32e-08|5.44e-06|2.65|-1336.404041|687.19|1181.5|326.47|0.2962|214.93|0.37729|-1336.126835|-0.15735|4.7596|-0.20692|0.02974086|-1336.185978|5.9029|6.8861
25_a47|0|1|1|0.0|0.0|1|6.86171134|0|1.234859637|-0.010144825|4.727387819|2|0.043695652|1.087932079|-0.003963349|10.94972207|0.002716049|-0.00269275|-0.120903298|-0.108691353|-0.545763902|2|0.6553889970000001|0.8462332770000001|0.906449648|0.786958319|-0.08797211|-44.52300552|11.20142696|129.3338553|-0.031278972|7.453635586|51.5831002|0.6238742279999999|-1.407553754|-27.0291331|71.17072517|56.80080434|0.4760601829999999|2704.5905190000003|477.748546|-854.5011131000001|0.376125772|6.951055196|0.908616158|30.43708613|0.029261935|1369.668876|513.2159236|17.76440561|0.0|1.0|1.0|2.0|3.27|0.1|21.0|-8.01|3.29|0.0|109.7|0.0|5.0|5.0|0.0|1.0|1.01e-05|0.00417|1.52e-05|3.53|0.0|0.0|9.79e-09|4.02e-06|4.78|-1735.385814|626.55|1062.81|310.91|287.0|258.29|0.53663|-1735.2218059999998|-0.16588|3.8832|-0.22919|0.0285712999999999|-1735.279715|5.1625|7.8
1a_a18 (SB-431542)|1|0|0|3.3674017380000003|0.0|0|7.423568444|1|0.0|-0.015636898|5.351858133|1|0.035620155|0.0|-0.011639964|10.94959842|-0.0492229479999999|-0.008385698|0.164429684|-0.020716495|-0.567791164|1|0.838928085|0.7462411859999999|0.805877431|0.5940412860000001|-0.122555709|-74.98172333|160.410387|240.8019609|-0.0462988229999999|11.61820782|105.3125675|0.7531996609999999|-2.083447046|-44.47680367|87.15852628|94.56841061|0.472443977|2678.82389|352.3666367|-1235.8353619999998|0.2468003389999999|7.52384981|0.895533283|36.46179023|0.02438148|1640.78056|513.4628663999999|14.4623285|1.0|1.0|1.0|2.0|2.35|0.05|23.0|-7.69|4.04|0.0|106.85|0.0|4.0|5.0|0.0|1.0|3.03e-05|0.0116|5.660000000000001e-05|2.7|0.0|0.0|2.03e-08|7.81e-06|4.57|-1292.553086|620.23|1048.7|376.27|0.5767|324.5|0.55409|-1292.358966|-0.13329|5.9926|-193.0|0.03494548|-1292.414518|8.8609|6.9031
47c_a18|0|0|0|0.0|0.0|0|7.03438793|1|0.0|-0.007068829|4.844187086|0|0.032688172|0.0|0.0007979619999999|10.94702285|0.028947131|0.002674691|0.071793992|-0.212991596|-0.455055055|0|0.784328127|0.758269842|0.7912974190000001|0.8128616409999999|-0.094000037|-57.54296759|67.68084951|150.4485025|-0.0321917939999999|10.25333491|103.416376|0.7489981509999999|-2.350000928|-46.26124419|88.76073429|70.29678191|0.489290189|3228.879782|653.4941186000001|-1889.265906|0.251001849|9.566965871|0.958059115|34.55329606|0.016406766|2522.390613|1167.054827|13.19009806|1.0|1.0|1.0|3.0|0.0|0.3|18.0|-9.18|2.84|2.0|154.77|1.0|12.0|4.0|0.0|0.0|1.84e-06|0.000947|8.12e-06|3.98|1.0|1.0|6.67e-10|3.42e-07|7.72|-1664.721977|850.89|1505.09|398.71|0.5869|398.71|0.6983199999999999|-1664.201034|-0.12841|3.3075|-0.17331|0.03115159|-1664.277127|3.8573|8.5229
12e_a36|1|0|0|3.490984269|0.0|0|7.412764017000001|2|0.0|-0.007100632|5.351858133|2|0.040899471|0.0|0.002951176|10.95346131|-0.084051264|0.003962098|0.244642918|-0.104118159|-0.43688276|1|0.90414347|0.7975411790000001|0.847602953|0.838086387|-0.100988761|-44.83739063|65.27404529|102.9838531|-0.036203518|7.71202397|5.735288795|0.7610764190000001|-1.918786459|-28.51846223|75.50154216|56.96241436|0.466721981|2709.877204|533.058116|-1220.428718|0.238923581|6.767371321000001|0.875194483|30.25577504|0.017716522|1603.556077|662.0530478999999|11.26845175|1.0|0.0|0.0|2.0|0.0|0.17|17.0|-6.97|3.24|0.0|128.72|0.0|5.0|4.0|1.0|0.0|6.929999999999999e-05|0.0274|5.05e-05|3.04|0.0|0.0|1.08e-07|4.270000000000001e-05|3.48|-1272.23645|673.57|1142.19|337.84|0.4537|323.18|0.6814600000000001|-1271.999945|-0.15189|6.5974|-0.20151|0.03037051|-1272.0579810000002|8735.0|7.8539
3o_a32|1|1|1|3.644417045|0.0|0|7.773594467000001|1|0.0|-0.006253394|5.733341277|1|0.035643275|2.240993002|-0.001411347|10.3110027|-0.090297882|0.000243592|-0.117744493|-0.061774721|-0.483580522|0|0.90022001|0.8214857240000001|0.872498916|0.8377808240000001|-0.095457829|-42.51640563|62.67187821|93.52833522|-0.031819276|4.161738248|0.0|0.7850948190000001|-1.4318674340000002|-24.51306152|62.56936516|49.73468603|0.455089918|2488.133192|483.0270239|-825.5508427999999|0.214905181|6.392329273|0.835165165|23.36733582|0.0130649069999999|1051.530112|541.0877621000001|7.532642302|1.0|1.0|1.0|2.0|3.06|0.32|19.0|-7.27|6.39|0.0|112.07|0.0|3.0|4.0|0.0|1.0|1.89e-06|0.00072|1.87e-05|3.46|0.0|0.0|5.35e-08|2.04e-05|2.35|-1805.473626|620.56|1049.14|350.9|0.2851|350.9|0.70216|-1805.277864|-0.14652|3.2729|-0.20065|0.03088166|-1805.333039|5.8476|6.6198
16g_a32|1|1|1|3.363965155|0.0|0|7.765993078999999|0|0.0|-0.013775701|5.733341277|0|0.03898374|2.084553994|-0.002456725|10.31100263|0.004735761|-0.00030659|-0.085591073|-0.117577419|-0.696926204|0|0.79965447|0.83902731|0.8821580379999999|0.8206422409999999|-0.105500574|-57.77542509|90.88837862|132.1955522|-0.033839807|13.01585399|43.37912747|0.6863323440000001|-1.79350976|-42.58335004|94.54074206|75.43482709|0.3972359179999999|2833.521937|604.8539801|-1321.90553|0.313667656|9.3963701|0.65902387|36.34043182|0.02276861|1926.042887|701.9321161|16.78159325|1.0|1.0|1.0|2.0|3.42|0.33|19.0|-8.16|6.81|0.0|121.56|1.0|10.0|5.0|0.0|1.0|3.08e-08|1.36e-05|4.83e-06|4.65|0.0|0.0|6.890000000000001e-09|3.04e-06|5.38|-2034.593036|752.29|1245.25|342.86|0.2879|342.86|0.70222|-2034.342619|-0.14968|3.7346|-0.19968|0.02895494|-2034.408165|4.3204|7.9586
