molecula|NaaNH|n9FaHRing|SssssC|SRW09|nAHRing|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|BCUTi-1|n5aHRing|AATSC7i|MATS1i|BIC2|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50
41_a18|0|0|0.0|7.03438793|2|-0.059936864|1|0.038034188|-0.089781154|0.0|0.022493846|10.9470117|0|-0.137860739|-0.005930813|0.733589101|0.037097204|0|0.7349388459999999|-0.1020290859999999|-0.089139464|0.3888308139999999|-69.94639412|6.547189171|347.42621339999994|0.2650611539999999|181.7135945|-41.89408289|4.488448275|93.99687836|-2.317626057|-47.95199341|76.49358329|0.487248278|2899.29167|-1588.856592|1491.296991|-17.56848637|8.787657952|17.13823195|6605.095612|66.33450764|-1089.246155|0.006896617|-552.8844577000001|897.5188662|1.0|1.0|1.0|1.0|3.0|4.07|0.0|0.25|18.0|3.26|2.7|99.28|2.94|2.0|1.0|141.34|6.0|-5.56|34.0|3.0|-6.38|452.55|0.0|0.0|2.53|-5.02|0.00125|9.49e-06|4.18e-09|-0.04956|3.2123|7.34|-1454.374793|-1454.3467460000002|576.83|0.69308|0.69308|482.0|-0.1319|-0.1814599999999999|0.0280471999999999|369.0|6433.0
13_a47|1|1|0.0|6.605297921|0|-0.0777650159999999|2|0.036632997|-0.047120094|1.5940801480000002|0.003874205|10.9452934|1|-0.108780879|-0.0101047869999999|0.794037882|0.065869272|1|0.781675563|-0.081148294|-0.088128939|0.244975411|-41.79730418|9.13564442|63.12660940000001|0.2183244369999999|112.453046|-23.38063458|4.705524762|0.0|-1.23380515|-21.52866736|50.9329486|0.472007922|2190.316257|-635.4998528|669.2729199|-8.613918003|7.038683428|13.33103985|4542.479565|160.5682509|-327.3288841|0.023284817|-193.936606|359.12161539999994|1.0|1.0|1.0|1.0|2.0|2.9|1.75|0.06|21.0|4.06|4.63|66.49|2.34|0.0|0.0|91.59|3.0|-4.24|24.0|4.0|-6.0|319.34|0.0|1.0|3.19|-4.27|0.0185|5.41e-05|1.26e-08|-0.05465|4.0302|2.7|-1067.820961|-1067.78457|404.73|0.67466|0.67466|0.3382|-166.0|-0.22065|0.03639189|16.0|7.8
18a_a30|0|0|0.0|7.412764017000001|2|-0.02919335|2|0.040166667|-0.041327798|0.0|-0.01286191|10.31163887|1|-0.073280844|-0.053309522|0.7885597609999999|-0.171895425|0|0.85918121|-0.072474599|-0.095397479|0.294303776|-45.11907802|10.62073502|79.18861306|0.14081879|87.66676984|-36.97308547|6.611941026|0.0|-1.812552105|-28.08889239|55.73981304|0.445995681|2721.874248|-1128.40473|2814.429655|-14.33650253|7.050626413|12.72666325|5942.293347|130.4247923|-702.4886239|0.016012295|-361.7006453|620.9195447000001|1.0|0.0|1.0|0.0|1.0|4.75|0.0|0.14|17.0|3.84|2.62|81.65|2.82|2.0|0.0|127.28|5.0|-5.28|29.0|4.0|-5.98|398.48|0.0|0.0|2.63|-4.85|0.00208|1.4e-05|2.3100000000000002e-07|-0.05605|3.4712|3.82|-1575.786909|-1575.755101|508.08|0.69033|0.69033|0.3781|-0.1418|-0.19785|0.03180853|25.0|7.6108
15_a47|1|1|0.0|6.605297921|0|-0.072588375|2|0.042285714|-0.130885389|1.56205245|0.086682657|10.9497222|1|-0.299654464|-0.007670908|0.830688568|0.081171071|1|0.791753677|-0.084413593|-0.0904066519999999|0.429825305|-45.1562696|8.917011222000001|61.0548099|0.208246323|111.3994409|-25.87091101|4.770072524|0.0|-1.265693121|-24.15592798|54.07328082|0.477646539|2327.320914|-677.0708068|869.1027727|-9.531388265|6.984778596|13.37174753|5075.773767000001|154.260803|-362.1927541|0.021370407|-226.4191275|383.4213189|1.0|1.0|1.0|1.0|2.0|2.89|2.1|0.06|21.0|4.69|5.28|66.49|2.83|2.0|0.0|96.6|3.0|-4.89|25.0|4.0|-5.76|353.78|0.0|0.0|3.74|-4.85|0.00455|1.41e-05|3.22e-09|-0.0591799999999999|4.3312|3.33|-1527.4104|-1527.376145|419.75|0.67203|0.68008|0.0759|-0.16762|-0.2268|0.03425526|16.0|7.8
21a_a23|0|1|0.0|7.525639975|0|-0.038876045|2|0.042862319|0.071115216|0.773970837|-0.133417036|10.31321782|2|0.130024255|-0.074441567|0.7367638240000001|-0.137122549|1|0.926538469|-0.051521215|-0.082341001|0.224766417|-34.01266735|7.634348008|39.56172507|0.073461531|48.49696614|-35.88602363|5.039953753|82.08958626|-1.729161021|-22.45408125|41.64701536|0.492301762|2880.257677|-1141.537112|2272.736256|-15.07212993|7.950891003|15.66066298|6464.524241|104.2264415|-753.6064963|0.011178565|-451.7153132|666.0036144999999|0.0|0.0|1.0|1.0|1.0|3.53|3.48|0.09|26.0|3.88|4.33|105.02|3.24|2.0|1.0|125.25|5.0|-5.89|31.0|4.0|-6.07|425.51|0.0|0.0|3.78|-5.28|0.000552|5.29e-06|1.65e-08|-0.07243|3.6993|3.75|-1669.250866|-1669.23053|558.61|0.60824|0.60824|0.3692|-0.15024|-0.2226699999999999|0.0203361|102.0|6.9914
3q_a32|1|1|0.0|7.765993078999999|0|-0.04718311|0|0.03898374|0.02785755|2.120544848|-0.022925245|10.31100266|3|0.0492355779999999|-0.167040501|0.853737093|-0.1585635|1|0.84993799|-0.067604132|-0.097961799|0.34156046|-41.72706804|11.43581616|41.73511731|0.15006201|92.62226328|-37.3203761|7.058489861|53.27315741|-1.371465184|-25.7550561|53.16288420000001|0.46136998|2649.276311|-846.5047848999999|3335.898591|-10.6629646|6.428518903|11.93494358|6079.482066|225.3038157|-522.4852655000001|0.022526037|-166.61896299999998|618.9134881|1.0|0.0|1.0|1.0|1.0|3.57|3.34|0.3|19.0|6.43|4.72|131.25|1.33|1.0|0.0|115.37|7.0|-5.91|28.0|4.0|-6.35|411.54|0.0|0.0|3.86|-4.62|0.000508|2.4100000000000003e-05|4.88e-08|-0.04968|3.6236|5.15|-1920.066488|-1920.042674|549.78|0.70216|0.70216|0.2897|-0.15001|-0.19969|0.02381444|28.0|7.5528
11_a33|1|1|0.0|7.686621335|0|-0.039406316|0|0.034984568|0.055664124|1.979284901|0.143981643|10.31100126|3|0.105574347|-0.122478641|0.85401347|-0.014463304|1|0.857287241|-0.070841241|-0.104881435|0.229250542|-34.4118011|16.37099833|45.43139569|0.142712759|69.3240686|-24.74805685|7.95236684|0.0|-1.048814353|-16.71585694|50.78279943|0.4673066279999999|2220.315582|-509.4714637|979.349175|-7.278840251|5.24049311|9.837729137|4880.001461|217.193541|-247.4805685|0.035341374|-51.37234937|335.4799765|1.0|1.0|1.0|1.0|1.0|3.19|2.31|0.13|19.0|5.77|4.13|120.17|0.89|0.0|0.0|89.77|3.0|-5.48|22.0|4.0|-5.97|328.41|0.0|0.0|3.28|-4.38|0.00109|4.13e-05|5.92e-07|-0.05806|3.5049|1.93|-1669.324638|-1669.304085|378.1|0.70381|0.70381|0.5408|-0.14132|-0.19938|0.02055276|5.0|8.3188
13h_a6|1|0|0.0|6.842683282|0|0.004767264|2|0.04393617|0.060987639|1.656132209|-0.01698365|10.95053423|1|0.105918119|-0.12414699|0.780222427|-0.164411111|1|0.867910741|-0.074151997|-0.091977068|0.300800177|-51.85624128|12.1971464|77.20799814|0.132089259|92.37313621|-44.98170701|8.529752344|0.0|-1.747564296|-36.26429338|64.05338768|0.461667017|2926.745635|-1222.112956|2829.19698|-15.82689691|9.11292243|16.928040300000003|6302.785260000001|183.9790404|-854.6524332|0.017825256|-331.36552|744.1359788|1.0|1.0|1.0|1.0|2.0|3.64|3.03|0.12|27.0|5.41|4.79|103.17|1.13|2.0|0.0|128.63|6.0|-5.56|33.0|5.0|-6.31|431.49|0.0|0.0|3.61|-5.06|0.0012|8.8e-06|2.67e-11|-0.07435|4.8701|3.83|-1386.613707|-1386.569017|591.53|0.50716|0.69001|0.2121|-0.14097|-0.2153199999999999|0.04469058|47.0|7.3279
12bc_a36|1|0|0.0|7.412764017000001|2|-0.042515909|2|0.04625323|0.068351685|0.0|-0.079009683|10.95883416|1|0.115647623|-0.101451485|0.836170906|-0.045186455|0|0.834305498|-0.077192869|-0.107107992|0.326764696|-51.87437401|12.2593899|83.35308244|0.165694502|111.3483497|-48.36968394|8.238431664|0.0|-1.927943855|-34.8600941|64.13376391|0.467645467|2927.476132|-1295.597402|2623.395239|-17.41308622|8.273766079|15.54183457|6587.689277|153.57572439999998|-870.6543108999999|0.017847333|-364.8584744|661.6709012|1.0|0.0|1.0|0.0|2.0|4.73|0.0|0.14|17.0|3.99|3.19|69.2|2.99|2.0|0.0|133.77|5.0|-5.08|31.0|4.0|-6.26|450.32|0.0|1.0|2.82|-5.18|0.00372|6.55e-06|1.74e-08|-0.05828|5.2189|4.42|-2152.134749|-2152.100551|563.76|0.35775|0.69094|0.3478|-0.15671|-0.21499|0.03419831|8.0|8.0969
16j_a32|1|1|-0.082980188|7.765993078999999|0|-0.086195934|0|0.046788618|-0.0667943999999999|2.076106145|-0.135618491|10.31100263|3|-0.11512706|-0.117577419|0.798237393|0.032797932|1|0.8259884120000001|-0.07651119|-0.106897203|0.509776381|-54.71915795|16.63953228|34.66998636|0.174011588|124.4493461|-54.6758122|11.90023573|45.81893652|-1.817252458|-39.13396528|71.35869023|0.442735754|2830.682695|-1299.659886|3448.428146|-17.53752467|7.357962381|13.20372234|6507.757122|214.7033741|-929.4888072999998|0.021655546|-285.7717513|701.9321161|1.0|0.0|1.0|1.0|2.0|3.86|3.38|0.33|19.0|6.49|5.24|149.27|1.57|3.0|0.0|121.3|8.0|-7.45|30.0|5.0|-5.73|441.57|1.0|0.0|4.25|-5.41|1.57e-05|3.89e-06|1.7e-08|-0.05016|3629.0|5.5|-2034.621888|-2034.593521|631.34|0.70207|0.70207|0.2907|-0.15012|-0.2002799999999999|0.0283671|9.0|8.0315
14t_a23|0|1|0.0|7.423568444|0|-0.024472753|2|0.045277778|0.073534004|0.758345646|-0.041339801|10.31321779|2|0.134446672|-0.074441567|0.7629258809999999|-0.152771194|1|0.920956836|-0.0553915009999999|-0.079253435|0.361071229|-36.09926385|11.36130649|36.6149406|0.079043164|51.51331913|-33.66111722|7.404291213|42.20767549|-1.6643221380000002|-23.52629623|47.46057034|0.465981891|2878.4071670000003|-1084.657455|2286.063655|-14.13766923|7.55064865|14.13931199|6523.656379|130.3775455|-706.8834616|0.014352462|-390.9561553|666.0036144999999|0.0|0.0|1.0|1.0|1.0|3.52|3.49|0.09|26.0|3.88|4.33|105.02|3.24|2.0|1.0|125.25|5.0|-5.85|31.0|4.0|-6.1|425.51|0.0|0.0|3.78|-5.25|0.000608|5.61e-06|1.65e-08|-0.06666|3.9855|3.79|-1669.240512|-1669.21916|534.86|0.5824199999999999|0.68886|0.0003|-0.15625|-0.22291|0.02135191|4.0|8.3979
14a_a22|0|0|0.0|6.842683282|0|-0.052476637|2|0.038167849|0.021482585|1.614660505|-0.057308195|10.9464374|1|0.036467904|-0.097476465|0.7392451729999999|-0.027029438|1|0.864077619|-0.062215607|-0.081479363|0.490491034|-42.39063895|14.49148204|93.21042936|0.135922381|92.61079081|-37.82586486|9.873779458|60.38977977|-1.629587269|-28.88288575|56.88212098|0.446584227|2885.858295|-1110.320204|2169.870866|-14.54840956|8.052850876|14.55117701|6348.976909|203.8666248|-756.5172972|0.021742777|-273.61731430000003|684.5377542|1.0|1.0|1.0|1.0|1.0|3.42|2.86|0.08|27.0|3.87|4.31|85.59|1.73|1.0|0.0|124.05|6.0|-4.65|32.0|5.0|-6.61|420.47|0.0|0.0|3.19|-4.68|0.00945|2.1e-05|6.1e-10|-0.06145|5.0653|4.98|-1368.35698|-1368.321586|534.87|0.45928|0.63156|0.0578|-0.15029|-0.21174|0.03539365|38.0|7.4202
18_a3|1|0|0.0|6.605297921|0|-0.021283637|3|0.034712644|0.08269134|1.742872103|0.042606196|10.96965878|1|0.150826737|-0.035611069|0.714658751|-0.051083228|1|0.8419576209999999|-0.069839069|-0.0846755|0.217881538|-31.07331853|6.1383958|160.9514039|0.158042379|70.31739201|-16.76239841|2.73114076|0.0|-1.016105994|-13.82537222|37.21171433|0.483376636|1938.093995|-452.0934439|703.8534116000001|-6.285899403999999|5.293627315|10.24658906|3928.183499|141.2679329|-201.1487809|0.02363555|-162.3915791|270.539096|0.0|1.0|1.0|1.0|1.0|2.62|1.81|0.0|21.0|3.42|3.08|67.35|0.93|0.0|0.0|80.35|2.0|-2.82|21.0|4.0|-6.7|273.29|0.0|1.0|2.21|-3.27|411.0|0.000537|1.49e-07|-0.05769|3.9765|1.85|-889.9619321|-889.9402005000001|330.54|0.6671699999999999|0.6671699999999999|0.3326|-0.1641099999999999|-0.2218|0.02173162|0.03|7.5229
EW7203_a60|0|0|0.0|7.412764017000001|2|0.0075638519999999|2|0.041767677|-0.092774356|0.0|0.03824498|10.31162855|1|-0.1696249719999999|-0.049287858|0.822401103|-0.089945913|0|0.8860751579999999|-0.076068195|-0.096226348|0.345488097|-49.19385637|13.03554647|80.48638339|0.113924842|73.67602619|-40.24477665|8.430183|0.0|-1.828300603|-31.81402579|62.22940284|0.497298165|2913.880231|-1182.375337|1660.077477|-15.29301513|8.310125852|16.53092404|6403.777228|150.7881632|-764.6507562999999|0.01793256|-345.1309687|666.0036144999999|1.0|0.0|1.0|1.0|2.0|4.75|3.21|0.13|17.0|3.87|2.6|117.47|2.17|2.0|0.0|133.97|5.0|-5.74|31.0|4.0|-6.35|425.51|0.0|0.0|3.09|-4.82|0.000768|1.53e-05|2e-07|-0.06188|5.0166|3.64|-1668.025575|-1667.993536|546.85|0.40883|0.69857|0.0448|-0.1446599999999999|-0.20654|0.03203878|9.0|8.0334
