molecula|NaaNH|SaaNH|SssssC|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|ATSC1c|MATS8i|BCUTi-1|n5aRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|FPSA1|GeomRadius|PPSA1|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|E solv. Water  (Hartree)|pIC50
8f_a12|0|0.0|0.0|6.580639137|1|0.609895166|0.0|0.110310585|-0.008295703|4.59511985|-0.062406088|-0.3981937339999999|0.028505422|10.31134658|1|-0.00094279|-0.070713228|-0.125424286|-0.560548116|0.902669729|0.7475224290000001|-0.13747286|-0.042014638|0.80546986|0.8409290840000001|1|0.869823177|-0.072634742|-0.098932601|0.285353468|0.013287637|-41.27611074|-56.220383|83.13642146|0.130176823|73.97552223|-0.03822396|-31.9483307|0.0|-1.6818542230000002|-23.45595611|-21.72151161|48.82707007|0.460344828|-955.746511|0.161876566|7.016225129|91.98952021|0.012030968|-384.290491|1140.340995|524.0516742|6.836832748|1.0|1.0|4.09|21.0|-8.42|78.41|3.1|2.0|0.0|0.0|1.0|3.0|-5.7|369.44|0.0|1.0|1.0|3.82|-5.24|1.99e-06|0.000735|5.72e-06|4.34|0.0|0.0|3.79e-09|1.4e-06|-0.06179|4.1744|3.6536|-1481.115891|606.97|1020.81|339.35|312.0|297.01|0.65098|0.03056355|6.1898
15a_a50|0|0.0|0.0|7.934155233999999|1|1.3530592819999998|4.126145086|-0.113976703|-0.004429392|5.82008293|-0.06317118|-0.234757789|-0.15010386|10.94500663|2|0.005828749|-0.128070491|-0.209259615|-0.325638639|0.797917311|0.821868651|-0.051676609|-0.207610131|0.8749408470000001|0.76745052|1|0.837789896|-0.0783960279999999|-0.084501726|0.4349386739999999|0.018014615|-46.91098865|-50.56454577|275.287923|0.162210104|97.06405493|-0.029316925|-30.25705388|0.0|-1.436529349|-28.07082095|-17.54280159|57.69065967|0.4476230879999999|-859.5972780999999|0.294589405|8.095541483|176.277812|0.018747341|-245.8291419|1218.577214|569.5267957000001|11.21812301|1.0|1.0|3.7|20.0|-6.09|68.76|1.87|1.0|0.0|0.0|1.0|5.0|-3.6|371.44|0.0|1.0|1.0|2.76|-3.92|0.000251|0.0933|0.0001189999999999|2.51|0.0|0.0|8.070000000000001e-07|0.0003|-0.03255|4.0408|4.0408|-1199.784983|644.4|1091.64|306.83|0.1767|306.83|0.66132|0.03314629|7.3872
37_a18|0|0.0|0.0|7.03438793|2|1.251176176|0.0|-0.0013530679999999|-0.005351023|4.844187086|-0.018808538|-0.385273662|-0.034593342|10.94702064|0|0.003512954|-0.1483628609999999|-0.224171123|-0.44541772|0.7100921609999999|0.725028151|0.020848396|-0.020149364|0.761336899|0.699483099|0|0.831783747|-0.068500679|-0.074857954|0.385121249|0.009098426|-50.09028298|-54.7389628|12.63119843|0.168216253|123.0060763|-0.0286221589999999|-40.02719655|60.1335413|-1.946306811|-36.62790634|-20.92960342|56.74339533|0.488368082|-1423.213033|0.2351233969999999|9.460456975|171.9311063|0.0142451319999999|-387.3755475|1860.709332|1056.535856|10.41657856|1.0|2.0|4.31|18.0|-8.82|76.5|3.33|2.0|1.0|0.0|1.0|7.0|-5.68|480.6|0.0|1.0|0.0|2.93|-5.47|2.08e-06|0.000999|3.35e-06|4.36|0.0|0.0|1.51e-09|7.27e-07|-0.04925|3.2127|3.2127|-1532.974371|794.5|1395.35|385.91|499.0|385.91|0.69305|0.02274574|7.4559
8a_a32|1|3.217128449|0.0|7.773594467000001|0|0.609420757|0.0|-0.0755556459999999|-0.010151321|5.733341277|-0.056633919|-0.497414715|-0.020716518|10.31100269|3|-0.001662219|-0.0852122769999999|-0.1534110109999999|-0.591393096|0.788133615|0.845443342|-0.184419911|-0.2166242669999999|0.8966299409999999|0.7507116140000001|1|0.814553726|-0.083474428|-0.109412858|0.221908108|0.018321589|-52.34893512|-68.61558335|73.64907732|0.185446274|116.298071|-0.035678106|-43.03057598|66.81560596|-1.641192863|-32.82934751|-22.37464674|63.83886888|0.480024324|-1029.23375|0.250915471|7.420041446|157.3554684|0.017733503|-312.4144752|1373.988797|557.1050635|11.12113054|1.0|2.0|3.48|19.0|-7.65|140.04|1.37|2.0|0.0|1.0|1.0|7.0|-6.82|397.52|1.0|0.0|1.0|4.07|-4.99|1.5199999999999998e-07|6.03e-05|1.02e-05|4.17|0.0|0.0|2.23e-08|8.86e-06|-0.06166|3562.0|3562.0|-1880.732222|667.29|1110.23|348.07|0.4315|348.07|0.70316|0.03498398|7.3468
17g_a50|0|0.0|0.0|7.934155233999999|2|1.320916184|4.377239517|-0.185924266|-0.002050512|5.82008293|0.052557574|-0.13328325|-0.022378911|10.94501702|2|0.01245647|-0.200725906|-0.323333765|-0.213708251|0.754575205|0.738521694|-0.10642733|-0.2126789369999999|0.7787714459999999|0.7276268779999999|1|0.920663175|-0.048170917|-0.0706879109999999|0.442201795|0.014550016|-32.14758511|-47.17463902|10.60268439|0.079336825|52.94662161|-0.025918901|-31.48270383|85.51402581|-1.555134042|-21.45417373|-17.29736764|41.85775712|0.467997084|-1037.842058|0.250051612|8.130878433|166.8756987|0.013645282|-333.6136209|1383.884645|829.3813984|9.106383854|1.0|0.0|4.04|20.0|-6.96|51.77|2.71|2.0|0.0|0.0|1.0|6.0|-4.46|424.54|0.0|1.0|0.0|3.63|-4.86|3.4899999999999995e-05|0.0148|1.39e-05|3.68|0.0|0.0|1.1e-07|4.6500000000000005e-05|-0.0323|4.0458|4.0458|-1335.946919|725.92|1259.05|306.45|0.1795|306.45|0.6623600000000001|0.02957267|6.6091
14t_a23|0|0.0|0.0|7.423568444|0|1.197962538|3.410065804|0.04919958|-0.005383494|5.351858133|-0.024472753|-0.290708696|-0.041339801|10.31321779|2|0.01180744|-0.074441567|-0.136106024|-0.4515027279999999|0.725800261|0.7629258809999999|0.113493155|-0.152771194|0.820002545|0.6906097959999999|1|0.920956836|-0.0553915009999999|-0.079253435|0.361071229|0.017433037|-36.09926385|-51.65035498|36.6149406|0.079043164|51.51331913|-0.033286443|-33.66111722|42.20767549|-1.6643221380000002|-23.52629623|-21.69314909|47.46057034|0.465981891|-1084.657455|0.2000541589999999|7.55064865|130.3775455|0.014352462|-390.9561553|1355.9136119999998|666.0036144999999|9.353660614|1.0|1.0|3.52|26.0|-7.78|105.02|3.24|2.0|1.0|0.0|1.0|5.0|-5.85|425.51|0.0|0.0|0.0|3.78|-5.25|1.43e-06|0.000608|5.61e-06|3.94|0.0|0.0|1.65e-08|7.03e-06|-0.06666|3.9855|3.2060000000000004|-1669.21916|692.08|1184.43|386.72|0.2061|311.09|0.68886|0.02135191|8.3979
10_a15|0|0.0|0.0|0.0|0|1.4356889780000002|0.0|-0.137104477|-0.006872984|0.0|-0.0435725659999999|-0.384887119|-0.077096984|10.95972828|0|0.0034254209999999|-0.120626133|-0.184255041|-0.391156537|0.8310685940000001|0.713794823|0.0107135269999999|0.018211609|0.7585998270000001|0.7933685340000001|0|0.933136945|-0.052826735|-0.101494566|0.640780603|0.010485777|-30.73805622|-59.05618983|6.497096666|0.066863055|38.90530741|-0.036384844|-34.36276159|0.0|-1.928396745|-17.88541558|-21.17108692|36.83936823|0.449323734|-1122.067607|0.169827351|5.555044294|98.81668286|0.0116026369999999|-384.2321709|1351.607534|673.7288405|6.751174337|1.0|1.0|3.58|24.0|-9.82|56.27|2.87|2.0|0.0|0.0|1.0|6.0|-6.22|397.47|1.0|0.0|1.0|4.69|-5.83|5.99e-07|0.0002379999999999|1.47e-06|5.29|0.0|0.0|1.51e-10|5.99e-08|-0.03581|4.4682|3.6448|-1281.061184|631.2|1136.48|340.17|0.1412|277.48|0.70313|0.02738146|8.1549
21b_a23|0|0.0|0.0|7.525639975|0|1.197963051|3.351726269|0.094654108|-0.005936474|5.4161004020000005|-0.008526338|-0.326506055|-0.103470358|10.31321725|2|0.009872313|-0.069382957|-0.130528352|-0.481470603|0.7038407329999999|0.7717839409999999|0.131951284|-0.078097375|0.8339434929999999|0.668547062|1|0.930728719|-0.0596425779999999|-0.083105261|0.224930782|0.014481931|-41.81114831|-58.25915868|41.6766724|0.0692712809999999|48.56114386|-0.034219814|-40.84133198|86.65837165|-1.745210489|-29.31080756|-23.98906534|51.9633947|0.458461834|-1223.442332|0.187665282|8.773746105|131.5587155|0.013439264|-437.9110924|1506.081551|712.6737861|9.421307298|1.0|1.0|3.59|26.0|-7.84|128.81|2.6|2.0|1.0|0.0|1.0|5.0|-6.1|450.52|0.0|0.0|0.0|3.57|-5.22|8.02e-07|0.000361|6.06e-06|3.7|0.0|0.0|1.43e-08|6.45e-06|-0.08401|4.0023|3.6237|-1761.4722969999998|735.65|1247.38|342.15|0.2607|309.79|0.70139|0.02657688|7.0691
4p_a46|0|0.0|0.122217892|7.825245291|1|1.134636977|2.102855253|-0.060700883|-0.004413243|5.587248657999999|-0.038295755|-0.233901882|-0.205494852|10.93681929|1|0.004453195|0.066453878|0.101602982|-0.369670745|0.7471162309999999|0.747019097|-0.078703563|-0.1623103719999999|0.7911509609999999|0.751334374|0|0.905966489|-0.0997229069999999|-0.083274013|0.3352802039999999|0.007398064|-56.55658053|-47.22779946|175.10295019999998|0.094033511|53.32991189|-0.029978645|-26.78464688|0.0|-1.498932241|-32.07534663|-17.00200781|60.7522985|0.423511708|-850.1003902999998|0.12579435|5.828038618|71.34266847|0.006740305|-424.4519674|972.4260993|585.8536976|3.822678404|0.0|1.0|3.89|17.0|-7.05|61.84|3.2|2.0|0.0|0.0|1.0|2.0|-5.8|357.45|0.0|1.0|1.0|4.25|-5.4|1.59e-06|0.000567|4.03e-06|4.77|0.0|0.0|8.95e-08|3.2e-05|-0.0393|5.4796|3.9958|-1129.618646|598.19|1058.54|310.28|0.2363|226.26|0.70138|0.03979459|6.4672
28_a20|0|0.0|0.0|6.842683282|0|1.417203216|1.837209467|-0.013841559|-0.006492092|4.727387819|-0.114439513|-0.363557127|0.0313932529999999|10.94963925|1|0.002695258|-0.016955137|-0.028782305|-0.447096101|0.715067047|0.755701837|-0.104458316|-0.06654421|0.812553182|0.690655217|1|0.7817507370000001|-0.086299346|-0.091179288|0.3962228229999999|0.014682607|-57.59898971|-60.85602167|318.7453661|0.218249263|145.66665480000003|-0.035068957|-40.6172876|88.39175809|-1.823585765|-38.44343857|-23.40616218|67.39863895|0.468838001|-1217.120433|0.226358273|7.587188177000001|151.0788711|0.016673728|-365.2747728|1573.2352460000002|684.5377542|11.12858789|1.0|1.0|3.45|27.0|-8.8|99.58|1.73|1.0|0.0|0.0|1.0|5.0|-4.42|420.47|0.0|0.0|1.0|3.04|-4.43|3.77e-05|0.0159|3.72e-05|2.68|0.0|0.0|1.57e-09|6.590000000000001e-07|-0.06242|4.7905|3.5798|-1368.32781|704.42|1198.32|346.35|0.2354|258.81|0.4701899999999999|0.03534166|6.5935
18_a10|0|0.0|0.0|7.78113851|2|1.243178376|2.142254323|-0.182332901|-0.00309846|5.733341277|0.0307177839999999|-0.1859075939999999|-0.052165302|10.92966688|1|0.010573165|-0.091730492|-0.143149563|-0.220292492|0.7155022459999999|0.785539083|0.048377088|-0.0507442929999999|0.832812971|0.6886547670000001|1|0.885552955|-0.0575419659999999|-0.076052353|0.656664457|0.019095409|-36.52271591|-48.27152552|40.99617452|0.114447045|72.64119073|-0.024889861|-30.63863373|123.3621791|-1.368942347|-23.18149476|-15.79795381|48.64284759|0.4670293179999999|-868.8874593|0.358384456|7.204851347999999|227.471785|0.020666062|-179.7708584|1354.218219|713.2632062000001|13.11704755|1.0|0.0|4.07|21.0|-7.88|62.06|2.14|1.0|0.0|0.0|1.0|5.0|-4.48|412.48|0.0|1.0|1.0|3.67|-4.77|3.34e-05|0.0138|1.7100000000000002e-05|3.49|0.0|0.0|1.32e-08|5.44e-06|-0.0495699999999999|5.7687|3.7977|-1336.404041|687.19|1181.5|326.47|0.2962|214.93|0.6866300000000001|0.02974086|6.8861
5_a18 (BIBF0775)|0|0.0|0.0|7.03438793|2|1.251175715|0.0|0.0160123|-0.005220163|4.844187086|-0.015946718|-0.391512249|0.0002403959999999|10.94702058|0|0.0036739159999999|-0.144352593|-0.216531385|-0.453086741|0.7140745620000001|0.7395978390000001|-0.001626287|-0.040022105|0.774859029|0.7061155790000001|0|0.8432358679999999|-0.068989967|-0.078246932|0.420002762|0.008501088|-52.09190866|-59.08151918|10.36586529|0.156764132|118.3671077|-0.029755876|-44.61038661|50.25564119|-2.112667176|-39.33277643|-22.46761997|58.5107823|0.483962172|-1595.201018|0.184058942|9.798677372|138.97646310000002|0.010831199|-477.1120625|1955.044427|1140.896548|8.178259299999999|1.0|2.0|4.42|18.0|-9.21|76.5|3.52|3.0|1.0|0.0|1.0|8.0|-6.07|494.63|0.0|1.0|0.0|3.2|-5.72|8.590000000000001e-07|0.000425|1.91e-06|4.73|0.0|0.0|6.18e-10|3.06e-07|-0.04938|3.2027|3.2027|-1572.290174|817.02|1446.02|378.13|0.4825|378.13|0.69298|0.02305362|7.4685
3c_a12|0|0.0|0.0|6.555356892000001|1|0.610140703|0.0|0.06235058|-0.009252756|4.59511985|-0.058516436|-0.379362977|-0.008931246|10.3117069|1|-0.001825446|-0.116098308|-0.211367878|-0.545592465|0.923855679|0.826033688|-0.0461654159999999|-0.10295082|0.888353608|0.859899236|0|0.843855494|-0.071719601|-0.099327724|0.242114395|0.013219706|-36.28720467|-50.25579322|73.9854678|0.156144506|79.00277721|-0.033980537|-25.42738988|0.0|-1.291260406|-18.35985151|-17.19277136|42.97583906|0.427357986|-653.3253118|0.2944757839999999|6.231995392999999|148.9927848|0.02155815|-207.9738085|926.0140155|380.2468615|10.90754815|1.0|1.0|3.94|17.0|-6.78|78.41|1.82|0.0|0.0|0.0|1.0|3.0|-4.22|319.38|0.0|0.0|1.0|2.76|-4.0|6.06e-05|0.0194|9.940000000000002e-05|2.91|0.0|0.0|1.67e-07|5.3200000000000006e-05|-0.07463|3.9848|3.5862|-1327.471862|544.65|894.36|345.72|0.4687|311.14|0.68067|0.02665687|7699.0
