molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|nAHRing|nARing|MATS2c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|MATS8i|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|GATS1pe|RASA|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|FNSA4|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Veber filter|Hydrogen bond acceptors count (using Lipinski’s definition)|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|pIC50
9_a15|0.0|0|0|0.0|0.0|0|0|-0.217598467|0.0|1|0.04022792|0.096418279|0.0|-0.506073953|0.05688176|0.005692073|0|0.140072812|-0.203104439|-0.295062413|-0.344978312|1|0.85357243|0.010183805|0.742680335|0.8105478740000001|0.846156316|-0.11668349|0.032464905|-41.10356167|18.10574464|105.5304352|-0.028575549|10.09761131|54.69975317|0.51257747|-22.92354152|85.14415759|59.20930631|0.4517825079999999|2392.3164920000004|471.903131|-780.8954896|-8.88789863|0.48742253|5.485176331|271.83655510000006|31.09118831|0.03598612|1523.4682269999998|532.0914339999999|20.06953345|1.0|1.0|1.0|1.0|3.16|3.37|18.0|-7.57|3.9|4.95|61.84|1.96|2.0|0.0|5.0|1.0|3.69|-4.81|0.00206|1.53e-05|4.24|0.0|0.0|2.69e-08|9.86e-06|-0.0258899999999999|3.36|-1223.705126|-1223.687392|588.55|1042.17|330.74|0.2693|285.37|507.33|0.6512399999999999|0.0115|-0.1565099999999999|1.4625|-0.1824|-1223.522216|6.9706
6f_a40|0.0|0|0|0.0|0.0|1|2|0.134099184|6.401917197|0|0.038309179|-0.122783873|0.737582436|-0.8287570679999999|0.075227997|-0.190617284|2|-0.233222505|0.048543494|0.092206207|-0.628934821|0|0.7710013309999999|-0.268802228|0.896373207|0.742681934|0.655786513|-0.130571562|0.015998475|-86.21963207|10.2782635|207.7174501|-0.052228625|6.6032981820000005|40.01876255|0.8628087240000001|-55.39203581|92.77827871|96.49789556|0.410805404|3021.330686|421.31181889999993|-1509.948957|-21.5571287|0.137191276|6.993991456|88.13890599|38.88975659|0.013841059|1750.039046|593.503189|8.892225517|0.0|1.0|1.0|2.0|4.05|2.53|14.0|-3.67|3.66|2.66|199.45|1.1|1.0|1.0|5.0|0.0|2.61|-4.64|5.18e-05|2.3e-05|3.09|1.0|0.0|0.0002109999999999|0.0967|-0.08982|6.96|-2426.972609|-2426.924155|668.95|1139.55|482.43|0.2362|346.89|507.64|0.66642|0.0158|-0.1131799999999999|6.2384|-203.0|-2426.787111|7.3768
14q_a23|0.0|0|1|0.0|0.0|0|0|0.141057047|5.351858133|2|0.044138322|0.064903564|0.720966302|-0.5608967029999999|-0.058543701|-0.056324491|2|0.121109106|-0.017918675|-0.033435987|-0.573130981|2|0.77007911|-0.089657283|0.871119857|0.7333675390000001|0.773194598|-0.096370719|0.02158178|-61.51997721|14.81701129|350.836102|-0.039682061|10.17264683|97.13675614|0.777340899|-42.23665548|79.42966327|76.3369885|0.472004985|3097.399651|530.8381985000001|-1389.433443|-18.70427707|0.222659101|8.732265278|152.86702240000002|35.04742005|0.01932289|1787.418422|693.3423458|13.26616596|0.0|1.0|0.0|2.0|3.52|2.66|26.0|-6.96|2.57|3.12|148.11|2.28|1.0|1.0|5.0|0.0|2.62|-4.39|0.00278|4.03e-05|2.46|0.0|0.0|1.11e-07|5.03e-05|-0.08159|4.19|-1798.645459|-1798.6108739999995|714.22|1222.17|340.33|0.4943|340.33|554.59|0.5949|0.4943|-0.14854|8375.0|-0.23013|-1798.433122|7.8069
16_a20|0.0|1|0|3.485659565|0.0|0|0|-0.014660441|4.727387819|2|0.0388043479999999|0.126359252|2.013871268|-0.254072625|-0.061975089|-0.062750442|1|0.211127741|-0.070208458|-0.117308016|-0.458484451|2|0.7582110409999999|-0.10978034|0.809440795|0.724665638|0.915005572|-0.077793092|0.011604018|-43.51359744|7.634605066000001|69.28224942|-0.029561375|5.023018225|3.46788153|0.780108103|-28.6288015|60.02453683|51.14820251|0.464473378|2722.728332|602.0075202|-972.4623811|-12.79619894|0.219891897|8.166385503999999|144.672972|24.9314775|0.013439632|1246.573875|664.4562602999999|8.84230625|1.0|1.0|1.0|1.0|3.5|3.13|27.0|-10.52|6.38|5.46|78.25|2.2|2.0|0.0|4.0|1.0|4.37|-5.66|0.000349|2.17e-06|4.69|0.0|0.0|3.0500000000000005e-11|1.22e-08|-0.05909|4.45|-1275.900951|-1275.8670960000002|686.59|1174.61|347.26|0.3431|207.2|554.41|0.32553|0.1958|-0.1481299999999999|4.7315|-0.20722|-1275.6960869999998|7585.0
12j_a36|0.0|1|0|3.502198129|0.0|2|2|-0.084183025|5.351858133|2|0.039061728|0.091496219|0.0|-0.41101009|0.039869055|-0.051080247|1|0.161289379|-0.07550872|-0.133106642|-0.436310965|1|0.906423012|-0.089459459|0.87043328|0.855081905|0.852586292|-0.105480639|0.018160631|-46.2113679|11.99396966|26.39145693|-0.037113558|7.921272637|2.098786266|0.7758129420000001|-30.5197407|80.59149538|58.20533756|0.457280037|2881.20453|563.0803357000001|-1323.6049039999998|-16.18812775|0.224187058|7.483427579|148.06163930000002|31.59421634|0.016546717|1706.0876829999995|725.9470896|10.92807939|0.0|1.0|1.0|2.0|4.86|0.0|17.0|-7.05|3.33|2.61|94.5|2.51|1.0|0.0|4.0|0.0|2.33|-4.51|0.0061|3.09e-05|3.19|0.0|0.0|8.95e-08|3.83e-05|-0.05098|3.37|-1670.448063|-1670.420129|694.28|1198.96|327.94|0.4981|238.1|536.01|0.37116|98.0|-0.15495|6.4451|-0.20593|-1670.245584|8.0
13_a4|0.0|0|0|0.0|0.0|1|1|-0.210975191|5.4161004020000005|1|0.044357639|-0.059300584|0.0|-0.04158572|-0.14818661|-0.0963182119999999|1|-0.094404255|-0.0161529719999999|-0.025714912|-0.143303992|1|0.645708528|-0.157188841|0.7986239909999999|0.6490618429999999|0.970027005|-0.068249548|0.008746805|-24.48959182|4.282589756|11.85953992|-0.0279998139999999|2.096831328|54.71349575|0.862539527|-11.99053523|37.12083496|28.77218157|0.4289448289999999|1910.137758|474.9422962|-534.6588788|-6.7122666220000005|0.137460473|5.663493161|67.30306705|15.89399858|0.007566425|619.8659446|373.9073307|3.704655033|0.0|0.0|0.0|0.0|3.39|2.87|17.0|-6.2|4.18|4.15|30.71|2.9|1.0|0.0|2.0|1.0|3.57|-4.42|0.0235|3.77e-05|3.75|0.0|0.0|6.28e-07|0.00018|-0.03168|3.87|-898.3562912999998|-898.3381672|536.09|893.0|297.09|0.2133|276.68|429.36|0.53815|0.1282|-0.17204|2471.0|-0.20372|-898.2503529999999|5.3979
9b_a36|0.0|1|0|3.513187594|0.0|2|2|-0.053019801|5.351858133|2|0.040166667|0.082806042|0.0|-0.308862918|-0.077361324|-0.06502499|1|0.146828453|-0.053309522|-0.094526372|-0.4060950789999999|1|0.8421237309999999|-0.1177413269999999|0.842671963|0.7961424690000001|0.8453794609999999|-0.098301686|0.017007854|-46.58565720000001|10.68084402|67.12293326|-0.036110824|6.707514535|0.0|0.78242217|-29.25555061|71.70079424|57.26650122|0.453252346|2715.020034|530.8939077|-1111.193067|-14.24129533|0.21757783|7.549264797|136.63774650000002|28.98359786|0.015872498|1420.196295|620.9195447000001|9.967846072|0.0|1.0|0.0|1.0|4.73|0.0|17.0|-6.64|3.6|2.76|82.47|2.82|1.0|0.0|4.0|0.0|2.48|-4.43|0.00992|3.71e-05|3.2|0.0|0.0|2.3100000000000002e-07|9.21e-05|-0.05146|3.82|-1575.7800140000002|-1575.751975|666.01|1127.85|321.74|0.5392|321.74|514.45|0.69763|0.5392|-0.15833|6.2846|-0.20979|-1575.616432|7.6778
1d_a5|0.0|1|0|2.79978458|-4.455320158|0|0|-0.133500214|4.59511985|2|0.030074074|-0.118028278|0.0|-0.2688711589999999|-0.2261588939999999|-0.010183824|1|-0.389011185|0.001493879|0.004923698|-0.38633065|2|0.525406088|-0.015804188|0.821309592|0.513260607|0.8965037640000001|-0.086213657|0.007937625|-47.76176205|4.288788702|204.4506579|-0.036640804|2.317281143|0.0|0.770504115|-25.80622135|56.83734591|52.05055075|0.471074204|2481.822293|484.3911442|-791.897671|-10.69678217|0.229495885|6.116537519|123.9992274|25.69414151|0.018980039|1027.76566|403.396385|10.25512997|1.0|0.0|1.0|1.0|2.92|2.19|23.0|-8.88|5.48|6.37|54.46|2.73|2.0|0.0|6.0|1.0|4.15|-4.97|0.00589|1.0800000000000002e-05|3.95|0.0|0.0|1.3300000000000002e-09|4.86e-07|-0.04528|3.58|-1288.340378|-1288.306458|567.04|951.63|268.88|0.2805|254.46|414.59|0.41781|0.0982|-0.18991|3.7798|-0.23519|-1288.253849|5.03
12at_a36|0.0|1|0|3.4361495580000003|0.0|2|2|-0.04229234|5.351858133|2|0.039952719|0.054794728|0.0|-0.653190113|-0.076129505|-0.037590959|1|0.091520225|-0.136151085|-0.227404687|-0.48127276|1|0.817851296|-0.063825255|0.890810337|0.7767870459999999|0.751856692|-0.110637955|0.029516069|-58.66704838|20.43891035|95.16663336|-0.037537878|14.1532755|80.75773169|0.6744421970000001|-40.6250081|95.60375457|79.10595873|0.49342323|3041.832389|520.6361161|-1455.649997|-17.99981985|0.325557803|8.837213274|225.4381077|38.54110857|0.027424543|2158.30208|735.3783268|18.99059683|0.0|0.0|0.0|2.0|4.9|0.0|17.0|-6.62|2.7|1.67|95.5|1.89|1.0|0.0|6.0|0.0|1.76|-4.08|0.0289|8.36e-05|2.53|0.0|0.0|2.42e-07|0.000106|-0.05703|4.5|-1460.833958|-1460.797444|733.29|1238.61|322.81|0.4765|263.05|589.75|0.42968|0.2076|-0.15607|6.4676|-0.2131|-1460.61293|7.1079
11_a3|0.0|0|0|0.0|0.0|0|0|0.119431379|4.727387819|3|0.042795699|-0.101436441|1.710245969|-0.363112913|0.044912659|-0.023103765|1|-0.194041982|-0.0495219879999999|-0.0947326669999999|-0.577616902|3|0.8947911009999999|-0.04179402|0.793311683|0.834020779|0.777803048|-0.099420732|0.014376713|-45.19136777|6.800350988|253.1353625|-0.0391657429999999|3.216644354|80.34769756|0.752484736|-21.37603754|57.08178682|51.99171876|0.4680759679999999|2097.896727|367.9098016|-611.3529698|-8.76293931|0.2475152639999999|5.475372235|117.0775712|24.61956593|0.021256639|812.4456757999999|311.6695405|10.0546353|1.0|1.0|1.0|1.0|3.19|2.07|21.0|-6.51|3.79|3.41|105.82|0.8|0.0|0.0|4.0|1.0|2.46|-3.71|0.0256|0.000197|2.22|0.0|0.0|3.06e-07|9.35e-05|-69.0|2.12|-1288.195105|-1288.165162|508.58|834.82|384.66|0.4441|384.66|346.18|0.6966600000000001|0.4441|-0.13118|3.3694|-0.20018|-1288.10577|7.3979
8e_a8|0.0|1|0|3.01599663|0.0|0|0|-0.018155171|4.844187086|0|0.0427891159999999|-0.000766016|0.0|-0.539547088|-0.102167262|-0.051339286|1|-0.0015448089999999|0.090898585|0.183313231|-0.475941912|0|0.650073857|-0.079493088|0.7742101929999999|0.636205913|0.661490276|-0.105450888|0.0211004739999999|-70.49962428|12.87136047|106.0087621|-0.04393787|7.851573274|76.40535608|0.803307236|-43.00500847|75.57562034|83.37098475|0.483244415|2692.975753|403.5112981|-1286.50794|-16.34946208|0.196692764|7.50719734|119.9832494|33.36487904|0.0184428869999999|1601.514194|561.882658|11.25022336|0.0|1.0|0.0|2.0|3.2|2.98|23.0|-7.78|4.33|4.17|90.11|3.4|2.0|0.0|4.0|0.0|3.71|-4.9|0.00215|1.25e-05|3.69|0.0|0.0|1.6399999999999998e-08|6.63e-06|-0.06253|7.22|-1376.957298|-1376.924308|639.38|1090.07|378.73|0.3731|267.77|526.86|0.50055|0.1671|-0.13719|6.1505|-0.19972|-1376.766245|4.7014
16a_a10|0.0|0|0|0.0|0.0|1|1|-0.187414728|5.4161004020000005|2|0.0334858389999999|-0.085711535|2.009832665|-0.152205915|0.014886502|-0.0048530629999999|1|-0.133979603|-0.162508526|-0.254024476|-0.1948324069999999|2|0.748039584|-0.008879187|0.813036304|0.72613292|0.916148686|-0.076950669|0.013872737|-36.408063|9.606840334|77.68598956|-0.026063936|6.652715932|99.81657855|0.7270593190000001|-25.21250404|63.53441386|46.01490333|0.4629532229999999|2862.681038|634.4309626|-1119.0515779999998|-12.4990447|0.272940681|8.531706024|189.0108247|24.82496066|0.014796066|1539.147561|879.8636987|10.24624348|1.0|1.0|1.0|0.0|4.11|4.46|21.0|-8.5|4.73|5.19|56.07|2.47|3.0|0.0|5.0|1.0|4.24|-5.17|0.00264|6.76e-06|4.33|0.0|0.0|3.18e-09|1.4e-06|-0.04647|3.46|-1395.158387|-1395.13019|760.0|1310.44|320.22|0.3843|221.33|629.65|332.0|0.0841|-0.1605|3.8323|-0.20697|-1394.861824|7.3279
4g_a46|0.0|0|0|0.0|0.171759574|1|1|-0.153373738|5.587248657999999|2|0.046415344|-0.093447672|0.0|-0.088529411|-0.055084605|-0.138341481|1|-0.144064904|-0.078780402|-0.121452903|-0.2455749539999999|2|0.662386484|-0.193115055|0.7796270059999999|0.635494818|0.946829733|-0.070153728|0.00801562|-32.64186634|4.598866947|7.38470955|-0.024339048|2.638545451|72.82863401|0.826861093|-18.72788427|44.72726697|37.24073329|0.448462961|2242.010126|543.2323468999999|-684.2477996|-8.0118178|0.1731389069999999|5.8466355000000005|99.33639766|16.88825479|0.007803902|827.5244845|568.1534007|4.477396402|0.0|1.0|1.0|0.0|3.9|3.61|17.0|-7.8|5.19|5.37|43.6|3.06|2.0|0.0|3.0|1.0|4.39|-5.38|0.00155|4.16e-06|4.73|0.0|0.0|1.57e-08|5.75e-06|-0.03985|4.65|-1493.154666|-1493.132001|615.33|1064.92|280.74|0.1294|280.74|530.39|0.6983199999999999|0.1294|-0.18602|3.5526|-0.22587|-1492.979142|5.5615
